,Hours,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,EE,LV,LV,LT,LT,AT,AT,BE,BE,DE-LU,DE-LU,FR,FR,NL,NL
1/1/2020,00 - 01,"30,84","28,78","28,78","28,78","28,78","28,78","33,42","33,42","31,82","31,82","31,82","28,78","28,78","28,78",,"28,78",,"28,78",,"28,78",,"41,88",,"41,88",,"41,88",,"41,88",,"41,88"
1/1/2020,01 - 02,"30,63","28,45","28,45","28,45","28,45","28,45","31,77","31,77","31,77","31,77","31,77","28,45","28,45","28,45",,"28,45",,"28,45",,"28,45",,"38,60",,"38,60",,"38,60",,"38,60",,"38,60"
1/1/2020,02 - 03,"30,38","27,90","27,90","27,90","27,90","27,90","31,57","31,57","31,57","31,57","31,57","27,90","27,90","27,90",,"27,90",,"27,90",,"27,90",,"36,55",,"36,55",,"36,55",,"36,55",,"36,55"
1/1/2020,03 - 04,"30,04","27,52","27,52","27,52","27,52","27,52","31,28","31,28","31,28","31,28","31,28","27,52","27,52","27,52",,"27,52",,"27,52",,"27,52",,"32,32",,"32,32",,"32,32",,"32,32",,"32,32"
1/1/2020,04 - 05,"29,56","27,54","27,54","27,54","27,54","27,54","30,85","30,85","30,72","30,72","30,72","27,54","27,54","27,54",,"27,54",,"27,54",,"27,54",,"30,85",,"30,85",,"30,85",,"30,85",,"30,85"
1/1/2020,05 - 06,"28,10","26,55","26,55","26,55","26,55","26,55","30,14","30,14","30,27","30,27","30,27","26,55","26,55","26,55",,"26,55",,"26,55",,"26,55",,"30,14",,"30,14",,"30,14",,"30,14",,"30,14"
1/1/2020,06 - 07,"27,57","25,83","25,83","25,83","25,83","25,83","30,17","30,17","30,17","30,17","30,17","25,83","25,83","25,83",,"25,83",,"25,83",,"25,83",,"30,17",,"30,17",,"30,17",,"30,17",,"30,17"
1/1/2020,07 - 08,"27,35","25,07","25,07","25,07","25,07","25,07","30,00","30,00","30,14","30,14","30,14","25,07","25,07","25,07",,"25,07",,"25,07",,"25,07",,"30,00",,"30,00",,"30,00",,"30,00",,"30,00"
1/1/2020,08 - 09,"27,99","25,65","25,65","25,65","25,65","25,65","30,63","30,63","30,49","30,49","30,49","25,65","25,65","25,65",,"25,65",,"25,65",,"25,65",,"30,65",,"30,65",,"30,65",,"30,65",,"30,65"
1/1/2020,09 - 10,"28,36","26,15","26,15","26,15","26,15","26,15","30,59","30,59","30,59","30,59","30,59","26,15","26,15","26,15",,"26,15",,"26,15",,"26,15",,"30,65",,"30,65",,"30,65",,"30,65",,"30,65"
1/1/2020,10 - 11,"28,45","26,77","26,77","26,77","26,77","26,77","30,27","30,27","30,27","30,27","30,27","26,77","26,77","26,77",,"26,77",,"26,77",,"26,77",,"30,27",,"30,27",,"30,27",,"30,27",,"30,27"
1/1/2020,11 - 12,"29,02","27,40","27,40","27,40","27,40","27,40","30,34","30,34","30,34","30,34","30,34","27,40","27,40","27,40",,"27,40",,"27,40",,"27,40",,"30,34",,"30,34",,"30,34",,"30,34",,"30,34"
1/1/2020,12 - 13,"29,40","28,08","28,08","28,08","28,08","28,08","30,59","30,59","30,59","30,59","30,59","28,08","28,08","28,08",,"28,08",,"28,08",,"28,08",,"30,99",,"30,99",,"30,99",,"30,99",,"30,99"
1/1/2020,13 - 14,"29,41","28,69","28,69","28,69","28,69","28,69","30,04","30,04","30,38","30,38","30,38","28,69","28,69","28,69",,"28,69",,"28,69",,"28,69",,"30,04",,"30,04",,"30,04",,"30,04",,"30,04"
1/1/2020,14 - 15,"29,92","29,37","29,37","29,37","29,37","29,37","30,60","30,60","30,60","30,60","30,60","29,37","29,37","29,37",,"29,37",,"29,37",,"29,37",,"30,75",,"30,75",,"30,75",,"30,75",,"30,75"
1/1/2020,15 - 16,"30,36","29,97","29,97","29,97","29,97","29,97","31,09","31,09","31,09","31,09","31,09","29,97","29,97","29,97",,"29,97",,"29,97",,"29,97",,"32,11",,"32,11",,"32,11",,"32,11",,"32,11"
1/1/2020,16 - 17,"30,83","30,46","30,46","30,46","30,46","30,46","31,53","31,53","31,53","31,53","31,53","30,46","30,46","30,46",,"30,46",,"30,46",,"30,46",,"35,98",,"35,98",,"35,98",,"35,98",,"35,98"
1/1/2020,17 - 18,"30,91","30,39","30,39","30,39","30,39","30,39","31,78","31,78","31,78","31,78","31,78","30,39","30,39","30,39",,"30,39",,"30,39",,"30,39",,"40,40",,"40,40",,"40,40",,"40,40",,"40,40"
1/1/2020,18 - 19,"30,79","30,06","30,06","30,06","30,06","30,06","31,64","31,64","31,64","31,64","31,64","30,06","30,06","30,06",,"30,06",,"30,06",,"30,06",,"44,05",,"44,05",,"44,05",,"44,05",,"44,05"
1/1/2020,19 - 20,"30,47","29,38","29,38","29,38","29,38","29,38","31,44","31,44","31,44","31,44","31,44","29,38","29,38","29,38",,"29,38",,"29,38",,"29,38",,"44,04",,"49,15",,"43,15",,"46,16",,"38,69"
1/1/2020,20 - 21,"30,02","27,65","27,65","27,65","27,65","27,65","31,35","31,35","31,35","31,35","31,35","27,65","27,65","27,65",,"27,65",,"27,65",,"27,65",,"43,62",,"44,58",,"43,45",,"44,02",,"42,62"
1/1/2020,21 - 22,"29,52","27,33","27,33","27,33","27,33","27,33","31,07","31,07","31,07","31,07","31,07","27,33","27,33","27,33",,"27,33",,"27,33",,"27,33",,"40,68",,"40,68",,"40,68",,"40,68",,"40,68"
1/1/2020,22 - 23,"28,28","25,88","25,88","25,88","25,88","25,88","30,96","30,96","30,96","30,96","30,96","25,88","25,88","25,88",,"25,88",,"25,88",,"25,88",,"40,38",,"41,06",,"40,27",,"40,66",,"39,68"
1/1/2020,23 - 00,"27,79","24,81","24,81","24,81","24,81","24,81","30,61","30,61","30,61","30,61","30,61","24,81","24,81","24,81",,"24,81",,"24,81",,"24,81",,"35,34",,"38,56",,"34,85",,"36,69",,"31,47"
2/1/2020,00 - 01,"26,96","12,07","12,07","12,07","12,07","12,07","30,78","30,78","30,78","30,78","30,78","12,07","12,07","12,07",,"12,07",,"12,07",,"12,07",,"35,40",,"35,40",,"35,40",,"35,40",,"35,40"
2/1/2020,01 - 02,"27,04","13,13","13,13","13,13","13,13","13,13","30,64","30,64","30,64","30,64","30,64","13,13","13,13","13,13",,"13,13",,"13,13",,"13,13",,"31,98",,"31,98",,"31,98",,"31,98",,"31,98"
2/1/2020,02 - 03,"27,03","19,07","19,07","19,07","19,07","19,07","30,43","30,43","30,43","30,43","30,43","19,07","19,07","19,07",,"19,07",,"19,07",,"19,07",,"30,50",,"30,50",,"30,50",,"30,50",,"30,50"
2/1/2020,03 - 04,"26,54","21,12","21,12","21,12","21,12","21,12","28,79","28,79","29,84","29,84","29,84","21,12","21,12","21,12",,"21,12",,"21,12",,"21,12",,"28,79",,"28,79",,"28,79",,"28,79",,"28,79"
2/1/2020,04 - 05,"27,14","24,29","24,29","24,29","24,29","24,29","28,42","28,42","29,90","29,90","29,90","24,29","24,29","24,29",,"24,29",,"24,29",,"24,29",,"28,95",,"28,42",,"28,42",,"28,42",,"28,42"
2/1/2020,05 - 06,"28,20","26,27","26,27","26,27","26,27","26,27","28,75","28,75","30,44","30,44","30,44","26,27","26,27","26,27",,"26,27",,"26,27",,"26,27",,"31,02",,"28,75",,"28,75",,"28,75",,"28,75"
2/1/2020,06 - 07,"30,24","27,74","27,74","27,74","27,74","27,74","33,38","34,16","31,68","31,68","31,68","27,74","27,74","27,74",,"27,74",,"27,74",,"27,74",,"34,16",,"34,16",,"34,16",,"34,16",,"34,16"
2/1/2020,07 - 08,"30,63","28,39","28,39","28,39","28,39","28,39","31,79","42,07","31,79","31,79","31,79","28,39","28,39","28,39",,"28,39",,"28,39",,"28,39",,"42,07",,"42,07",,"42,07",,"42,07",,"42,07"
2/1/2020,08 - 09,"30,92","29,37","29,37","29,37","29,37","29,37","31,83","44,89","31,83","31,83","31,83","29,37","29,37","29,37",,"29,37",,"29,37",,"29,37",,"44,89",,"44,89",,"44,89",,"44,89",,"44,89"
2/1/2020,09 - 10,"30,99","29,95","29,95","29,95","29,95","29,95","31,74","45,26","31,74","31,74","31,74","29,95","29,95","29,95",,"29,95",,"29,95",,"29,95",,"45,26",,"45,26",,"45,26",,"45,26",,"45,26"
2/1/2020,10 - 11,"30,87","29,91","29,91","29,91","29,91","29,91","31,63","45,57","31,63","31,63","31,63","29,91","29,91","29,91",,"29,91",,"29,91",,"29,91",,"45,57",,"45,57",,"45,57",,"45,57",,"45,57"
2/1/2020,11 - 12,"30,75","29,96","29,96","29,96","29,96","29,96","31,32","45,09","31,32","31,32","31,32","29,96","29,96","29,96",,"29,96",,"29,96",,"29,96",,"45,09",,"45,09",,"45,09",,"45,09",,"45,09"
2/1/2020,12 - 13,"30,67","29,94","29,94","29,94","29,94","29,94","31,07","45,16","31,07","31,07","31,07","29,94","29,94","29,94",,"29,94",,"29,94",,"29,94",,"45,16",,"45,16",,"45,16",,"45,16",,"45,16"
2/1/2020,13 - 14,"30,65","29,94","29,94","29,94","29,94","29,94","31,06","44,90","31,06","31,06","31,06","29,94","29,94","29,94",,"29,94",,"29,94",,"29,94",,"44,90",,"44,90",,"44,90",,"44,90",,"44,90"
2/1/2020,14 - 15,"30,76","30,18","30,18","30,18","30,18","30,18","31,07","44,06","31,07","31,07","31,07","30,18","30,18","30,18",,"30,18",,"30,18",,"30,18",,"44,06",,"44,06",,"44,06",,"44,06",,"44,06"
2/1/2020,15 - 16,"31,08","30,96","30,96","30,96","30,96","30,96","31,26","44,84","31,26","31,26","31,26","30,96","30,96","30,96",,"30,96",,"30,96",,"30,96",,"44,91",,"44,00",,"44,84",,"43,94",,"43,63"
2/1/2020,16 - 17,"31,25","31,20","31,20","31,20","31,20","31,20","31,41","44,40","31,41","31,41","31,41","31,20","31,20","31,20",,"31,20",,"31,20",,"31,20",,"44,40",,"44,38",,"44,40",,"44,37",,"44,39"
2/1/2020,17 - 18,"31,18","30,98","30,98","30,98","30,98","30,98","31,40","46,05","31,40","31,40","31,40","30,98","30,98","30,98",,"30,98",,"30,98",,"30,98",,"46,05",,"46,05",,"46,05",,"46,05",,"46,05"
