,Hours,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,AT,BE,DE-LU,FR,NL
1/1/2021,00 - 01,"24,74","24,95","24,95","24,95","24,95","24,95","50,87","50,87","24,95","24,95","24,95","23,77","23,77","18,65","24,95","24,95","24,95","50,87","50,87","50,87","50,87","50,87"
1/1/2021,01 - 02,"24,28","24,35","24,35","24,35","24,35","24,35","48,19","48,19","24,35","24,35","24,35","22,93","22,93","18,61","24,35","24,35","24,35","48,19","48,19","48,19","48,19","48,19"
1/1/2021,02 - 03,"23,90","23,98","23,98","23,98","23,98","23,98","44,68","44,68","23,98","23,98","23,98","23,68","23,68","18,57","23,98","23,98","23,98","44,68","44,68","44,68","44,68","44,68"
1/1/2021,03 - 04,"23,61","23,72","23,72","23,72","23,72","23,72","42,92","42,92","23,72","23,72","23,72","23,63","23,63","18,57","23,72","23,72","23,72","42,92","42,92","42,92","42,92","42,92"
1/1/2021,04 - 05,"23,66","23,73","23,73","23,73","23,73","23,73","40,39","40,39","23,73","23,73","23,73","23,71","23,71","18,59","23,73","23,73","23,73","40,39","40,39","40,39","40,39","40,39"
1/1/2021,05 - 06,"24,06","24,06","24,06","24,06","24,06","24,06","40,20","40,20","24,06","24,06","24,06","23,89","23,89","18,67","24,06","24,06","24,06","40,20","40,20","40,20","40,20","40,20"
1/1/2021,06 - 07,"24,43","24,44","24,44","24,44","24,44","24,44","39,63","39,63","24,44","24,44","24,44","24,36","24,36","18,71","24,44","24,44","24,44","39,63","39,63","39,63","39,63","39,63"
1/1/2021,07 - 08,"24,90","24,93","24,93","24,93","24,93","24,93","40,09","40,09","24,93","24,93","24,93","24,93","24,93","18,52","24,93","24,93","24,93","40,09","40,09","40,09","40,09","40,09"
1/1/2021,08 - 09,"24,91","24,90","24,90","24,90","24,90","24,90","41,27","41,27","24,90","24,90","24,90","24,90","24,90","18,62","24,90","24,90","24,90","41,27","41,27","41,27","41,27","41,27"
1/1/2021,09 - 10,"25,25","25,07","25,07","25,07","25,07","25,07","44,88","44,88","25,07","25,07","25,07","25,07","25,07","18,80","25,07","25,07","25,07","44,88","44,88","44,88","44,88","44,88"
1/1/2021,10 - 11,"25,92","25,63","25,63","25,63","30,02","25,63","45,00","45,00","25,63","25,63","25,63","25,63","25,63","18,94","30,02","30,02","30,02","45,00","45,00","45,00","45,00","45,00"
1/1/2021,11 - 12,"26,40","25,92","25,92","25,92","37,14","25,92","47,20","47,20","25,92","25,92","25,92","25,92","25,92","19,00","37,14","37,14","37,14","47,20","47,20","47,20","47,20","47,20"
