Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Relative humidity (%),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2013,1,1,00:00,UTC,8,0.2,100,0.3,150,3
2013,1,1,01:00,UTC,8,-1,99,0.3,143,3
2013,1,1,02:00,UTC,8,0.2,100,0.2,141,3.8
2013,1,1,03:00,UTC,8,0.5,100,0.2,143,3.4
2013,1,1,04:00,UTC,8,0.4,100,0.3,144,3.1
2013,1,1,05:00,UTC,8,-1,100,0.5,143,3
2013,1,1,06:00,UTC,8,-1,100,0.5,143,3.1
2013,1,1,07:00,UTC,8,0.2,99,0.7,126,3.2
2013,1,1,08:00,UTC,8,0.2,99,0.6,117,3.2
2013,1,1,09:00,UTC,8,0.4,99,0.4,107,3.8
2013,1,1,10:00,UTC,8,0.3,99,0.6,111,3.5
2013,1,1,11:00,UTC,8,0.2,98,0.6,110,3.9
2013,1,1,12:00,UTC,8,0.1,98,0.6,107,4
2013,1,1,13:00,UTC,8,0.2,99,0.6,105,4.1
2013,1,1,14:00,UTC,8,0.2,99,0.5,104,3.2
2013,1,1,15:00,UTC,8,0.2,99,0.4,100,2.5
2013,1,1,16:00,UTC,8,0.2,100,0.3,94,1.9
2013,1,1,17:00,UTC,8,0.1,100,0.2,83,1.6
2013,1,1,18:00,UTC,8,-1,100,0.2,68,1.7
2013,1,1,19:00,UTC,8,-1,100,0.2,70,1.6
2013,1,1,20:00,UTC,8,-1,100,0.2,53,1.5
2013,1,1,21:00,UTC,8,-1,100,0.2,56,1.3
2013,1,1,22:00,UTC,8,-1,100,0.2,36,0.8
2013,1,1,23:00,UTC,8,0.2,100,0.1,30,0.8
2013,1,2,00:00,UTC,8,-1,100,0.1,0,0
2013,1,2,01:00,UTC,8,-1,100,0.1,4,1
2013,1,2,02:00,UTC,8,-1,100,0.1,26,0.9
2013,1,2,03:00,UTC,7,-1,100,0.1,339,0.7
2013,1,2,04:00,UTC,8,-1,100,0.2,9,0.7
2013,1,2,05:00,UTC,8,-1,100,0.2,354,1
2013,1,2,06:00,UTC,8,-1,100,0.2,352,0.9
2013,1,2,07:00,UTC,8,-1,100,0.1,349,0.9
2013,1,2,08:00,UTC,8,-1,100,0.1,353,0.9
2013,1,2,09:00,UTC,8,-1,100,0.1,23,1.1
2013,1,2,10:00,UTC,8,-1,100,0.1,0,0
2013,1,2,11:00,UTC,8,-1,100,0.1,2,1.1
2013,1,2,12:00,UTC,8,-1,100,0,360,1.5
2013,1,2,13:00,UTC,7,0.2,100,-0.2,13,1.7
2013,1,2,14:00,UTC,8,-1,100,-0.2,12,1.5
2013,1,2,15:00,UTC,8,-1,100,-0.4,2,1.3
2013,1,2,16:00,UTC,8,-1,99,-0.5,15,1.5
2013,1,2,17:00,UTC,7,-1,98,-0.6,356,1.1
2013,1,2,18:00,UTC,8,-1,98,-0.7,346,1.2
2013,1,2,19:00,UTC,7,-1,97,-0.8,352,1.4
2013,1,2,20:00,UTC,7,-1,96,-0.9,350,1.3
2013,1,2,21:00,UTC,7,-1,96,-1.1,341,1.3
2013,1,2,22:00,UTC,8,-1,96,-1.3,334,1.6
2013,1,2,23:00,UTC,7,-1,95,-1.6,334,1
2013,1,3,00:00,UTC,8,-1,95,-2,327,1.3
2013,1,3,01:00,UTC,8,-1,95,-2.3,322,1.2
2013,1,3,02:00,UTC,8,-1,96,-2.5,316,1.2
2013,1,3,03:00,UTC,8,-1,94,-3.1,316,1.5
2013,1,3,04:00,UTC,8,-1,96,-3.8,311,1.6
2013,1,3,05:00,UTC,8,-1,98,-4.4,321,1.3
2013,1,3,06:00,UTC,8,-1,99,-5.1,314,1.3
2013,1,3,07:00,UTC,8,-1,99,-5.5,309,1.3
2013,1,3,08:00,UTC,8,-1,99,-5.5,359,0.7
