Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Relative humidity (%),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2013,1,1,00:00,UTC,7,0.2,98,-4,98,1.2
2013,1,1,01:00,UTC,7,0.8,98,-3.2,120,1.7
2013,1,1,02:00,UTC,7,0.2,99,-2.8,121,1.7
2013,1,1,03:00,UTC,7,-1,99,-2.1,137,2.8
2013,1,1,04:00,UTC,7,-1,99,-2.2,137,2.7
2013,1,1,05:00,UTC,7,-1,99,-2.2,144,2.5
2013,1,1,06:00,UTC,7,-1,99,-2.5,142,3
2013,1,1,07:00,UTC,7,0.2,99,-2.5,141,3.1
2013,1,1,08:00,UTC,7,-1,99,-2.6,144,2
2013,1,1,09:00,UTC,7,-1,98,-2.6,131,2.3
2013,1,1,10:00,UTC,8,-1,98,-3,126,2.8
2013,1,1,11:00,UTC,8,0.2,98,-3.5,108,2.7
2013,1,1,12:00,UTC,8,-1,98,-3.8,108,2.3
2013,1,1,13:00,UTC,9,0.6,98,-3.8,103,2.4
2013,1,1,14:00,UTC,8,0.6,98,-3.4,103,2.2
2013,1,1,15:00,UTC,8,0.7,98,-3,110,2.6
2013,1,1,16:00,UTC,8,0.2,98,-2.7,103,2.3
2013,1,1,17:00,UTC,8,0.3,98,-2.5,104,2.3
2013,1,1,18:00,UTC,8,0.3,98,-2.5,97,2
2013,1,1,19:00,UTC,8,0.4,98,-2.5,98,2.5
2013,1,1,20:00,UTC,8,-1,98,-2.6,108,2.2
2013,1,1,21:00,UTC,8,-1,97,-2.7,104,2.2
2013,1,1,22:00,UTC,8,0.2,98,-2.9,97,2.7
2013,1,1,23:00,UTC,8,-1,98,-3,103,1.9
2013,1,2,00:00,UTC,8,0.2,98,-3.2,102,2.3
2013,1,2,01:00,UTC,8,0.2,97,-3.5,101,1.7
2013,1,2,02:00,UTC,8,0.2,97,-3.7,102,2.3
2013,1,2,03:00,UTC,8,-1,97,-3.8,96,1.7
2013,1,2,04:00,UTC,8,-1,97,-3.9,95,1.6
2013,1,2,05:00,UTC,8,-1,97,-4.1,101,1.4
2013,1,2,06:00,UTC,8,-1,97,-4.3,102,1.1
2013,1,2,07:00,UTC,8,0.2,97,-4.5,92,0.6
2013,1,2,08:00,UTC,8,-1,97,-5.1,0,0
2013,1,2,09:00,UTC,8,-1,97,-5.5,0,0
2013,1,2,10:00,UTC,8,-1,97,-5.7,0,0
2013,1,2,11:00,UTC,8,-1,97,-5.8,0,0
2013,1,2,12:00,UTC,8,-1,97,-5.9,0,0
2013,1,2,13:00,UTC,8,-1,97,-5.7,262,0.8
2013,1,2,14:00,UTC,8,-1,97,-5.7,276,0.6
2013,1,2,15:00,UTC,8,-1,97,-5.9,290,0.9
2013,1,2,16:00,UTC,8,-1,97,-5.5,263,1
2013,1,2,17:00,UTC,8,-1,97,-5.1,268,1.1
2013,1,2,18:00,UTC,8,-1,97,-5.2,272,1.1
2013,1,2,19:00,UTC,8,-1,97,-5.2,218,0.6
2013,1,2,20:00,UTC,8,-1,97,-5.2,251,0.9
2013,1,2,21:00,UTC,8,-1,97,-5,266,0.7
2013,1,2,22:00,UTC,8,-1,97,-5.1,246,0.8
2013,1,2,23:00,UTC,8,-1,97,-5.1,247,0.7
2013,1,3,00:00,UTC,8,-1,97,-5.1,240,1
2013,1,3,01:00,UTC,8,-1,97,-5.2,0,0
2013,1,3,02:00,UTC,8,-1,97,-5.3,271,0.8
2013,1,3,03:00,UTC,8,-1,97,-5.4,238,1.1
2013,1,3,04:00,UTC,8,-1,97,-5.1,293,0.6
2013,1,3,05:00,UTC,8,-1,97,-5.3,253,1.1
2013,1,3,06:00,UTC,8,-1,97,-5.2,271,1
2013,1,3,07:00,UTC,8,-1,97,-5.2,261,0.7
2013,1,3,08:00,UTC,8,-1,97,-5.3,251,0.8
2013,1,3,09:00,UTC,7,-1,96,-5.8,235,0.7
2013,1,3,10:00,UTC,8,-1,97,-6.2,296,0.8
2013,1,3,11:00,UTC,8,-1,96,-5.5,274,0.9
2013,1,3,12:00,UTC,8,-1,96,-5.9,275,0.8
2013,1,3,13:00,UTC,8,-1,96,-6,237,0.7
2013,1,3,14:00,UTC,8,-1,97,-6.3,276,0.9
2013,1,3,15:00,UTC,7,-1,96,-6.7,0,0
2013,1,3,16:00,UTC,8,-1,96,-6.6,260,0.6
2013,1,3,17:00,UTC,8,-1,96,-6.5,0,0
2013,1,3,18:00,UTC,8,-1,96,-6.5,0,0
2013,1,3,19:00,UTC,8,-1,96,-6.5,104,0.6
2013,1,3,20:00,UTC,8,-1,96,-6.5,0,0
2013,1,3,21:00,UTC,8,-1,95,-6.4,0,0
2013,1,3,22:00,UTC,8,-1,96,-6.2,190,0.6
2013,1,3,23:00,UTC,8,-1,96,-6,218,1.1
2013,1,4,00:00,UTC,8,-1,97,-6.1,239,1.2
2013,1,4,01:00,UTC,8,-1,96,-6.7,179,1.2
2013,1,4,02:00,UTC,8,-1,95,-7,215,1.2
2013,1,4,03:00,UTC,8,-1,96,-7,254,1.1
2013,1,4,04:00,UTC,7,-1,95,-7.6,274,1.3
2013,1,4,05:00,UTC,8,-1,95,-7.9,268,1.2
2013,1,4,06:00,UTC,8,-1,95,-8.4,282,1.4
2013,1,4,07:00,UTC,7,-1,95,-8.7,279,1.5
2013,1,4,08:00,UTC,8,-1,95,-8.3,263,1
2013,1,4,09:00,UTC,8,-1,94,-8.4,278,1.4
2013,1,4,10:00,UTC,7,-1,93,-9.1,273,1.1
2013,1,4,11:00,UTC,0,-1,92,-10.7,227,0.8
2013,1,4,12:00,UTC,3,-1,91,-12.8,265,1.7
2013,1,4,13:00,UTC,0,-1,89,-15.2,264,1.5
2013,1,4,14:00,UTC,3,-1,91,-14.6,262,1.8
2013,1,4,15:00,UTC,0,-1,91,-14.3,253,1.4
2013,1,4,16:00,UTC,0,-1,89,-17.3,235,1.4
2013,1,4,17:00,UTC,0,-1,88,-17.6,278,1.3
2013,1,4,18:00,UTC,0,-1,93,-15.4,267,1.5
2013,1,4,19:00,UTC,0,-1,90,-13.9,258,0.9
2013,1,4,20:00,UTC,0,-1,87,-15.9,290,0.9
2013,1,4,21:00,UTC,7,-1,91,-15.2,272,0.9
