Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Relative humidity (%),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2013,1,1,00:00,UTC,7,0.2,96,-5.5,111,1.4
2013,1,1,01:00,UTC,8,0.2,96,-5.4,0,0
2013,1,1,02:00,UTC,8,-1,96,-5.3,0,0
2013,1,1,03:00,UTC,8,-1,96,-5.1,131,0.9
2013,1,1,04:00,UTC,7,0.2,97,-4.5,178,1.8
2013,1,1,05:00,UTC,8,-1,99,-3.2,176,2.7
2013,1,1,06:00,UTC,7,-1,98,-2.9,150,2.2
2013,1,1,07:00,UTC,8,-1,98,-3.1,129,2.3
2013,1,1,08:00,UTC,8,-1,98,-2.9,127,1.6
2013,1,1,09:00,UTC,8,0.2,99,-2.6,132,2.1
2013,1,1,10:00,UTC,7,0.1,98,-2.4,131,2.7
2013,1,1,11:00,UTC,8,-1,98,-2.5,128,3.2
2013,1,1,12:00,UTC,8,-1,99,-2.5,116,1.9
2013,1,1,13:00,UTC,8,-1,99,-2.6,115,2.1
2013,1,1,14:00,UTC,8,0.4,99,-2.6,104,2.5
2013,1,1,15:00,UTC,8,0.4,99,-2.7,101,2.2
2013,1,1,16:00,UTC,8,0.3,98,-2.8,96,1.8
2013,1,1,17:00,UTC,8,0.1,98,-2.9,70,0.9
2013,1,1,18:00,UTC,8,0.2,98,-2.9,43,0.6
2013,1,1,19:00,UTC,8,0.1,99,-2.7,82,1.3
2013,1,1,20:00,UTC,8,-1,99,-2.7,31,0.8
2013,1,1,21:00,UTC,8,-1,99,-2.6,58,1
2013,1,1,22:00,UTC,8,-1,98,-2.6,0,0
2013,1,1,23:00,UTC,8,0.2,99,-2.6,35,1.1
2013,1,2,00:00,UTC,8,-1,98,-2.8,18,0.8
2013,1,2,01:00,UTC,8,-1,98,-2.9,2,1.1
2013,1,2,02:00,UTC,8,-1,99,-2.9,21,1.3
2013,1,2,03:00,UTC,8,-1,99,-2.9,25,1.1
2013,1,2,04:00,UTC,8,-1,99,-3,35,1
2013,1,2,05:00,UTC,9,-1,99,-3,17,0.9
2013,1,2,06:00,UTC,9,-1,99,-3,1,0.8
2013,1,2,07:00,UTC,9,-1,98,-3.1,340,0.8
2013,1,2,08:00,UTC,8,-1,98,-3.2,353,1.6
2013,1,2,09:00,UTC,8,-1,98,-3.4,325,1.7
2013,1,2,10:00,UTC,7,-1,98,-3.6,328,2
2013,1,2,11:00,UTC,8,-1,97,-4.3,337,2.1
2013,1,2,12:00,UTC,8,-1,97,-4.4,335,1.8
2013,1,2,13:00,UTC,8,-1,97,-4.5,0,0
2013,1,2,14:00,UTC,8,-1,97,-4.6,340,1.2
2013,1,2,15:00,UTC,8,-1,97,-4.8,350,1.6
2013,1,2,16:00,UTC,8,-1,97,-5.1,0,0
2013,1,2,17:00,UTC,8,-1,97,-5.4,343,1.5
2013,1,2,18:00,UTC,8,-1,96,-5.6,306,1.4
2013,1,2,19:00,UTC,7,-1,95,-6,0,0
2013,1,2,20:00,UTC,8,-1,95,-6.3,338,0.6
2013,1,2,21:00,UTC,8,-1,96,-6.2,343,2
2013,1,2,22:00,UTC,8,-1,96,-6.1,351,1.9
2013,1,2,23:00,UTC,8,-1,95,-6.1,328,1.5
2013,1,3,00:00,UTC,8,-1,96,-6,0,0
2013,1,3,01:00,UTC,8,-1,96,-5.9,0,0
2013,1,3,02:00,UTC,8,-1,95,-5.9,322,1.4
2013,1,3,03:00,UTC,8,-1,96,-6.1,254,0.7
2013,1,3,04:00,UTC,8,-1,96,-5.8,181,1.1
2013,1,3,05:00,UTC,8,-1,96,-5.9,0,0
2013,1,3,06:00,UTC,8,-1,96,-5.8,0,0
2013,1,3,07:00,UTC,8,-1,96,-6.1,0,0
2013,1,3,08:00,UTC,8,-1,96,-6,220,2
2013,1,3,09:00,UTC,8,-1,96,-5.9,214,0.8
2013,1,3,10:00,UTC,8,-1,95,-6.5,156,1.5
2013,1,3,11:00,UTC,8,-1,95,-6.5,144,1.1
2013,1,3,12:00,UTC,8,-1,95,-6.5,193,1.3
2013,1,3,13:00,UTC,8,-1,95,-6.5,0,0
2013,1,3,14:00,UTC,8,-1,95,-6.5,152,1
2013,1,3,15:00,UTC,8,-1,95,-6.8,0,0
2013,1,3,16:00,UTC,8,-1,95,-7.1,99,1.4
2013,1,3,17:00,UTC,8,-1,95,-7.4,88,1.1
2013,1,3,18:00,UTC,7,-1,95,-7.3,96,0.9
2013,1,3,19:00,UTC,7,-1,95,-7.3,0,0
2013,1,3,20:00,UTC,7,-1,95,-7.4,273,0.9
2013,1,3,21:00,UTC,7,-1,95,-7.5,320,1.3
2013,1,3,22:00,UTC,7,-1,94,-7.7,0,0
2013,1,3,23:00,UTC,7,-1,94,-7.8,0,0
2013,1,4,00:00,UTC,7,-1,94,-8.3,0,0
2013,1,4,01:00,UTC,7,-1,94,-8.5,0,0
2013,1,4,02:00,UTC,7,-1,94,-8.5,337,1.6
2013,1,4,03:00,UTC,7,-1,94,-8.5,306,1.6
2013,1,4,04:00,UTC,7,-1,94,-8.5,0,0
2013,1,4,05:00,UTC,5,-1,93,-8.6,1,1.4
2013,1,4,06:00,UTC,5,-1,94,-9.3,343,3
2013,1,4,07:00,UTC,7,-1,95,-8.1,341,2.6
2013,1,4,08:00,UTC,7,-1,94,-8.3,340,2.8
2013,1,4,09:00,UTC,1,-1,93,-9,326,2
2013,1,4,10:00,UTC,1,-1,94,-9.1,331,2.5
2013,1,4,11:00,UTC,0,-1,93,-9.5,322,2.5
2013,1,4,12:00,UTC,0,-1,95,-9.3,331,3.4
2013,1,4,13:00,UTC,3,-1,94,-9,299,3.2
2013,1,4,14:00,UTC,7,-1,94,-6.5,318,4.2
2013,1,4,15:00,UTC,1,-1,94,-7.6,294,3.8
2013,1,4,16:00,UTC,1,-1,96,-7.4,312,3.5
2013,1,4,17:00,UTC,1,-1,95,-7.6,303,4.2
2013,1,4,18:00,UTC,0,-1,94,-7.2,298,3.3
2013,1,4,19:00,UTC,0,-1,95,-6.3,290,7.4
2013,1,4,20:00,UTC,0,-1,96,-6.3,295,5.3
