Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Relative humidity (%),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2013,1,1,00:00,UTC,,,98,0.8,142,3.7
2013,1,1,01:00,UTC,,,98,1.4,150,4.3
2013,1,1,02:00,UTC,,,98,1.7,162,3.3
2013,1,1,03:00,UTC,,,99,2.3,152,3.7
2013,1,1,04:00,UTC,,,99,3,161,3.5
2013,1,1,05:00,UTC,,,99,3.3,167,3.5
2013,1,1,06:00,UTC,,,99,3.3,169,3.9
2013,1,1,07:00,UTC,,,99,3.2,166,3.4
2013,1,1,08:00,UTC,,,99,3.5,168,3.7
2013,1,1,09:00,UTC,,,98,3.7,176,4.2
2013,1,1,10:00,UTC,,,97,3.7,173,4.1
2013,1,1,11:00,UTC,,,98,3.6,175,4.1
2013,1,1,12:00,UTC,,,98,3.4,172,3.4
2013,1,1,13:00,UTC,,,98,3.4,174,3
2013,1,1,14:00,UTC,,,98,3.2,168,3.5
2013,1,1,15:00,UTC,,,99,3.5,173,3.6
2013,1,1,16:00,UTC,,,99,3.3,174,3.2
2013,1,1,17:00,UTC,,,99,3.3,172,2
2013,1,1,18:00,UTC,,,96,3.4,184,3
2013,1,1,19:00,UTC,,,97,2.8,173,1.2
2013,1,1,20:00,UTC,,,96,3,167,1.7
2013,1,1,21:00,UTC,,,96,2.9,167,2.4
2013,1,1,22:00,UTC,,,96,2.8,168,2.1
2013,1,1,23:00,UTC,,,96,2.8,168,1.6
2013,1,2,00:00,UTC,,,96,2.5,158,2.1
2013,1,2,01:00,UTC,,,97,2.5,160,1.8
2013,1,2,02:00,UTC,,,97,2.4,164,1.6
2013,1,2,03:00,UTC,,,97,2.4,173,1.5
2013,1,2,04:00,UTC,,,97,2.4,168,2.1
2013,1,2,05:00,UTC,,,98,2.2,184,1.1
2013,1,2,06:00,UTC,,,97,2.2,187,1.3
2013,1,2,07:00,UTC,,,97,1.8,179,0.7
2013,1,2,08:00,UTC,,,98,1.4,175,0.8
2013,1,2,09:00,UTC,,,98,1.9,240,1.4
2013,1,2,10:00,UTC,,,95,1.8,194,0.9
2013,1,2,11:00,UTC,,,95,1.6,196,1.5
2013,1,2,12:00,UTC,,,94,1.5,206,0.6
2013,1,2,13:00,UTC,,,95,1.2,196,0.9
2013,1,2,14:00,UTC,,,96,1,74,0.6
2013,1,2,15:00,UTC,,,97,0.8,0,0
2013,1,2,16:00,UTC,,,98,0.6,0,0
2013,1,2,17:00,UTC,,,98,0.6,175,0.9
2013,1,2,18:00,UTC,,,98,0.5,159,0.8
2013,1,2,19:00,UTC,,,99,0.5,180,0.6
2013,1,2,20:00,UTC,,,99,0.5,186,1
2013,1,2,21:00,UTC,,,98,0.5,238,0.7
2013,1,2,22:00,UTC,,,97,0.4,268,1.1
2013,1,2,23:00,UTC,,,98,0.4,251,1.1
2013,1,3,00:00,UTC,,,98,0.4,231,1.1
2013,1,3,01:00,UTC,,,98,0.4,207,0.7
2013,1,3,02:00,UTC,,,98,0.4,215,1
2013,1,3,03:00,UTC,,,97,0.3,0,0
2013,1,3,04:00,UTC,,,97,0.3,287,2
2013,1,3,05:00,UTC,,,96,0.2,286,1.5
2013,1,3,06:00,UTC,,,96,0.1,289,2.5
2013,1,3,07:00,UTC,,,94,0.1,266,0.9
2013,1,3,08:00,UTC,,,96,-0.2,189,0.8
2013,1,3,09:00,UTC,,,96,-0.1,204,1.1
2013,1,3,10:00,UTC,,,96,-0.1,209,0.7
2013,1,3,11:00,UTC,,,95,-0.1,230,0.8
2013,1,3,12:00,UTC,,,95,-0.2,195,0.8
2013,1,3,13:00,UTC,,,96,-0.3,0,0
2013,1,3,14:00,UTC,,,96,-1.2,0,0
2013,1,3,15:00,UTC,,,98,-1,154,0.7
2013,1,3,16:00,UTC,,,97,-0.6,188,1.5
2013,1,3,17:00,UTC,,,97,-0.7,0,0
2013,1,3,18:00,UTC,,,98,-0.7,141,1.1
2013,1,3,19:00,UTC,,,98,-0.5,147,1.2
2013,1,3,20:00,UTC,,,98,-0.4,0,0
2013,1,3,21:00,UTC,,,99,-0.3,0,0
2013,1,3,22:00,UTC,,,99,-0.1,0,0
2013,1,3,23:00,UTC,,,99,0,0,0
