Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Relative humidity (%),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2013,1,1,00:00,UTC,,-1,97,1.3,168,4.8
2013,1,1,01:00,UTC,,-1,97,1.3,167,4.9
2013,1,1,02:00,UTC,,-1,96,1.2,160,4.8
2013,1,1,03:00,UTC,,0.6,97,0.7,156,4.6
2013,1,1,04:00,UTC,,1.6,98,0.5,153,4.7
2013,1,1,05:00,UTC,,1.1,98,0.4,163,4.1
2013,1,1,06:00,UTC,,0.6,98,1,165,4.2
2013,1,1,07:00,UTC,,0.7,98,1.5,170,4.7
2013,1,1,08:00,UTC,,1,98,1.8,184,5.4
2013,1,1,09:00,UTC,,0.5,98,1.8,187,5.8
2013,1,1,10:00,UTC,,0.3,98,2.1,186,4.8
2013,1,1,11:00,UTC,,0.8,98,2.3,193,5.5
2013,1,1,12:00,UTC,,1.4,98,2.4,199,6.3
2013,1,1,13:00,UTC,,0.9,98,2.3,201,6.6
2013,1,1,14:00,UTC,,1.1,98,2.1,199,5.9
2013,1,1,15:00,UTC,,0.8,98,1.9,199,5.1
2013,1,1,16:00,UTC,,0.2,98,2,207,6.1
2013,1,1,17:00,UTC,,0.1,98,2,204,5.8
2013,1,1,18:00,UTC,,0.2,98,2.1,208,5.8
2013,1,1,19:00,UTC,,0.2,98,2,208,5.5
2013,1,1,20:00,UTC,,-1,98,2.4,208,5.1
2013,1,1,21:00,UTC,,-1,99,2.2,208,4.3
2013,1,1,22:00,UTC,,-1,99,2.1,213,4.4
2013,1,1,23:00,UTC,,-1,99,2.1,214,4.8
2013,1,2,00:00,UTC,,-1,99,2.1,215,4.3
2013,1,2,01:00,UTC,,-1,99,1.7,200,3
2013,1,2,02:00,UTC,,-1,99,1.5,198,3.8
2013,1,2,03:00,UTC,,-1,99,1.5,206,3.9
2013,1,2,04:00,UTC,,-1,99,1.4,198,4.3
2013,1,2,05:00,UTC,,-1,99,1.3,192,3
2013,1,2,06:00,UTC,,-1,99,1.4,198,2.8
2013,1,2,07:00,UTC,,-1,99,1.3,193,2.5
2013,1,2,08:00,UTC,,0.5,99,1.5,223,2.3
2013,1,2,09:00,UTC,,1.2,99,1.2,226,2.2
2013,1,2,10:00,UTC,,1.3,99,0.3,222,2
2013,1,2,11:00,UTC,,1,99,0.3,230,2.3
2013,1,2,12:00,UTC,,0.5,99,0.4,237,2.3
2013,1,2,13:00,UTC,,-1,99,0.7,236,3.1
2013,1,2,14:00,UTC,,-1,99,1,234,2.9
2013,1,2,15:00,UTC,,-1,95,1.1,254,2.2
2013,1,2,16:00,UTC,,-1,96,1,240,2.4
