Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Relative humidity (%),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2013,1,1,00:00,UTC,,,94,-5.4,146,3.3
2013,1,1,01:00,UTC,,,93,-5.7,139,4.8
2013,1,1,02:00,UTC,,,93,-5.4,143,5.3
2013,1,1,03:00,UTC,,,94,-5.1,146,7.5
2013,1,1,04:00,UTC,,,95,-4,160,7.5
2013,1,1,05:00,UTC,,,95,-3.8,161,7.6
2013,1,1,06:00,UTC,,,95,-3.6,152,7.7
2013,1,1,07:00,UTC,,,95,-3.5,140,7
2013,1,1,08:00,UTC,,,95,-3.5,134,7.8
2013,1,1,09:00,UTC,,,95,-3.5,126,7.4
2013,1,1,10:00,UTC,,,95,-3.6,127,8
2013,1,1,11:00,UTC,,,95,-3.7,118,6.7
2013,1,1,12:00,UTC,,,95,-3.7,122,6.2
2013,1,1,13:00,UTC,,,95,-3.7,107,5.6
2013,1,1,14:00,UTC,,,95,-3.7,91,7.4
2013,1,1,15:00,UTC,,,95,-3.7,95,6.3
2013,1,1,16:00,UTC,,,95,-3.9,96,5.3
2013,1,1,17:00,UTC,,,94,-3.9,91,5
2013,1,1,18:00,UTC,,,94,-3.9,81,4.6
2013,1,1,19:00,UTC,,,94,-3.9,75,4.8
2013,1,1,20:00,UTC,,,95,-3.9,59,5.2
2013,1,1,21:00,UTC,,,95,-3.9,56,4
2013,1,1,22:00,UTC,,,95,-3.9,59,3.4
2013,1,1,23:00,UTC,,,95,-3.9,57,3.1
2013,1,2,00:00,UTC,,,95,-3.9,58,4.4
2013,1,2,01:00,UTC,,,94,-3.9,51,2.9
2013,1,2,02:00,UTC,,,94,-3.9,52,4
2013,1,2,03:00,UTC,,,94,-4,41,3.6
2013,1,2,04:00,UTC,,,94,-4,52,4.2
2013,1,2,05:00,UTC,,,94,-4.1,46,4.1
2013,1,2,06:00,UTC,,,94,-4.1,23,3.4
2013,1,2,07:00,UTC,,,94,-4.2,345,2.4
2013,1,2,08:00,UTC,,,94,-4.2,349,2.8
2013,1,2,09:00,UTC,,,94,-4.2,1,3.7
2013,1,2,10:00,UTC,,,94,-4.3,308,1.6
2013,1,2,11:00,UTC,,,94,-4.4,324,2.5
2013,1,2,12:00,UTC,,,94,-4.5,290,1.7
2013,1,2,13:00,UTC,,,94,-4.8,273,2.8
2013,1,2,14:00,UTC,,,93,-5.1,286,3.7
2013,1,2,15:00,UTC,,,93,-5.7,285,3.7
2013,1,2,16:00,UTC,,,93,-6.2,286,3.1
2013,1,2,17:00,UTC,,,93,-6.4,309,3.4
2013,1,2,18:00,UTC,,,93,-6.5,306,3
2013,1,2,19:00,UTC,,,92,-6.7,10,4
2013,1,2,20:00,UTC,,,93,-6.7,344,3.5
2013,1,2,21:00,UTC,,,93,-6.5,344,4.5
2013,1,2,22:00,UTC,,,93,-6.5,355,3.5
2013,1,2,23:00,UTC,,,93,-6.6,343,2.9
2013,1,3,00:00,UTC,,,93,-6.6,350,3.5
2013,1,3,01:00,UTC,,,93,-6.6,311,2.7
2013,1,3,02:00,UTC,,,93,-6.6,12,2.9
2013,1,3,03:00,UTC,,,92,-6.6,11,1.9
2013,1,3,04:00,UTC,,,92,-6.6,5,1
2013,1,3,05:00,UTC,,,93,-6.6,74,2.2
2013,1,3,06:00,UTC,,,92,-6.5,86,2.1
2013,1,3,07:00,UTC,,,93,-6.5,127,2.8
2013,1,3,08:00,UTC,,,93,-6.5,189,1.8
2013,1,3,09:00,UTC,,,92,-6.6,283,0.8
2013,1,3,10:00,UTC,,,92,-6.6,117,2.3
2013,1,3,11:00,UTC,,,92,-6.7,99,3.1
2013,1,3,12:00,UTC,,,92,-6.8,120,1.6
2013,1,3,13:00,UTC,,,92,-7.1,117,3.5
2013,1,3,14:00,UTC,,,92,-7.2,106,2.7
2013,1,3,15:00,UTC,,,92,-7.4,57,2.7
2013,1,3,16:00,UTC,,,92,-7.4,65,3.7
2013,1,3,17:00,UTC,,,92,-7.6,81,4.8
2013,1,3,18:00,UTC,,,91,-7.9,100,4.6
2013,1,3,19:00,UTC,,,91,-8.2,0,0
2013,1,3,20:00,UTC,,,91,-8.4,261,3
2013,1,3,21:00,UTC,,,91,-8.6,322,3.2
2013,1,3,22:00,UTC,,,91,-8.9,297,3.3
2013,1,3,23:00,UTC,,,91,-9,310,2.8
2013,1,4,00:00,UTC,,,90,-9.1,279,4.3
2013,1,4,01:00,UTC,,,90,-9.3,286,5.5
2013,1,4,02:00,UTC,,,90,-9.4,294,5.7
2013,1,4,03:00,UTC,,,90,-9.5,278,5.6
2013,1,4,04:00,UTC,,,90,-9.8,285,5
2013,1,4,05:00,UTC,,,90,-9.8,318,3.5
2013,1,4,06:00,UTC,,,91,-9.4,335,4.3
2013,1,4,07:00,UTC,,,92,-7.8,345,4.7
2013,1,4,08:00,UTC,,,92,-6.8,341,4
2013,1,4,09:00,UTC,,,92,-6.5,329,3.8
2013,1,4,10:00,UTC,,,92,-6.6,319,4.3
2013,1,4,11:00,UTC,,,92,-6.7,303,5.3
2013,1,4,12:00,UTC,,,92,-7.3,327,5.7
2013,1,4,13:00,UTC,,,92,-7.4,300,7.7
2013,1,4,14:00,UTC,,,92,-7.4,298,8.3
2013,1,4,15:00,UTC,,,91,-8.3,315,8.6
2013,1,4,16:00,UTC,,,92,-8,313,8.1
2013,1,4,17:00,UTC,,,92,-8,305,8.4
2013,1,4,18:00,UTC,,,91,-8.1,300,8.5
2013,1,4,19:00,UTC,,,91,-8.1,306,10.1
2013,1,4,20:00,UTC,,,92,-7.8,309,11.8
2013,1,4,21:00,UTC,,,92,-7.5,307,9.2
2013,1,4,22:00,UTC,,,92,-7.1,300,11.1
2013,1,4,23:00,UTC,,,92,-7.1,311,10.7
2013,1,5,00:00,UTC,,,93,-6.7,309,9.5
2013,1,5,01:00,UTC,,,92,-6.6,310,10.1
2013,1,5,02:00,UTC,,,93,-6.6,316,10.4
2013,1,5,03:00,UTC,,,92,-6.7,316,8.4
2013,1,5,04:00,UTC,,,92,-6.8,312,10.2
2013,1,5,05:00,UTC,,,93,-6.5,324,6.8
2013,1,5,06:00,UTC,,,93,-6.3,322,7.3
2013,1,5,07:00,UTC,,,93,-6.5,329,6.7
2013,1,5,08:00,UTC,,,93,-6.2,331,6.6
2013,1,5,09:00,UTC,,,93,-6,330,5.9
2013,1,5,10:00,UTC,,,93,-6.1,320,5.1
2013,1,5,11:00,UTC,,,93,-5.9,342,5.7
2013,1,5,12:00,UTC,,,94,-5,348,6.4
2013,1,5,13:00,UTC,,,94,-4.8,352,5.7
2013,1,5,14:00,UTC,,,94,-4.7,355,6.4
2013,1,5,15:00,UTC,,,94,-4.6,13,6
2013,1,5,16:00,UTC,,,94,-4.6,20,6.2
2013,1,5,17:00,UTC,,,94,-4.7,28,6
2013,1,5,18:00,UTC,,,94,-4.8,42,5.1
2013,1,5,19:00,UTC,,,94,-4.9,48,4.2
2013,1,5,20:00,UTC,,,94,-5.1,59,3.9
2013,1,5,21:00,UTC,,,93,-5.2,91,2.8
2013,1,5,22:00,UTC,,,93,-5.2,141,1.6
2013,1,5,23:00,UTC,,,93,-5.3,157,2.4
2013,1,6,00:00,UTC,,,93,-5.4,192,3.7
2013,1,6,01:00,UTC,,,93,-5.6,179,4.1
2013,1,6,02:00,UTC,,,93,-5.8,186,4.6
2013,1,6,03:00,UTC,,,93,-6.2,198,5.3
2013,1,6,04:00,UTC,,,93,-6.4,199,6.3
2013,1,6,05:00,UTC,,,93,-6.5,197,7.1
2013,1,6,06:00,UTC,,,92,-6.8,196,7.7
2013,1,6,07:00,UTC,,,92,-7.1,190,7.8
2013,1,6,08:00,UTC,,,92,-7.6,194,8.1
2013,1,6,09:00,UTC,,,92,-7.7,195,8.1
2013,1,6,10:00,UTC,,,91,-8.3,198,7.8
2013,1,6,11:00,UTC,,,91,-8.6,198,9.3
2013,1,6,12:00,UTC,,,91,-9.2,194,9.6
2013,1,6,13:00,UTC,,,91,-8.8,197,10.5
2013,1,6,14:00,UTC,,,91,-9,194,9.4
2013,1,6,15:00,UTC,,,91,-8.8,198,11.2
2013,1,6,16:00,UTC,,,91,-9.2,207,11.8
2013,1,6,17:00,UTC,,,91,-8.7,207,12.2
2013,1,6,18:00,UTC,,,91,-9.1,206,11.1
2013,1,6,19:00,UTC,,,90,-9.6,213,11.8
