Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Relative humidity (%),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2013,1,1,00:00,UTC,,,99,0.3,66.9,5.5
2013,1,1,01:00,UTC,,,99,0.3,67.4,5.2
2013,1,1,02:00,UTC,,,99,0.5,69.4,4.9
2013,1,1,03:00,UTC,,,98,0.7,70,4.8
2013,1,1,04:00,UTC,,,97,0.8,67.9,5.4
2013,1,1,05:00,UTC,,,96,0.8,63.3,5.8
2013,1,1,06:00,UTC,,,98,0.7,62.8,6.7
2013,1,1,07:00,UTC,,,97,0.8,60.7,6.9
2013,1,1,08:00,UTC,,,97,0.8,59.2,7.1
2013,1,1,09:00,UTC,,,97,0.7,60.7,7.9
2013,1,1,10:00,UTC,,,97,0.8,63.3,7.6
2013,1,1,11:00,UTC,,,98,0.6,62.2,6.7
2013,1,1,12:00,UTC,,,99,0.6,63.8,6.5
2013,1,1,13:00,UTC,,,98,0.5,63.8,5.9
2013,1,1,14:00,UTC,,,99,0.4,63.8,5.7
2013,1,1,15:00,UTC,,,100,0.3,63.3,5.5
2013,1,1,16:00,UTC,,,100,0.3,63.8,4.6
2013,1,1,17:00,UTC,,,100,0.3,65.8,4
2013,1,1,18:00,UTC,,,100,0.3,66.4,3.5
2013,1,1,19:00,UTC,,,100,0.3,70,2.8
2013,1,1,20:00,UTC,,,100,0.3,78.2,2.5
2013,1,1,21:00,UTC,,,100,0.2,82.3,2.1
2013,1,1,22:00,UTC,,,100,0.1,81.8,1.5
2013,1,1,23:00,UTC,,,100,0.2,84.9,1.7
2013,1,2,00:00,UTC,,,101,0.2,85.4,1.8
2013,1,2,01:00,UTC,,,101,0.3,88,1.1
2013,1,2,02:00,UTC,,,101,0.4,93.1,1.4
2013,1,2,03:00,UTC,,,101,0.6,101.3,1.5
2013,1,2,04:00,UTC,,,101,0.6,93.6,1.6
2013,1,2,05:00,UTC,,,101,0.5,114.2,1.3
2013,1,2,06:00,UTC,,,101,0.7,90,1.1
2013,1,2,07:00,UTC,,,101,0.9,92.1,1.8
2013,1,2,08:00,UTC,,,101,1.1,101.3,1.8
2013,1,2,09:00,UTC,,,101,1,104.9,1.9
2013,1,2,10:00,UTC,,,101,1,92.1,1.8
2013,1,2,11:00,UTC,,,101,1,97.7,1.8
2013,1,2,12:00,UTC,,,101,1,96.2,2.2
2013,1,2,13:00,UTC,,,101,0.8,107,2.2
2013,1,2,14:00,UTC,,,101,0.8,113.7,1.4
2013,1,2,15:00,UTC,,,101,0.4,133.2,1.2
2013,1,2,16:00,UTC,,,101,0.1,137.4,1.6
2013,1,2,17:00,UTC,,,101,0,149.7,2.4
2013,1,2,18:00,UTC,,,101,-0.1,159.5,2
2013,1,2,19:00,UTC,,,101,-0.3,166.2,2.9
2013,1,2,20:00,UTC,,,101,-0.6,167.7,3.2
2013,1,2,21:00,UTC,,,101,-0.8,165.1,3.9
2013,1,2,22:00,UTC,,,101,-1.1,164.6,3.8
2013,1,2,23:00,UTC,,,101,-1.5,167.7,3.5
2013,1,3,00:00,UTC,,,100,-1.6,165.7,3.4
2013,1,3,01:00,UTC,,,99,-1.7,167.2,2.7
2013,1,3,02:00,UTC,,,99,-1.8,167.2,2.8
2013,1,3,03:00,UTC,,,99,-1.8,161.5,3
2013,1,3,04:00,UTC,,,99,-1.8,157.4,2.7
2013,1,3,05:00,UTC,,,99,-1.7,154.8,2.7
2013,1,3,06:00,UTC,,,99,-1.7,151.8,2.6
2013,1,3,07:00,UTC,,,97,-2,151.2,2.9
2013,1,3,08:00,UTC,,,98,-2.2,139.4,2.8
2013,1,3,09:00,UTC,,,98,-2.2,144,2.1
2013,1,3,10:00,UTC,,,99,-2.3,19,0.4
2013,1,3,11:00,UTC,,,99,-2.3,92.6,0.5
2013,1,3,12:00,UTC,,,99,-2.4,60.7,1.3
2013,1,3,13:00,UTC,,,99,-2.4,76.7,1.5
2013,1,3,14:00,UTC,,,100,-2.5,74.1,1.2
2013,1,3,15:00,UTC,,,99,-2.1,91.1,1.1
2013,1,3,16:00,UTC,,,98,-2,76.1,1.3
2013,1,3,17:00,UTC,,,96,-2,82.8,1.7
2013,1,3,18:00,UTC,,,97,-2.1,111.1,1.9
2013,1,3,19:00,UTC,,,96,-2.2,110.6,1.6
2013,1,3,20:00,UTC,,,95,-2.5,111.6,3.5
2013,1,3,21:00,UTC,,,94,-2.6,101.3,1.1
2013,1,3,22:00,UTC,,,95,-2.6,79.7,1.7
2013,1,3,23:00,UTC,,,95,-2.7,76.7,2.7
2013,1,4,00:00,UTC,,,95,-2.8,67.9,3
2013,1,4,01:00,UTC,,,95,-2.7,61.2,3.7
2013,1,4,02:00,UTC,,,96,-2.8,69.4,1.9
2013,1,4,03:00,UTC,,,96,-2.7,56.1,2.3
2013,1,4,04:00,UTC,,,94,-2.5,43.7,1.7
2013,1,4,05:00,UTC,,,95,-2.6,28.8,1.6
2013,1,4,06:00,UTC,,,96,-2.7,24.7,1.4
2013,1,4,07:00,UTC,,,98,-2.8,17.5,1.2
2013,1,4,08:00,UTC,,,99,-3.1,177,0.6
2013,1,4,09:00,UTC,,,99,-3.2,5.1,1
2013,1,4,10:00,UTC,,,98,-3.1,177.5,1.4
2013,1,4,11:00,UTC,,,98,-3.4,177.5,1.5
2013,1,4,12:00,UTC,,,98,-4,167.7,1.9
2013,1,4,13:00,UTC,,,97,-5.3,166.7,2.7
2013,1,4,14:00,UTC,,,95,-7.5,165.1,2.9
2013,1,4,15:00,UTC,,,94,-9.5,169.8,3.4
2013,1,4,16:00,UTC,,,94,-11.7,172.3,2
2013,1,4,17:00,UTC,,,93,-12.1,169.8,2.1
2013,1,4,18:00,UTC,,,93,-13.4,159,2.4
2013,1,4,19:00,UTC,,,92,-14.1,171.8,1
2013,1,4,20:00,UTC,,,90,-14.9,154.8,2.7
2013,1,4,21:00,UTC,,,91,-14.8,150.7,2.1
2013,1,4,22:00,UTC,,,92,-15.1,141.5,2.9
2013,1,4,23:00,UTC,,,93,-14.1,141.5,2.5
2013,1,5,00:00,UTC,,,92,-12.9,144.6,1.8
2013,1,5,01:00,UTC,,,92,-14.3,154.3,1
2013,1,5,02:00,UTC,,,88,-15.4,143,1.7
2013,1,5,03:00,UTC,,,89,-15.9,139.9,1.6
2013,1,5,04:00,UTC,,,90,-16,141,1.7
2013,1,5,05:00,UTC,,,91,-14.8,145.1,2.5
2013,1,5,06:00,UTC,,,94,-11.9,146.6,1.7
2013,1,5,07:00,UTC,,,94,-11.6,149.2,2.2
2013,1,5,08:00,UTC,,,94,-9.9,164.6,3.5
2013,1,5,09:00,UTC,,,93,-11.6,168.2,1.3
2013,1,5,10:00,UTC,,,93,-11.8,148.7,1.8
2013,1,5,11:00,UTC,,,93,-11.7,139.4,2.3
2013,1,5,12:00,UTC,,,95,-12.2,152.8,1.9
2013,1,5,13:00,UTC,,,93,-12,165.7,1.4
2013,1,5,14:00,UTC,,,91,-14.3,145.1,1.8
2013,1,5,15:00,UTC,,,90,-15.9,139.9,1.9
2013,1,5,16:00,UTC,,,94,-12.4,165.7,1.8
2013,1,5,17:00,UTC,,,93,-12.6,161,2.2
2013,1,5,18:00,UTC,,,93,-12.9,168.2,1.8
2013,1,5,19:00,UTC,,,91,-14,139.9,1.7
2013,1,5,20:00,UTC,,,92,-13.5,171.8,2.1
2013,1,5,21:00,UTC,,,92,-13.4,2.1,1.2
2013,1,5,22:00,UTC,,,91,-14.2,171.3,1.7
2013,1,5,23:00,UTC,,,89,-15.7,162.6,1.7
2013,1,6,00:00,UTC,,,90,-15.4,181.1,1.3
2013,1,6,01:00,UTC,,,89,-17.3,125.5,0.5
2013,1,6,02:00,UTC,,,90,-15.7,182.1,0.5
2013,1,6,03:00,UTC,,,90,-16,171.3,0.6
2013,1,6,04:00,UTC,,,90,-15.8,9.8,0.3
2013,1,6,05:00,UTC,,,89,-16.4,46.8,1.2
2013,1,6,06:00,UTC,,,87,-17.7,129.6,1
2013,1,6,07:00,UTC,,,88,-17.4,66.4,3
2013,1,6,08:00,UTC,,,89,-16.9,36,0.5
2013,1,6,09:00,UTC,,,89,-16.5,48.9,1.6
2013,1,6,10:00,UTC,,,89,-16.8,61.7,2.5
2013,1,6,11:00,UTC,,,90,-16.1,61.2,1.9
2013,1,6,12:00,UTC,,,90,-15.2,67.9,2.8
2013,1,6,13:00,UTC,,,91,-14.6,65.8,1.7
2013,1,6,14:00,UTC,,,91,-14.1,66.4,2.6
2013,1,6,15:00,UTC,,,91,-13.9,78.2,0.6
2013,1,6,16:00,UTC,,,91,-13.9,65.3,3.8
2013,1,6,17:00,UTC,,,91,-13.8,69.4,3.8
2013,1,6,18:00,UTC,,,92,-13.5,72,3.9
2013,1,6,19:00,UTC,,,91,-13.8,75.1,2.9
2013,1,6,20:00,UTC,,,90,-15.2,72,2.8
2013,1,6,21:00,UTC,,,90,-15.3,72,4.2
2013,1,6,22:00,UTC,,,91,-14.5,74.6,3.4
2013,1,6,23:00,UTC,,,91,-14.1,73.1,3.9
2013,1,7,00:00,UTC,,,92,-13.4,70,3.8
2013,1,7,01:00,UTC,,,92,-12.8,73.1,4.3
2013,1,7,02:00,UTC,,,93,-11.9,73.6,4.9
2013,1,7,03:00,UTC,,,94,-10.9,75.1,5.3
2013,1,7,04:00,UTC,,,94,-10.2,74.6,4.9
2013,1,7,05:00,UTC,,,95,-9.7,72,4.4
2013,1,7,06:00,UTC,,,95,-9.2,75.6,4.2
2013,1,7,07:00,UTC,,,95,-8.7,74.6,3.6
2013,1,7,08:00,UTC,,,95,-8.4,71,3.3
2013,1,7,09:00,UTC,,,96,-8,74.6,3.6
2013,1,7,10:00,UTC,,,96,-7.6,74.1,3.2
2013,1,7,11:00,UTC,,,96,-7.1,75.1,3.1
2013,1,7,12:00,UTC,,,97,-6.8,70,2.7
2013,1,7,13:00,UTC,,,97,-6.6,67.9,2.6
2013,1,7,14:00,UTC,,,97,-6.4,68.9,2.9
2013,1,7,15:00,UTC,,,97,-6.3,74.6,2.8
2013,1,7,16:00,UTC,,,97,-6.1,72,1.9
2013,1,7,17:00,UTC,,,97,-6.1,62.2,3.1
2013,1,7,18:00,UTC,,,97,-6.1,72.5,3.2
2013,1,7,19:00,UTC,,,97,-6,72.5,3.3
2013,1,7,20:00,UTC,,,97,-6,70,2.9
2013,1,7,21:00,UTC,,,97,-5.9,58.6,3.5
2013,1,7,22:00,UTC,,,97,-5.9,60.7,2.6
2013,1,7,23:00,UTC,,,97,-5.8,59.7,3.9
2013,1,8,00:00,UTC,,,97,-5.8,63.8,3.7
2013,1,8,01:00,UTC,,,97,-5.9,65.3,4.2
2013,1,8,02:00,UTC,,,97,-5.9,66.4,4.3
2013,1,8,03:00,UTC,,,97,-5.9,64.8,4.1
2013,1,8,04:00,UTC,,,97,-5.8,61.2,4.8
2013,1,8,05:00,UTC,,,97,-5.9,61.7,4.5
2013,1,8,06:00,UTC,,,97,-5.8,63.3,3.7
2013,1,8,07:00,UTC,,,97,-5.9,62.2,3.8
2013,1,8,08:00,UTC,,,97,-6,61.2,4.1
2013,1,8,09:00,UTC,,,97,-6.1,65.3,4.2
2013,1,8,10:00,UTC,,,97,-5.9,64.3,4.6
2013,1,8,11:00,UTC,,,97,-5.8,62.8,4.2
2013,1,8,12:00,UTC,,,97,-5.7,70,3.1
2013,1,8,13:00,UTC,,,97,-5.7,64.8,3.5
2013,1,8,14:00,UTC,,,97,-5.7,67.4,3.9
2013,1,8,15:00,UTC,,,97,-5.6,68.9,3.4
2013,1,8,16:00,UTC,,,97,-5.5,74.6,3.1
2013,1,8,17:00,UTC,,,97,-5.4,71.5,3.4
2013,1,8,18:00,UTC,,,98,-5.1,75.6,3.8
2013,1,8,19:00,UTC,,,98,-4.7,85.9,1.7
2013,1,8,20:00,UTC,,,98,-4.2,80.3,2.1
2013,1,8,21:00,UTC,,,98,-3.9,86.9,2.3
2013,1,8,22:00,UTC,,,99,-3.5,83.3,2.4
2013,1,8,23:00,UTC,,,99,-3.1,93.1,3
2013,1,9,00:00,UTC,,,99,-2.7,104.9,3.4
2013,1,9,01:00,UTC,,,,,144,5.1
2013,1,9,02:00,UTC,,,97,-4.7,139.4,4.4
2013,1,9,03:00,UTC,,,97,-5.3,142.5,4
2013,1,9,04:00,UTC,,,98,-5.1,141,4.9
2013,1,9,05:00,UTC,,,97,-5.4,143.5,4.2
2013,1,9,06:00,UTC,,,96,-6.7,135.8,2.7
2013,1,9,07:00,UTC,,,96,-7.3,141,3.2
2013,1,9,08:00,UTC,,,96,-8,148.7,3.1
2013,1,9,09:00,UTC,,,95,-7.9,159.5,2.5
2013,1,9,10:00,UTC,,,96,-7.2,158.4,3.3
2013,1,9,11:00,UTC,,,96,-7.2,158.4,2.7
2013,1,9,12:00,UTC,,,95,-7.8,157.4,3.2
2013,1,9,13:00,UTC,,,95,-8.2,159,2.5
2013,1,9,14:00,UTC,,,95,-8.5,162.6,2.2
2013,1,9,15:00,UTC,,,95,-9.2,168.2,2
2013,1,9,16:00,UTC,,,94,-9.4,174.4,1.3
2013,1,9,17:00,UTC,,,94,-9.6,177,1.5
2013,1,9,18:00,UTC,,,95,-9.4,178.5,1.3
2013,1,9,19:00,UTC,,,96,-7.7,6.7,2.7
2013,1,9,20:00,UTC,,,96,-7.1,4.1,2.9
2013,1,9,21:00,UTC,,,96,-6.9,7.7,3
2013,1,9,22:00,UTC,,,96,-6.8,3.6,2.6
2013,1,9,23:00,UTC,,,96,-6.9,5.1,3.4
2013,1,10,00:00,UTC,,,95,-7.6,8.7,3.5
2013,1,10,01:00,UTC,,,95,-7.3,15.4,3.4
2013,1,10,02:00,UTC,,,95,-7.3,18,2.1
2013,1,10,03:00,UTC,,,96,-6.9,185.2,2.4
2013,1,10,04:00,UTC,,,96,-4.6,12.9,4.2
2013,1,10,05:00,UTC,,,96,-4.5,6.7,4.7
2013,1,10,06:00,UTC,,,96,-4.2,14.4,3.8
2013,1,10,07:00,UTC,,,95,-4.1,10.8,4.3
2013,1,10,08:00,UTC,,,95,-4.2,13.4,4.4
2013,1,10,09:00,UTC,,,95,-4.3,10.8,3.7
2013,1,10,10:00,UTC,,,95,-4.8,12.3,3.2
2013,1,10,11:00,UTC,,,95,-5,7.2,4.1
2013,1,10,12:00,UTC,,,95,-5.2,13.4,3.3
2013,1,10,13:00,UTC,,,94,-4.3,16.5,3.3
2013,1,10,14:00,UTC,,,94,-4.3,13.4,2.9
2013,1,10,15:00,UTC,,,94,-5.6,2.6,2.4
2013,1,10,16:00,UTC,,,96,-7.8,5.7,1
2013,1,10,17:00,UTC,,,95,-6.7,184.2,1.8
2013,1,10,18:00,UTC,,,94,-8.6,180.1,1.8
2013,1,10,19:00,UTC,,,95,-10.3,169.3,2.3
2013,1,10,20:00,UTC,,,92,-12.1,181.6,2.6
2013,1,10,21:00,UTC,,,92,-13.1,184.7,2.1
2013,1,10,22:00,UTC,,,91,-13.7,1,2.2
2013,1,10,23:00,UTC,,,92,-14.3,2.1,1.9
2013,1,11,00:00,UTC,,,91,-14.6,179,1.6
2013,1,11,01:00,UTC,,,91,-16.3,160,1.8
2013,1,11,02:00,UTC,,,91,-15.5,167.7,1.7
2013,1,11,03:00,UTC,,,90,-15,156.4,1.5
2013,1,11,04:00,UTC,,,91,-14.5,148.2,0.8
2013,1,11,05:00,UTC,,,90,-15.5,164.6,0.4
2013,1,11,06:00,UTC,,,88,-17.4,179,1.8
2013,1,11,07:00,UTC,,,88,-16.9,7.7,1
2013,1,11,08:00,UTC,,,89,-16.3,7.2,0.7
2013,1,11,09:00,UTC,,,90,-14.8,80.8,0.1
2013,1,11,10:00,UTC,,,91,-13.7,99.8,1.3
2013,1,11,11:00,UTC,,,91,-13.9,146.1,1.3
2013,1,11,12:00,UTC,,,91,-14.3,164.6,1.1
2013,1,11,13:00,UTC,,,92,-13.1,78.7,1
2013,1,11,14:00,UTC,,,91,-13.8,72.5,1.1
2013,1,11,15:00,UTC,,,91,-13.8,97.7,1.4
2013,1,11,16:00,UTC,,,91,-13.4,92.1,1.5
2013,1,11,17:00,UTC,,,91,-13.7,79.2,0.4
2013,1,11,18:00,UTC,,,92,-12.9,95.2,1.2
2013,1,11,19:00,UTC,,,93,-11.8,94.7,3.2
2013,1,11,20:00,UTC,,,94,-10.7,104.9,1.9
2013,1,11,21:00,UTC,,,94,-10,108,3.2
2013,1,11,22:00,UTC,,,94,-9.9,107,2.7
2013,1,11,23:00,UTC,,,95,-9.4,109.6,2
2013,1,12,00:00,UTC,,,95,-8.7,111.6,1.8
2013,1,12,01:00,UTC,,,95,-8.7,98.8,2.5
2013,1,12,02:00,UTC,,,96,-8.1,90,1.8
2013,1,12,03:00,UTC,,,96,-7.9,95.2,1.3
2013,1,12,04:00,UTC,,,96,-8.1,89.5,0.9
2013,1,12,05:00,UTC,,,97,-6.1,128.1,2.9
2013,1,12,06:00,UTC,,,97,-6,132.2,2.7
2013,1,12,07:00,UTC,,,97,-5.8,129.1,2.5
2013,1,12,08:00,UTC,,,97,-5.6,135.3,4.7
2013,1,12,09:00,UTC,,,97,-6.2,136.8,4.9
2013,1,12,10:00,UTC,,,96,-6.7,135.8,4.1
2013,1,12,11:00,UTC,,,95,-7.2,139.9,3.4
2013,1,12,12:00,UTC,,,95,-6.9,134.8,4.2
2013,1,12,13:00,UTC,,,95,-7.2,135.8,3.5
2013,1,12,14:00,UTC,,,95,-7.5,137.9,4
2013,1,12,15:00,UTC,,,95,-9,131.7,2.3
2013,1,12,16:00,UTC,,,95,-9.5,130.7,1.1
2013,1,12,17:00,UTC,,,95,-9.9,136.3,0.8
2013,1,12,18:00,UTC,,,93,-10.8,125,1.4
2013,1,12,19:00,UTC,,,94,-10.6,129.6,1.4
2013,1,12,20:00,UTC,,,94,-11.3,136.8,0.9
2013,1,12,21:00,UTC,,,93,-13.2,79.2,1.4
2013,1,12,22:00,UTC,,,92,-12.1,80.8,1.5
2013,1,12,23:00,UTC,,,93,-10.2,82.8,1.5
2013,1,13,00:00,UTC,,,94,-9.7,100.3,1.7
2013,1,13,01:00,UTC,,,94,-10.1,90.5,1.8
2013,1,13,02:00,UTC,,,94,-10,74.1,1.7
2013,1,13,03:00,UTC,,,94,-10.1,68.4,1.7
2013,1,13,04:00,UTC,,,94,-9.9,83.3,2.3
2013,1,13,05:00,UTC,,,94,-9.9,76.7,2.3
2013,1,13,06:00,UTC,,,95,-9.5,72,1.8
2013,1,13,07:00,UTC,,,95,-9.1,65.8,2.2
2013,1,13,08:00,UTC,,,95,-8.3,78.7,1.8
2013,1,13,09:00,UTC,,,96,-7.3,91.1,1.6
2013,1,13,10:00,UTC,,,96,-6.8,72,1.3
2013,1,13,11:00,UTC,,,97,-6.2,89.5,1.4
2013,1,13,12:00,UTC,,,97,-6,75.6,1.8
2013,1,13,13:00,UTC,,,97,-5.6,86.4,1.5
2013,1,13,14:00,UTC,,,97,-5.2,81.8,1.4
2013,1,13,15:00,UTC,,,98,-5,85.9,1.2
2013,1,13,16:00,UTC,,,98,-4.9,106.5,1.1
2013,1,13,17:00,UTC,,,98,-4.9,115.2,2.3
2013,1,13,18:00,UTC,,,98,-5,130.7,3.3
2013,1,13,19:00,UTC,,,97,-5.3,125.5,3.6
2013,1,13,20:00,UTC,,,97,-5.5,105.5,2.5
2013,1,13,21:00,UTC,,,97,-5.6,99.8,2.9
2013,1,13,22:00,UTC,,,97,-5.7,102.9,3.2
2013,1,13,23:00,UTC,,,97,-5.8,102.4,2.5
2013,1,14,00:00,UTC,,,97,-5.8,101.9,2.1
2013,1,14,01:00,UTC,,,97,-5.9,99.8,1.8
2013,1,14,02:00,UTC,,,97,-5.7,93.1,1.8
2013,1,14,03:00,UTC,,,97,-5.5,103.9,2.6
2013,1,14,04:00,UTC,,,97,-5.4,106.5,2
2013,1,14,05:00,UTC,,,97,-5.4,116.8,2.1
2013,1,14,06:00,UTC,,,97,-5.4,107,2.7
2013,1,14,07:00,UTC,,,97,-5.5,101.3,2
2013,1,14,08:00,UTC,,,97,-5.4,115.2,3.2
2013,1,14,09:00,UTC,,,97,-5.4,112.1,2.8
2013,1,14,10:00,UTC,,,97,-5.4,107,1.9
2013,1,14,11:00,UTC,,,97,-5.4,103.9,2.3
2013,1,14,12:00,UTC,,,97,-5.4,94.7,1.9
2013,1,14,13:00,UTC,,,97,-5.4,98.3,2.1
2013,1,14,14:00,UTC,,,97,-5.5,93.6,1.4
2013,1,14,15:00,UTC,,,97,-5.4,94.1,2
2013,1,14,16:00,UTC,,,97,-5.3,108,2.2
2013,1,14,17:00,UTC,,,98,-5.2,108,2.7
2013,1,14,18:00,UTC,,,98,-5,120.4,2.4
2013,1,14,19:00,UTC,,,98,-4.8,113.2,2.2
2013,1,14,20:00,UTC,,,98,-4.7,124.5,2.4
2013,1,14,21:00,UTC,,,98,-4.7,135.8,3.3
2013,1,14,22:00,UTC,,,98,-4.9,124.5,2.6
2013,1,14,23:00,UTC,,,97,-6.1,128.1,3.5
2013,1,15,00:00,UTC,,,95,-8.6,141.5,1.6
2013,1,15,01:00,UTC,,,95,-9.3,132.7,1.1
2013,1,15,02:00,UTC,,,95,-9.2,155.9,1.1
2013,1,15,03:00,UTC,,,95,-8.6,179.5,0.6
2013,1,15,04:00,UTC,,,96,-8.1,35.5,0.3
2013,1,15,05:00,UTC,,,96,-7.5,13.9,0.4
2013,1,15,06:00,UTC,,,96,-7,16.5,0.7
2013,1,15,07:00,UTC,,,97,-6,41.7,1.7
2013,1,15,08:00,UTC,,,97,-6,46.8,2
2013,1,15,09:00,UTC,,,97,-6.1,36,1.9
2013,1,15,10:00,UTC,,,97,-6.2,40.6,1.1
2013,1,15,11:00,UTC,,,97,-6.4,19,1
2013,1,15,12:00,UTC,,,96,-7,14.9,1.2
2013,1,15,13:00,UTC,,,96,-7.3,35,1.1
