Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Relative humidity (%),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2013,1,1,00:00,UTC,8,,97,1.3,154,9.9
2013,1,1,01:00,UTC,8,,97,1.3,156,10.3
2013,1,1,02:00,UTC,8,,98,1.5,166,10.2
2013,1,1,03:00,UTC,8,,98,1.7,176,9.4
2013,1,1,04:00,UTC,8,,99,2.1,185,9.3
2013,1,1,05:00,UTC,7,,99,2.1,187,8.8
2013,1,1,06:00,UTC,8,,99,2.2,183,9.1
2013,1,1,07:00,UTC,8,,99,2.2,190,8.8
2013,1,1,08:00,UTC,8,,99,2.5,195,10
2013,1,1,09:00,UTC,8,,99,2.8,197,10.8
2013,1,1,10:00,UTC,8,,99,2.6,203,11.8
2013,1,1,11:00,UTC,8,,98,2.7,204,11.7
2013,1,1,12:00,UTC,8,,98,2.8,204,11.9
2013,1,1,13:00,UTC,8,,98,2.6,205,11.3
2013,1,1,14:00,UTC,8,,99,2.5,206,10.9
2013,1,1,15:00,UTC,8,,99,2.6,207,11.2
2013,1,1,16:00,UTC,7,,99,2.6,215,10.6
2013,1,1,17:00,UTC,7,,99,2.4,214,10.1
2013,1,1,18:00,UTC,9,,99,2.4,214,9.4
2013,1,1,19:00,UTC,9,,99,2.4,212,9.1
2013,1,1,20:00,UTC,9,,99,2.3,211,8.4
2013,1,1,21:00,UTC,9,,99,2.3,209,8.4
2013,1,1,22:00,UTC,8,,100,2.2,215,8.9
2013,1,1,23:00,UTC,7,,100,2.2,209,8.2
2013,1,2,00:00,UTC,8,,100,2.2,205,8.3
2013,1,2,01:00,UTC,7,,100,2.1,202,7
2013,1,2,02:00,UTC,,,,,,
2013,1,2,03:00,UTC,,,,,,
2013,1,2,04:00,UTC,,,,,,
2013,1,2,05:00,UTC,,,,,,
2013,1,2,06:00,UTC,8,,100,1.8,213,6.7
2013,1,2,07:00,UTC,7,,100,1.7,239,4.9
2013,1,2,08:00,UTC,8,,100,1.4,233,4.6
2013,1,2,09:00,UTC,8,,100,1.8,231,5.7
2013,1,2,10:00,UTC,8,,99,1.9,252,6.6
2013,1,2,11:00,UTC,7,,96,1.7,240,5.3
2013,1,2,12:00,UTC,7,,94,1.6,240,6.8
2013,1,2,13:00,UTC,8,,95,1.5,242,5.8
2013,1,2,14:00,UTC,8,,95,1.5,232,6.2
2013,1,2,15:00,UTC,8,,95,1.5,234,5.3
2013,1,2,16:00,UTC,8,,95,1.7,233,6.8
2013,1,2,17:00,UTC,7,,94,1.6,226,7.7
2013,1,2,18:00,UTC,8,,96,1.6,224,5.9
2013,1,2,19:00,UTC,8,,95,1.6,223,6.6
2013,1,2,20:00,UTC,8,,95,1.4,226,7.9
2013,1,2,21:00,UTC,8,,96,1,235,6.8
2013,1,2,22:00,UTC,8,,96,0.9,248,6.3
2013,1,2,23:00,UTC,7,,96,0.7,253,5.2
2013,1,3,00:00,UTC,8,,96,0.7,252,5.7
2013,1,3,01:00,UTC,8,,96,0.7,255,5.6
2013,1,3,02:00,UTC,8,,97,0.6,247,5
2013,1,3,03:00,UTC,7,,96,0.7,262,5.7
2013,1,3,04:00,UTC,5,,95,0.6,264,4.9
2013,1,3,05:00,UTC,7,,95,0.5,255,4.8
2013,1,3,06:00,UTC,7,,95,0.5,256,5.3
2013,1,3,07:00,UTC,8,,95,0.5,262,6.1
2013,1,3,08:00,UTC,8,,94,0.5,271,5.2
2013,1,3,09:00,UTC,8,,95,0.3,254,5.4
2013,1,3,10:00,UTC,8,,94,0.4,253,5.8
2013,1,3,11:00,UTC,8,,92,0.4,244,5.8
2013,1,3,12:00,UTC,8,,94,0.2,252,3.6
2013,1,3,13:00,UTC,8,,97,0,255,3.5
2013,1,3,14:00,UTC,8,,92,0.4,249,5.6
2013,1,3,15:00,UTC,8,,93,0.1,242,3.8
2013,1,3,16:00,UTC,8,,94,0.1,299,1.4
2013,1,3,17:00,UTC,8,,94,0,0,0
2013,1,3,18:00,UTC,8,,97,0.1,119,1.7
2013,1,3,19:00,UTC,8,,98,0.6,180,3.7
2013,1,3,20:00,UTC,8,,97,0.7,184,3.9
2013,1,3,21:00,UTC,8,,98,0.9,192,2.6
2013,1,3,22:00,UTC,8,,97,1.1,195,3.7
2013,1,3,23:00,UTC,8,,97,1.2,202,3.6
2013,1,4,00:00,UTC,8,,97,0.9,192,3.5
2013,1,4,01:00,UTC,8,,97,0.9,187,3.8
