Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Relative humidity (%),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2013,1,1,00:00,UTC,,,100,1.8,197,1.7
2013,1,1,01:00,UTC,,,100,2,236,0.7
2013,1,1,02:00,UTC,,,100,2.6,194,1.5
2013,1,1,03:00,UTC,,,100,2.8,222,1.3
2013,1,1,04:00,UTC,,,100,2.5,229,1
2013,1,1,05:00,UTC,,,100,2.3,196,1.7
2013,1,1,06:00,UTC,,,100,2.5,198,1.6
2013,1,1,07:00,UTC,,,100,2.6,197,1.7
2013,1,1,08:00,UTC,,,100,2.7,200,1.8
2013,1,1,09:00,UTC,,,100,3.5,196,2.3
2013,1,1,10:00,UTC,,,100,2.8,219,1.4
2013,1,1,11:00,UTC,,,100,4,194,2.8
2013,1,1,12:00,UTC,,,100,3.1,195,2.2
2013,1,1,13:00,UTC,,,100,2.9,190,2
2013,1,1,14:00,UTC,,,100,2.5,205,1.2
2013,1,1,15:00,UTC,,,100,2.1,197,1.5
2013,1,1,16:00,UTC,,,100,2.2,221,1.3
2013,1,1,17:00,UTC,,,100,2.8,200,2
2013,1,1,18:00,UTC,,,99,2.8,193,1.6
2013,1,1,19:00,UTC,,,98,2.5,196,2
2013,1,1,20:00,UTC,,,95,2.6,203,1.5
2013,1,1,21:00,UTC,,,96,2.6,209,1.5
2013,1,1,22:00,UTC,,,96,2.4,204,1.5
2013,1,1,23:00,UTC,,,94,2.1,202,1.3
2013,1,2,00:00,UTC,,,97,1.4,198,1.3
2013,1,2,01:00,UTC,,,98,1.4,209,0.9
2013,1,2,02:00,UTC,,,98,1.5,191,1.2
2013,1,2,03:00,UTC,,,99,1.1,196,1.3
2013,1,2,04:00,UTC,,,99,1,215,1
2013,1,2,05:00,UTC,,,99,1,214,1.3
2013,1,2,06:00,UTC,,,99,1.1,205,0.9
2013,1,2,07:00,UTC,,,99,1.2,189,1.1
2013,1,2,08:00,UTC,,,97,1.2,187,0.8
2013,1,2,09:00,UTC,,,91,1.9,202,1.2
2013,1,2,10:00,UTC,,,94,1.4,220,1
2013,1,2,11:00,UTC,,,94,1.2,198,1.2
2013,1,2,12:00,UTC,,,97,1,196,1.6
2013,1,2,13:00,UTC,,,98,0.8,205,0.8
2013,1,2,14:00,UTC,,,98,0.4,193,1.1
2013,1,2,15:00,UTC,,,99,0.3,200,0.7
2013,1,2,16:00,UTC,,,99,0.1,183,0.6
2013,1,2,17:00,UTC,,,100,0,183,1.1
2013,1,2,18:00,UTC,,,100,0.3,196,1.2
2013,1,2,19:00,UTC,,,99,0.3,204,1
2013,1,2,20:00,UTC,,,99,0.4,213,1.3
2013,1,2,21:00,UTC,,,99,0.5,216,1.3
