Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Relative humidity (%),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2013,1,1,00:00,UTC,,-1,96,1.3,130,4.1
2013,1,1,01:00,UTC,,0.2,98,1.1,120,3.6
2013,1,1,02:00,UTC,,0.1,95,1.6,130,5.1
2013,1,1,03:00,UTC,,0.3,96,1,130,6.2
2013,1,1,04:00,UTC,,0.2,95,1.3,130,5.7
2013,1,1,05:00,UTC,,0.3,96,1,130,5.1
2013,1,1,06:00,UTC,,0.4,97,1,140,4.6
2013,1,1,07:00,UTC,,0.1,98,1.3,140,4.1
2013,1,1,08:00,UTC,,-1,98,1.5,140,4.6
2013,1,1,09:00,UTC,,0.6,98,1.4,140,4.1
2013,1,1,10:00,UTC,,0.8,98,1.4,140,3.6
2013,1,1,11:00,UTC,,0.7,98,1.7,150,3.6
2013,1,1,12:00,UTC,,0.8,98,1.2,150,3.1
2013,1,1,13:00,UTC,,1.3,98,1.5,160,3.1
2013,1,1,14:00,UTC,,0.5,100,1.6,140,2.6
2013,1,1,15:00,UTC,,-1,100,2.2,170,3.1
2013,1,1,16:00,UTC,,-1,100,2.9,170,3.6
2013,1,1,17:00,UTC,,-1,99,3,180,4.1
2013,1,1,18:00,UTC,,0.4,99,2.8,180,4.6
2013,1,1,19:00,UTC,,0.2,98,2.7,190,4.1
2013,1,1,20:00,UTC,,0.1,98,2.6,190,4.6
2013,1,1,21:00,UTC,,-1,97,2.4,190,4.6
2013,1,1,22:00,UTC,,-1,96,2.3,190,4.1
2013,1,1,23:00,UTC,,-1,96,2.1,190,4.1
2013,1,2,00:00,UTC,,-1,96,2,200,4.1
2013,1,2,01:00,UTC,,-1,97,1.8,200,4.1
2013,1,2,02:00,UTC,,-1,98,1.6,190,3.1
2013,1,2,03:00,UTC,,0.3,98,1.4,190,4.1
2013,1,2,04:00,UTC,,0.3,98,1.3,200,3.1
2013,1,2,05:00,UTC,,-1,97,1.3,190,4.1
2013,1,2,06:00,UTC,,0.4,98,1.1,190,2.6
2013,1,2,07:00,UTC,,-1,98,1.1,190,3.6
2013,1,2,08:00,UTC,,-1,98,1.1,200,3.6
2013,1,2,09:00,UTC,,0.2,99,1,200,3.6
2013,1,2,10:00,UTC,8,0.1,98,1.1,200,3.1
2013,1,2,11:00,UTC,7,-1,98,0.9,210,3.1
2013,1,2,12:00,UTC,8,-1,98,0.9,210,2.6
2013,1,2,13:00,UTC,8,-1,98,0.8,210,2.1
2013,1,2,14:00,UTC,8,-1,99,0.7,210,2.6
2013,1,2,15:00,UTC,8,-1,99,0.6,220,2.6
2013,1,2,16:00,UTC,8,0.2,100,0.2,240,1
2013,1,2,17:00,UTC,7,-1,100,0.2,250,1.5
2013,1,2,18:00,UTC,7,-1,100,0.1,270,1.5
2013,1,2,19:00,UTC,8,0.2,100,0.1,290,2.1
2013,1,2,20:00,UTC,8,-1,100,0.1,280,2.1
2013,1,2,21:00,UTC,8,-1,100,0,300,2.6
2013,1,2,22:00,UTC,7,-1,100,-0.1,300,2.6
2013,1,2,23:00,UTC,8,-1,100,0,300,2.6
2013,1,3,00:00,UTC,8,0.2,99,-0.1,310,2.6
2013,1,3,01:00,UTC,7,-1,99,-0.2,290,2.6
2013,1,3,02:00,UTC,8,-1,99,-0.4,290,2.6
2013,1,3,03:00,UTC,8,-1,99,-0.6,0,0
2013,1,3,04:00,UTC,8,-1,99,-0.8,250,1.5
2013,1,3,05:00,UTC,7,-1,99,-0.8,250,2.1
2013,1,3,06:00,UTC,7,-1,99,-1.2,240,1.5
2013,1,3,07:00,UTC,8,-1,97,-1.1,210,1.5
2013,1,3,08:00,UTC,5,-1,94,-1.8,170,2.6
2013,1,3,09:00,UTC,8,-1,94,-1.3,190,2.1
2013,1,3,10:00,UTC,8,-1,92,-1.1,210,3.1
2013,1,3,11:00,UTC,7,-1,94,-1,210,2.6
2013,1,3,12:00,UTC,8,-1,93,-1.1,200,3.1
2013,1,3,13:00,UTC,8,-1,92,-1.1,170,2.6
2013,1,3,14:00,UTC,8,-1,93,-1.3,150,2.6
2013,1,3,15:00,UTC,8,-1,94,-1.3,150,2.1
2013,1,3,16:00,UTC,8,-1,96,-1.4,170,2.1
2013,1,3,17:00,UTC,7,-1,97,-1.2,180,2.6
