Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Relative humidity (%),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2013,1,1,00:00,UTC,8,1.7,94,1.3,148,7.5
2013,1,1,01:00,UTC,8,0.9,94,1.3,146,6.8
2013,1,1,02:00,UTC,8,1.1,95,1.4,158,6.6
2013,1,1,03:00,UTC,7,0.9,95,2,181,5.9
2013,1,1,04:00,UTC,7,0.8,95,2.5,188,6.8
2013,1,1,05:00,UTC,7,0.8,95,2.8,189,6.9
2013,1,1,06:00,UTC,8,0.7,95,2.7,186,6.9
2013,1,1,07:00,UTC,7,0.7,95,2.8,190,4.8
2013,1,1,08:00,UTC,8,1.2,95,2.9,203,7.4
2013,1,1,09:00,UTC,8,0.6,95,2.9,206,7.2
2013,1,1,10:00,UTC,8,0.9,95,2.8,211,8.8
2013,1,1,11:00,UTC,8,0.5,95,2.8,211,8.8
2013,1,1,12:00,UTC,8,0.1,95,2.9,211,8.3
2013,1,1,13:00,UTC,8,0.3,95,2.7,214,6.8
2013,1,1,14:00,UTC,8,0.4,95,2.7,219,6.6
2013,1,1,15:00,UTC,8,0.5,96,2.7,220,7.5
2013,1,1,16:00,UTC,8,0.2,95,2.6,219,7.8
2013,1,1,17:00,UTC,8,-1,96,2.5,220,7.7
2013,1,1,18:00,UTC,7,-1,96,2.6,216,7.2
2013,1,1,19:00,UTC,9,-1,96,2.5,216,7.3
2013,1,1,20:00,UTC,9,-1,96,2.2,220,6.8
2013,1,1,21:00,UTC,9,-1,96,2.3,216,6
2013,1,1,22:00,UTC,9,-1,96,2.2,221,5.9
2013,1,1,23:00,UTC,7,-1,97,2.3,218,6.3
2013,1,2,00:00,UTC,7,-1,97,2,220,5.2
2013,1,2,01:00,UTC,7,-1,97,2.1,215,4.2
2013,1,2,02:00,UTC,7,-1,97,2.1,214,6
2013,1,2,03:00,UTC,7,-1,97,2.2,216,5.6
2013,1,2,04:00,UTC,7,-1,97,2,211,5.1
2013,1,2,05:00,UTC,9,-1,97,2,208,5.2
2013,1,2,06:00,UTC,9,0.1,97,1.9,222,5
2013,1,2,07:00,UTC,7,1.3,97,1.7,232,3.6
2013,1,2,08:00,UTC,7,0.7,97,1.6,232,4.3
2013,1,2,09:00,UTC,7,0.1,97,1.6,229,4.4
2013,1,2,10:00,UTC,7,-1,96,1.9,245,4.1
2013,1,2,11:00,UTC,7,-1,91,2,261,6
2013,1,2,12:00,UTC,7,-1,88,1.7,230,4.7
2013,1,2,13:00,UTC,7,-1,88,1.5,227,4.9
2013,1,2,14:00,UTC,7,-1,90,1.3,227,5.1
2013,1,2,15:00,UTC,7,-1,91,1.3,225,4.4
2013,1,2,16:00,UTC,7,-1,90,1.4,227,5.2
2013,1,2,17:00,UTC,7,-1,90,1.4,225,4.3
2013,1,2,18:00,UTC,7,-1,91,1.3,217,4.6
2013,1,2,19:00,UTC,7,-1,92,1.2,221,4.5
2013,1,2,20:00,UTC,7,-1,92,0.9,220,4.7
2013,1,2,21:00,UTC,7,0.4,95,0.7,231,4.6
2013,1,2,22:00,UTC,7,0.1,94,0.7,247,4.6
2013,1,2,23:00,UTC,7,-1,93,0.6,254,4
2013,1,3,00:00,UTC,8,-1,92,0.6,260,4.4
2013,1,3,01:00,UTC,8,-1,93,0.6,259,4.2
2013,1,3,02:00,UTC,7,0.1,94,0.4,246,3.5
2013,1,3,03:00,UTC,8,0.1,93,0.5,261,4
2013,1,3,04:00,UTC,8,-1,91,0.6,273,4.1
2013,1,3,05:00,UTC,8,-1,91,0.6,264,3.9
2013,1,3,06:00,UTC,8,-1,90,0.6,257,4.2
2013,1,3,07:00,UTC,8,-1,91,0.5,262,4.3
2013,1,3,08:00,UTC,8,-1,86,0.6,283,3.1
2013,1,3,09:00,UTC,7,-1,89,0.4,251,3.5
2013,1,3,10:00,UTC,8,-1,88,0.4,253,3.8
2013,1,3,11:00,UTC,8,-1,87,0.4,243,3.8
2013,1,3,12:00,UTC,8,-1,87,0.3,225,3
2013,1,3,13:00,UTC,7,-1,91,0,230,3
2013,1,3,14:00,UTC,8,0.1,94,-0.2,229,2.2
2013,1,3,15:00,UTC,8,0.1,92,-0.3,219,3.9
2013,1,3,16:00,UTC,8,-1,91,-0.4,231,2.7
2013,1,3,17:00,UTC,8,-1,91,-0.3,265,0.9
2013,1,3,18:00,UTC,8,-1,93,-0.3,121,2.2
2013,1,3,19:00,UTC,8,-1,94,-0.2,105,2.3
2013,1,3,20:00,UTC,8,0.1,94,0.2,131,2
2013,1,3,21:00,UTC,7,-1,95,0.5,142,1.2
2013,1,3,22:00,UTC,7,-1,95,0.7,154,1.6
2013,1,3,23:00,UTC,8,-1,95,0.7,100,0.9
2013,1,4,00:00,UTC,8,-1,95,1.1,204,2.3
2013,1,4,01:00,UTC,7,-1,92,1.1,194,3.2
2013,1,4,02:00,UTC,8,0.1,93,0.9,197,2
2013,1,4,03:00,UTC,8,0.3,95,0.8,208,2.9
2013,1,4,04:00,UTC,8,0.2,95,0.8,213,2.7
2013,1,4,05:00,UTC,7,0.2,95,0.8,205,3.8
2013,1,4,06:00,UTC,8,0.3,95,1.1,208,3.8
2013,1,4,07:00,UTC,8,-1,95,0.7,213,3.6
2013,1,4,08:00,UTC,8,-1,96,0.5,253,3
2013,1,4,09:00,UTC,8,-1,96,0.6,255,2.9
2013,1,4,10:00,UTC,7,-1,96,0.8,251,2
2013,1,4,11:00,UTC,7,-1,95,1,246,1.8
2013,1,4,12:00,UTC,8,-1,94,1.3,260,1.9
2013,1,4,13:00,UTC,8,-1,94,1.2,260,2.2
2013,1,4,14:00,UTC,8,0.1,95,1.1,282,1.6
2013,1,4,15:00,UTC,8,-1,95,0.9,287,1.7
2013,1,4,16:00,UTC,8,-1,95,1.1,315,1.6
2013,1,4,17:00,UTC,8,0.3,95,0.7,330,1.5
2013,1,4,18:00,UTC,7,0.1,95,0.6,317,2.4
2013,1,4,19:00,UTC,7,0.1,95,0.8,333,3.7
2013,1,4,20:00,UTC,8,0.1,92,1,346,4.6
2013,1,4,21:00,UTC,8,-1,89,0.9,345,5.7
2013,1,4,22:00,UTC,8,-1,85,0.5,355,7.2
2013,1,4,23:00,UTC,8,-1,83,0.1,355,7.5
2013,1,5,00:00,UTC,8,-1,82,-0.4,3,8.9
2013,1,5,01:00,UTC,8,-1,80,-0.9,355,7.6
2013,1,5,02:00,UTC,8,-1,81,-1.3,359,7
2013,1,5,03:00,UTC,8,-1,80,-1.7,349,8.8
2013,1,5,04:00,UTC,7,-1,79,-1.6,360,6.8
2013,1,5,05:00,UTC,0,-1,80,-2.3,342,4.2
2013,1,5,06:00,UTC,0,-1,83,-2.8,334,6.3
2013,1,5,07:00,UTC,0,-1,84,-3.2,335,5.6
2013,1,5,08:00,UTC,0,-1,85,-3.6,333,4.1
2013,1,5,09:00,UTC,1,-1,87,-3.8,320,5.2
2013,1,5,10:00,UTC,5,-1,86,-3.3,322,4.4
2013,1,5,11:00,UTC,5,-1,85,-3,323,4.9
2013,1,5,12:00,UTC,7,-1,84,-2.8,323,4.3
2013,1,5,13:00,UTC,5,-1,84,-3,328,5
2013,1,5,14:00,UTC,5,-1,84,-3,333,4.9
2013,1,5,15:00,UTC,0,-1,87,-3.8,318,4.1
2013,1,5,16:00,UTC,3,-1,88,-4.3,328,3.5
2013,1,5,17:00,UTC,8,-1,87,-4.1,326,3.5
2013,1,5,18:00,UTC,7,-1,87,-4.4,328,3.9
2013,1,5,19:00,UTC,7,-1,88,-4.7,328,2.4
2013,1,5,20:00,UTC,7,-1,89,-5,325,2.8
2013,1,5,21:00,UTC,7,-1,90,-5.3,322,3.7
2013,1,5,22:00,UTC,7,-1,90,-5.3,322,3.6
2013,1,5,23:00,UTC,8,-1,90,-5.1,328,3.8
2013,1,6,00:00,UTC,7,-1,90,-5.1,331,4
2013,1,6,01:00,UTC,8,-1,89,-4.8,335,2.9
2013,1,6,02:00,UTC,8,-1,89,-4.6,339,4
