Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Relative humidity (%),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2013,1,1,00:00,UTC,,,,1,,
2013,1,1,01:00,UTC,,,,,,
2013,1,1,02:00,UTC,,,,,,
2013,1,1,03:00,UTC,,,,0,,
2013,1,1,04:00,UTC,,,,,,
2013,1,1,05:00,UTC,,,,,,
2013,1,1,06:00,UTC,,,,1,,
2013,1,1,07:00,UTC,,,,,,
2013,1,1,08:00,UTC,,,,,,
2013,1,1,09:00,UTC,,,,1,,
2013,1,1,10:00,UTC,,,,,,
2013,1,1,11:00,UTC,,,,,,
2013,1,1,12:00,UTC,,,,3,,
2013,1,1,13:00,UTC,,,,,,
2013,1,1,14:00,UTC,,,,,,
2013,1,1,15:00,UTC,,,,3,,
2013,1,1,16:00,UTC,,,,,,
2013,1,1,17:00,UTC,,,,,,
2013,1,1,18:00,UTC,,,,3,,
2013,1,1,19:00,UTC,,,,,,
2013,1,1,20:00,UTC,,,,,,
2013,1,1,21:00,UTC,,,,1,,
2013,1,1,22:00,UTC,,,,,,
2013,1,1,23:00,UTC,,,,,,
2013,1,2,00:00,UTC,,,,1,,
2013,1,2,01:00,UTC,,,,,,
2013,1,2,02:00,UTC,,,,,,
2013,1,2,03:00,UTC,,,,0,,
2013,1,2,04:00,UTC,,,,,,
2013,1,2,05:00,UTC,,,,,,
2013,1,2,06:00,UTC,8,,96,0.4,210,3.1
2013,1,2,07:00,UTC,8,,98,0.3,190,1.5
2013,1,2,08:00,UTC,7,,97,0.4,180,1
2013,1,2,09:00,UTC,8,,97,0.5,200,2.1
2013,1,2,10:00,UTC,8,,96,0.5,210,1.5
2013,1,2,11:00,UTC,8,,94,0.4,230,1.5
2013,1,2,12:00,UTC,8,,91,0.4,230,3.1
2013,1,2,13:00,UTC,8,,98,-0.5,230,2.1
2013,1,2,14:00,UTC,8,,97,-0.2,210,2.1
2013,1,2,15:00,UTC,8,,96,-0.2,210,2.6
2013,1,2,16:00,UTC,8,,90,-0.2,210,2.1
2013,1,2,17:00,UTC,7,,97,-0.5,210,2.1
2013,1,2,18:00,UTC,7,,99,-0.5,210,2.1
2013,1,2,19:00,UTC,8,,97,-0.5,210,2.6
2013,1,2,20:00,UTC,8,,97,-0.5,210,2.6
2013,1,2,21:00,UTC,8,,97,-0.5,210,1.5
2013,1,2,22:00,UTC,8,,98,-0.7,230,2.6
2013,1,2,23:00,UTC,8,,98,-0.9,220,1.5
2013,1,3,00:00,UTC,8,,99,-0.5,220,2.1
2013,1,3,01:00,UTC,8,,100,-0.6,220,1
2013,1,3,02:00,UTC,7,,100,-0.7,210,1
2013,1,3,03:00,UTC,8,,98,-0.5,280,3.1
2013,1,3,04:00,UTC,7,,99,-0.9,290,4.1
2013,1,3,05:00,UTC,8,,97,-0.8,290,3.1
2013,1,3,06:00,UTC,8,,97,-0.8,280,3.6
2013,1,3,07:00,UTC,8,,97,-0.9,280,3.6
2013,1,3,08:00,UTC,8,,96,-1,270,3.1
2013,1,3,09:00,UTC,8,,96,-1.2,270,2.1
2013,1,3,10:00,UTC,8,,82,-1,270,1.5
2013,1,3,11:00,UTC,8,,90,-1.3,240,2.6
2013,1,3,12:00,UTC,8,,87,-1.7,240,3.1
2013,1,3,13:00,UTC,8,,88,-1.9,260,1.5
2013,1,3,14:00,UTC,8,,88,-1.6,0,0
2013,1,3,15:00,UTC,8,,93,-1.9,0,0
2013,1,3,16:00,UTC,7,,94,-1.9,0,0
2013,1,3,17:00,UTC,8,,97,-1.9,150,1
2013,1,3,18:00,UTC,8,,96,-1.9,170,1
2013,1,3,19:00,UTC,8,,97,-1.9,160,1
2013,1,3,20:00,UTC,8,,98,-2.2,150,1
2013,1,3,21:00,UTC,8,,98,-1.9,170,1
2013,1,3,22:00,UTC,8,,97,-1.8,200,2.1
2013,1,3,23:00,UTC,8,,96,-1.9,200,1.5
2013,1,4,00:00,UTC,8,,96,-1.9,150,1
2013,1,4,01:00,UTC,8,,97,-2,140,2.1
2013,1,4,02:00,UTC,8,,99,-1.9,140,1.5
2013,1,4,03:00,UTC,8,,100,-1.8,140,1.5
2013,1,4,04:00,UTC,8,,100,-1.7,150,1.5
2013,1,4,05:00,UTC,8,,100,-1.5,140,1.5
2013,1,4,06:00,UTC,8,,100,-1.4,0,0
2013,1,4,07:00,UTC,8,,100,-1.2,0,0
2013,1,4,08:00,UTC,8,,100,-1.1,150,1
2013,1,4,09:00,UTC,8,,100,-0.9,130,1
2013,1,4,10:00,UTC,8,,100,-0.6,0,0
2013,1,4,11:00,UTC,7,,100,-0.5,0,0
2013,1,4,12:00,UTC,7,,100,-0.3,0,0
2013,1,4,13:00,UTC,7,,100,-0.4,0,0
2013,1,4,14:00,UTC,8,,100,-0.5,330,1
2013,1,4,15:00,UTC,7,,100,-0.7,350,2.1
2013,1,4,16:00,UTC,7,,100,-1.3,350,3.6
2013,1,4,17:00,UTC,7,,100,-1.6,350,4.6
2013,1,4,18:00,UTC,7,,97,-2,350,4.6
2013,1,4,19:00,UTC,8,,96,-2.3,350,4.6
2013,1,4,20:00,UTC,8,,93,-2.6,360,5.1
2013,1,4,21:00,UTC,8,,94,-3.1,350,4.1
2013,1,4,22:00,UTC,8,,93,-3.1,350,4.6
2013,1,4,23:00,UTC,8,,93,-3.3,340,3.6
2013,1,5,00:00,UTC,7,,93,-3.4,330,3.6
2013,1,5,01:00,UTC,8,,93,-3.7,340,3.6
2013,1,5,02:00,UTC,8,,94,-4.2,320,3.1
2013,1,5,03:00,UTC,7,,95,-4.9,320,3.1
2013,1,5,04:00,UTC,7,,96,-5.1,310,3.6
2013,1,5,05:00,UTC,8,,98,-5.3,300,4.1
2013,1,5,06:00,UTC,8,,97,-5,310,4.1
2013,1,5,07:00,UTC,8,,97,-4.8,310,4.1
2013,1,5,08:00,UTC,8,,96,-4.7,310,3.6
2013,1,5,09:00,UTC,8,,95,-4.7,300,4.1
2013,1,5,10:00,UTC,7,,95,-4.7,310,5.1
2013,1,5,11:00,UTC,8,,94,-4.5,310,4.1
