Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Relative humidity (%),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2013,1,1,00:00,UTC,8,,100,1.4,143,5.7
2013,1,1,01:00,UTC,8,,100,1.7,153,5.6
2013,1,1,02:00,UTC,8,,100,1.8,153,4.9
2013,1,1,03:00,UTC,8,,100,2.1,163,4.6
2013,1,1,04:00,UTC,8,,100,2.6,166,4.3
2013,1,1,05:00,UTC,8,,100,3,169,4.6
2013,1,1,06:00,UTC,8,,100,3.4,183,4.4
2013,1,1,07:00,UTC,8,,100,3.7,189,4.9
2013,1,1,08:00,UTC,8,,100,3.7,191,4.8
2013,1,1,09:00,UTC,8,,100,3.6,196,4.6
2013,1,1,10:00,UTC,8,,100,3.6,196,4.5
2013,1,1,11:00,UTC,8,,100,3.6,200,5
2013,1,1,12:00,UTC,8,,100,3.5,196,4.3
2013,1,1,13:00,UTC,8,,100,3.4,202,4.1
2013,1,1,14:00,UTC,8,,100,3.3,204,3.8
2013,1,1,15:00,UTC,8,,100,3.2,206,4.2
2013,1,1,16:00,UTC,7,,100,3.1,210,4
2013,1,1,17:00,UTC,8,,100,2.9,209,4.5
2013,1,1,18:00,UTC,8,,99,2.6,215,3.8
2013,1,1,19:00,UTC,7,,99,2.4,216,3.8
2013,1,1,20:00,UTC,7,,100,2.1,208,3
2013,1,1,21:00,UTC,7,,98,2.2,203,3.7
2013,1,1,22:00,UTC,8,,99,1.9,201,3
2013,1,1,23:00,UTC,8,,98,2,214,3.1
2013,1,2,00:00,UTC,8,,97,1.9,217,3.3
2013,1,2,01:00,UTC,8,,98,1.6,203,3.2
2013,1,2,02:00,UTC,8,,98,1.6,209,2.7
2013,1,2,03:00,UTC,8,,98,1.6,197,3
2013,1,2,04:00,UTC,8,,99,1.3,197,2.4
2013,1,2,05:00,UTC,8,,100,1.4,209,3.3
2013,1,2,06:00,UTC,8,,100,1.4,207,3.1
2013,1,2,07:00,UTC,8,,100,1.5,229,3.2
2013,1,2,08:00,UTC,8,,99,1.4,221,2.7
2013,1,2,09:00,UTC,8,,96,1.4,232,2.4
2013,1,2,10:00,UTC,7,,98,1.2,226,3.1
2013,1,2,11:00,UTC,7,,98,1,233,3.8
2013,1,2,12:00,UTC,8,,98,0.7,234,3.6
2013,1,2,13:00,UTC,8,,98,0.6,235,3.2
2013,1,2,14:00,UTC,8,,98,0.5,228,3.2
2013,1,2,15:00,UTC,7,,96,0.4,236,3.8
2013,1,2,16:00,UTC,8,,97,0.1,241,2.9
2013,1,2,17:00,UTC,8,,98,0.2,239,3.2
2013,1,2,18:00,UTC,8,,100,0,228,1.7
2013,1,2,19:00,UTC,8,,100,-0.1,237,2.9
2013,1,2,20:00,UTC,8,,100,-0.2,244,3.1
2013,1,2,21:00,UTC,8,,100,-0.3,255,3.6
2013,1,2,22:00,UTC,8,,100,-0.2,253,3.3
2013,1,2,23:00,UTC,7,,100,-0.1,270,3
2013,1,3,00:00,UTC,8,,100,-0.1,269,3
2013,1,3,01:00,UTC,8,,100,-0.1,267,2.7
2013,1,3,02:00,UTC,8,,100,-0.1,274,2.7
2013,1,3,03:00,UTC,8,,100,-0.2,283,2.2
2013,1,3,04:00,UTC,8,,100,-0.3,286,2.5
2013,1,3,05:00,UTC,8,,100,-0.6,283,1.5
2013,1,3,06:00,UTC,8,,100,-0.7,271,2.9
2013,1,3,07:00,UTC,8,,100,-0.7,268,2.5
2013,1,3,08:00,UTC,8,,100,-0.8,237,2.1
2013,1,3,09:00,UTC,8,,100,-0.8,221,1.9
2013,1,3,10:00,UTC,7,,100,-0.7,235,3
2013,1,3,11:00,UTC,8,,100,-0.8,237,1.5
2013,1,3,12:00,UTC,8,,100,-1.3,225,2.8
2013,1,3,13:00,UTC,8,,100,-1.2,228,2.2
2013,1,3,14:00,UTC,8,,100,-1,222,1.9
2013,1,3,15:00,UTC,8,,100,-1.2,188,2.2
2013,1,3,16:00,UTC,8,,100,-1,151,0.9
2013,1,3,17:00,UTC,8,,100,-1.2,124,2.2
2013,1,3,18:00,UTC,8,,100,-1,138,2.2
2013,1,3,19:00,UTC,8,,100,-0.8,133,2.3
2013,1,3,20:00,UTC,9,,100,-0.7,140,2.4
2013,1,3,21:00,UTC,9,,100,-0.5,131,2
2013,1,3,22:00,UTC,9,,100,-0.3,166,2.3
2013,1,3,23:00,UTC,9,,100,-0.2,168,1.9
2013,1,4,00:00,UTC,9,,100,0,186,1.6
2013,1,4,01:00,UTC,8,,100,0,184,2
2013,1,4,02:00,UTC,8,,100,0,213,2
2013,1,4,03:00,UTC,9,,100,-0.1,211,1.9
2013,1,4,04:00,UTC,9,,100,-0.1,241,2.4
2013,1,4,05:00,UTC,9,,100,-0.1,221,1.5
2013,1,4,06:00,UTC,9,,100,-0.1,204,1.5
2013,1,4,07:00,UTC,9,,100,0,227,1.6
2013,1,4,08:00,UTC,9,,100,0.1,210,1.5
2013,1,4,09:00,UTC,9,,100,0.2,230,1.6
2013,1,4,10:00,UTC,9,,100,0.3,246,1.8
2013,1,4,11:00,UTC,9,,100,0.5,270,1.2
2013,1,4,12:00,UTC,9,,100,0.5,245,0.8
2013,1,4,13:00,UTC,9,,100,0.5,216,1
2013,1,4,14:00,UTC,9,,100,0.6,269,1.8
2013,1,4,15:00,UTC,8,,100,0.4,306,1.6
2013,1,4,16:00,UTC,8,,100,0.1,325,2.3
2013,1,4,17:00,UTC,8,,100,0.1,330,2.2
2013,1,4,18:00,UTC,8,,100,0.4,346,3.1
2013,1,4,19:00,UTC,8,,100,0.4,355,4.4
2013,1,4,20:00,UTC,8,,99,0.1,350,5.5
2013,1,4,21:00,UTC,8,,96,-0.3,355,6.4
2013,1,4,22:00,UTC,8,,95,-0.9,2,6.8
2013,1,4,23:00,UTC,8,,95,-1.3,356,5.5
2013,1,5,00:00,UTC,8,,89,-1.9,355,7.7
2013,1,5,01:00,UTC,8,,94,-2.2,353,4.5
2013,1,5,02:00,UTC,8,,91,-2.3,351,6.6
2013,1,5,03:00,UTC,7,,91,-2.5,352,5.3
2013,1,5,04:00,UTC,7,,89,-2.5,19,6.3
2013,1,5,05:00,UTC,7,,92,-3.2,343,3.2
2013,1,5,06:00,UTC,1,,95,-3.9,342,3.1
2013,1,5,07:00,UTC,1,,99,-4.5,326,2
2013,1,5,08:00,UTC,7,,97,-4.1,334,2.3
2013,1,5,09:00,UTC,8,,97,-3.9,338,2.8
2013,1,5,10:00,UTC,8,,97,-3.9,309,2.3
2013,1,5,11:00,UTC,7,,97,-3.9,324,2.8
2013,1,5,12:00,UTC,7,,97,-4.2,325,2.9
2013,1,5,13:00,UTC,7,,98,-4.3,323,2.6
2013,1,5,14:00,UTC,8,,99,-4.5,317,2.5
2013,1,5,15:00,UTC,5,,100,-5,306,1.8
2013,1,5,16:00,UTC,5,,100,-5.5,309,1.7
2013,1,5,17:00,UTC,3,,100,-6.1,302,1.6
2013,1,5,18:00,UTC,0,,100,-6.9,310,1.3
2013,1,5,19:00,UTC,7,,100,-7,310,1.5
2013,1,5,20:00,UTC,8,,100,-6.6,312,1.9
2013,1,5,21:00,UTC,8,,100,-6.5,317,2.2
2013,1,5,22:00,UTC,8,,100,-6.5,326,1.5
2013,1,5,23:00,UTC,8,,100,-6.9,338,2.8
2013,1,6,00:00,UTC,8,,100,-7.2,340,2.7
2013,1,6,01:00,UTC,8,,100,-7.2,345,2.6
2013,1,6,02:00,UTC,8,,100,-7.3,349,3.8
2013,1,6,03:00,UTC,8,,100,-7.1,353,3.5
2013,1,6,04:00,UTC,8,,99,-6.8,360,3.7
2013,1,6,05:00,UTC,8,,99,-6.6,360,3.3
2013,1,6,06:00,UTC,8,,99,-6.8,357,3.4
2013,1,6,07:00,UTC,8,,99,-6.9,356,2.9
2013,1,6,08:00,UTC,8,,99,-6.8,23,3.9
2013,1,6,09:00,UTC,8,,98,-6.8,39,3.4
2013,1,6,10:00,UTC,8,,99,-7.1,17,4.3
2013,1,6,11:00,UTC,8,,99,-7.3,53,3.5
2013,1,6,12:00,UTC,8,,98,-7.4,32,2.5
2013,1,6,13:00,UTC,8,,98,-7.6,17,2.5
2013,1,6,14:00,UTC,8,,99,-7.9,12,2.3
2013,1,6,15:00,UTC,8,,98,-8.3,359,2.6
2013,1,6,16:00,UTC,8,,99,-8.7,6,3.2
2013,1,6,17:00,UTC,8,,98,-8.8,41,2.2
2013,1,6,18:00,UTC,8,,98,-8.6,5,1.8
2013,1,6,19:00,UTC,8,,98,-8.6,18,2.2
2013,1,6,20:00,UTC,8,,98,-8.8,24,2
2013,1,6,21:00,UTC,8,,97,-9.1,22,0.9
2013,1,6,22:00,UTC,8,,97,-9.2,233,0.6
2013,1,6,23:00,UTC,8,,98,-9.3,163,1.3
2013,1,7,00:00,UTC,8,,97,-9.2,272,0.9
2013,1,7,01:00,UTC,8,,97,-9.6,238,1.5
2013,1,7,02:00,UTC,7,,97,-9.4,235,1.7
2013,1,7,03:00,UTC,8,,97,-9.6,196,1.7
2013,1,7,04:00,UTC,8,,97,-9.6,212,1.6
2013,1,7,05:00,UTC,8,,97,-9.4,170,1.6
2013,1,7,06:00,UTC,8,,97,-9.5,203,1.9
2013,1,7,07:00,UTC,8,,97,-9.4,165,2
2013,1,7,08:00,UTC,8,,97,-9,227,1.8
2013,1,7,09:00,UTC,8,,98,-8.5,186,1.8
2013,1,7,10:00,UTC,8,,99,-7.8,155,2.4
2013,1,7,11:00,UTC,8,,99,-7,155,1.8
2013,1,7,12:00,UTC,8,,99,-6.6,146,2.2
2013,1,7,13:00,UTC,7,,99,-6.4,136,2.2
2013,1,7,14:00,UTC,8,,99,-6.4,145,2.9
2013,1,7,15:00,UTC,8,,99,-6.6,155,2.6
2013,1,7,16:00,UTC,8,,100,-5.5,157,3.6
2013,1,7,17:00,UTC,8,,100,-4.3,168,3.2
2013,1,7,18:00,UTC,8,,100,-3.3,179,4.1
2013,1,7,19:00,UTC,8,,100,-3,179,4.5
2013,1,7,20:00,UTC,8,,100,-3,177,4.3
2013,1,7,21:00,UTC,8,,100,-2.9,178,5.1
2013,1,7,22:00,UTC,8,,100,-2.9,170,4.8
2013,1,7,23:00,UTC,8,,100,-2.7,164,4.6
2013,1,8,00:00,UTC,8,,100,-2.1,169,3.8
2013,1,8,01:00,UTC,8,,100,-1.4,174,3.7
2013,1,8,02:00,UTC,8,,100,-0.7,188,4.5
2013,1,8,03:00,UTC,8,,100,-0.6,191,4.8
2013,1,8,04:00,UTC,8,,100,-0.5,182,4.7
2013,1,8,05:00,UTC,8,,100,-0.7,178,4.7
2013,1,8,06:00,UTC,8,,100,-0.7,180,4.5
2013,1,8,07:00,UTC,8,,100,-0.6,176,5.1
2013,1,8,08:00,UTC,8,,100,-0.5,177,4.3
2013,1,8,09:00,UTC,8,,100,-0.7,179,4.3
2013,1,8,10:00,UTC,8,,100,-0.7,176,4.7
2013,1,8,11:00,UTC,8,,100,-0.6,171,4.8
2013,1,8,12:00,UTC,8,,100,-0.5,175,4.5
2013,1,8,13:00,UTC,8,,100,-0.6,171,5
2013,1,8,14:00,UTC,8,,100,-0.8,175,4.8
2013,1,8,15:00,UTC,8,,100,-0.9,173,4.5
2013,1,8,16:00,UTC,8,,100,-0.9,175,5.2
2013,1,8,17:00,UTC,7,,100,-1,180,4.2
2013,1,8,18:00,UTC,8,,100,-0.9,175,4.1
2013,1,8,19:00,UTC,8,,100,-1,187,3.9
2013,1,8,20:00,UTC,8,,100,-1,188,4.1
2013,1,8,21:00,UTC,8,,100,-0.9,185,3.5
2013,1,8,22:00,UTC,9,,100,-0.8,180,3.8
2013,1,8,23:00,UTC,9,,100,-0.6,192,2.9
2013,1,9,00:00,UTC,9,,100,-0.5,211,2.6
2013,1,9,01:00,UTC,8,,100,-0.4,248,2.8
2013,1,9,02:00,UTC,7,,100,-1.2,257,3.6
2013,1,9,03:00,UTC,7,,100,-1.7,251,3.4
2013,1,9,04:00,UTC,8,,100,-1.7,243,3.2
