Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Relative humidity (%),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2013,1,1,00:00,UTC,,-1,98,-2.6,,
2013,1,1,01:00,UTC,,-1,98,-2.8,,
2013,1,1,02:00,UTC,,-1,98,-2.8,,
2013,1,1,03:00,UTC,,-1,98,-2.5,,
2013,1,1,04:00,UTC,,-1,98,-2.6,,
2013,1,1,05:00,UTC,,-1,98,-2.4,,
2013,1,1,06:00,UTC,,0.4,99,-2.4,,
2013,1,1,07:00,UTC,,-1,99,-1.8,,
2013,1,1,08:00,UTC,,-1,98,-1.2,,
2013,1,1,09:00,UTC,,-1,99,-1,,
2013,1,1,10:00,UTC,,-1,98,-0.6,,
2013,1,1,11:00,UTC,,-1,98,-0.2,,
2013,1,1,12:00,UTC,,0.3,98,-0.2,,
2013,1,1,13:00,UTC,,0.4,99,-0.3,,
2013,1,1,14:00,UTC,,0.5,99,-0.4,,
2013,1,1,15:00,UTC,,0.4,98,-0.6,,
2013,1,1,16:00,UTC,,0.6,98,-0.8,,
2013,1,1,17:00,UTC,,0.3,98,-1.1,,
2013,1,1,18:00,UTC,,0.3,98,-1.3,,
2013,1,1,19:00,UTC,,0.2,98,-1.6,,
2013,1,1,20:00,UTC,,0.3,98,-1.7,,
2013,1,1,21:00,UTC,,0.2,98,-1.8,,
2013,1,1,22:00,UTC,,0.2,98,-1.9,,
2013,1,1,23:00,UTC,,0.2,98,-2,,
2013,1,2,00:00,UTC,,0.3,99,-2,,
2013,1,2,01:00,UTC,,0.3,98,-2,,
2013,1,2,02:00,UTC,,0.4,99,-2,,
2013,1,2,03:00,UTC,,0.2,99,-1.9,,
2013,1,2,04:00,UTC,,0.3,99,-1.9,,
2013,1,2,05:00,UTC,,-1,99,-2,,
2013,1,2,06:00,UTC,,0.2,99,-2.1,,
2013,1,2,07:00,UTC,,-1,99,-2,,
2013,1,2,08:00,UTC,,0.2,100,-1.8,,
2013,1,2,09:00,UTC,,-1,99,-2,,
2013,1,2,10:00,UTC,,-1,100,-1.9,,
2013,1,2,11:00,UTC,,-1,100,-1.9,,
2013,1,2,12:00,UTC,,-1,100,-1.9,,
2013,1,2,13:00,UTC,,-1,100,-2,,
2013,1,2,14:00,UTC,,-1,99,-2.2,,
2013,1,2,15:00,UTC,,-1,99,-2.4,,
2013,1,2,16:00,UTC,,-1,99,-2.4,,
2013,1,2,17:00,UTC,,-1,99,-2.4,,
2013,1,2,18:00,UTC,,-1,98,-2.7,,
2013,1,2,19:00,UTC,,-1,98,-2.8,,
2013,1,2,20:00,UTC,,-1,98,-2.9,,
2013,1,2,21:00,UTC,,-1,98,-3.1,,
2013,1,2,22:00,UTC,,-1,97,-3.2,,
2013,1,2,23:00,UTC,,-1,97,-3.4,,
2013,1,3,00:00,UTC,,-1,97,-3.7,,
2013,1,3,01:00,UTC,,-1,98,-4.2,,
2013,1,3,02:00,UTC,,-1,97,-4.3,,
2013,1,3,03:00,UTC,,-1,97,-4.5,,
2013,1,3,04:00,UTC,,-1,97,-4.4,,
2013,1,3,05:00,UTC,,-1,97,-4.4,,
2013,1,3,06:00,UTC,,-1,97,-4.5,,
2013,1,3,07:00,UTC,,-1,97,-4.4,,
2013,1,3,08:00,UTC,,-1,96,-4.1,,
2013,1,3,09:00,UTC,,-1,95,-4,,
2013,1,3,10:00,UTC,,-1,96,-4,,
2013,1,3,11:00,UTC,,-1,97,-4.2,,
2013,1,3,12:00,UTC,,-1,98,-4.4,,
2013,1,3,13:00,UTC,,-1,98,-4.7,,
2013,1,3,14:00,UTC,,-1,97,-4.6,,
2013,1,3,15:00,UTC,,-1,97,-4.1,,
2013,1,3,16:00,UTC,,-1,97,-4.4,,
2013,1,3,17:00,UTC,,-1,98,-4.6,,
2013,1,3,18:00,UTC,,-1,93,-4.4,,
