Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Relative humidity (%),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2013,1,1,00:00,UTC,8,,98,-4.2,0,0
2013,1,1,01:00,UTC,8,,98,-3.9,0,0
2013,1,1,02:00,UTC,8,,99,-3.4,0,0
2013,1,1,03:00,UTC,8,,99,-2.9,120,1
2013,1,1,04:00,UTC,7,,100,-2,130,1.5
2013,1,1,05:00,UTC,7,,100,-1.6,120,1.5
2013,1,1,06:00,UTC,7,,100,-1.2,130,1.5
2013,1,1,07:00,UTC,8,,100,-1.2,120,3.1
2013,1,1,08:00,UTC,8,,99,-1.3,130,3.1
2013,1,1,09:00,UTC,8,,99,-1.6,120,2.6
2013,1,1,10:00,UTC,7,,99,-1.6,110,3.1
2013,1,1,11:00,UTC,8,,100,-1.4,120,2.6
2013,1,1,12:00,UTC,8,,100,-1.3,110,2.1
2013,1,1,13:00,UTC,8,,100,-1.5,100,2.1
2013,1,1,14:00,UTC,8,,99,-1.5,100,1.5
2013,1,1,15:00,UTC,8,,99,-1.4,90,1.5
2013,1,1,16:00,UTC,8,,99,-1.4,90,1.5
2013,1,1,17:00,UTC,8,,99,-1.3,80,1
2013,1,1,18:00,UTC,8,,99,-1.3,80,2.1
2013,1,1,19:00,UTC,8,,99,-1.3,80,1.5
2013,1,1,20:00,UTC,8,,98,-1.3,70,1.5
2013,1,1,21:00,UTC,8,,98,-1.4,70,1.5
2013,1,1,22:00,UTC,8,,99,-1.5,80,1.5
2013,1,1,23:00,UTC,8,,99,-1.9,0,0
2013,1,2,00:00,UTC,8,,99,-2,20,1
2013,1,2,01:00,UTC,8,,99,-2.1,30,1.5
2013,1,2,02:00,UTC,8,,99,-2.3,10,1
2013,1,2,03:00,UTC,8,,99,-2.3,30,1.5
2013,1,2,04:00,UTC,8,,99,-2.6,330,1
2013,1,2,05:00,UTC,8,,99,-2.8,0,0
2013,1,2,06:00,UTC,7,,99,-2.7,350,1
2013,1,2,07:00,UTC,8,,99,-3,300,1.5
2013,1,2,08:00,UTC,8,,99,-2.7,340,2.1
2013,1,2,09:00,UTC,7,,99,-2.7,310,2.1
2013,1,2,10:00,UTC,8,,98,-3.1,320,2.1
2013,1,2,11:00,UTC,8,,99,-2.7,310,1
2013,1,2,12:00,UTC,8,,98,-3,340,2.6
2013,1,2,13:00,UTC,8,,98,-3.1,350,1
2013,1,2,14:00,UTC,8,,99,-3.4,290,1
2013,1,2,15:00,UTC,8,,98,-3.4,230,1
2013,1,2,16:00,UTC,8,,98,-3.6,300,1
2013,1,2,17:00,UTC,8,,98,-3.8,0,0
2013,1,2,18:00,UTC,8,,98,-4.1,260,1.5
2013,1,2,19:00,UTC,8,,97,-4.2,290,2.1
2013,1,2,20:00,UTC,8,,96,-4.4,270,2.1
2013,1,2,21:00,UTC,8,,96,-4.9,280,2.1
2013,1,2,22:00,UTC,8,,96,-5.3,270,1.5
2013,1,2,23:00,UTC,8,,96,-5.7,270,2.1
2013,1,3,00:00,UTC,8,,95,-5.8,270,2.1
2013,1,3,01:00,UTC,8,,95,-5.9,250,1.5
2013,1,3,02:00,UTC,8,,95,-6,260,1.5
2013,1,3,03:00,UTC,8,,95,-5.8,250,1.5
2013,1,3,04:00,UTC,8,,95,-5.5,230,1.5
2013,1,3,05:00,UTC,8,,94,-5.2,0,0
2013,1,3,06:00,UTC,8,,93,-5.2,220,1.5
2013,1,3,07:00,UTC,8,,95,-5.7,150,1
2013,1,3,08:00,UTC,8,,95,-6,200,1
2013,1,3,09:00,UTC,8,,95,-6.3,0,0
2013,1,3,10:00,UTC,8,,92,-5.2,0,0
2013,1,3,11:00,UTC,8,,92,-5.4,0,0
2013,1,3,12:00,UTC,8,,93,-5.9,210,1
2013,1,3,13:00,UTC,8,,91,-5.8,150,2.1
2013,1,3,14:00,UTC,8,,92,-6.2,210,1
2013,1,3,15:00,UTC,8,,94,-6.5,210,1
2013,1,3,16:00,UTC,8,,94,-6.7,170,1
2013,1,3,17:00,UTC,8,,94,-6.8,230,1
2013,1,3,18:00,UTC,8,,94,-7,200,2.1
2013,1,3,19:00,UTC,8,,94,-7,170,1
2013,1,3,20:00,UTC,8,,96,-7.3,240,1.5
2013,1,3,21:00,UTC,8,,96,-7.3,290,1.5
2013,1,3,22:00,UTC,8,,95,-7.2,0,0
2013,1,3,23:00,UTC,8,,96,-7.3,270,1
2013,1,4,00:00,UTC,8,,96,-7.4,230,1.5
2013,1,4,01:00,UTC,8,,97,-7.4,270,2.6
2013,1,4,02:00,UTC,7,,96,-7.3,260,1.5
2013,1,4,03:00,UTC,8,,96,-7.9,260,2.1
2013,1,4,04:00,UTC,8,,94,-8.5,250,1.5
2013,1,4,05:00,UTC,8,,94,-7.9,280,3.1
2013,1,4,06:00,UTC,8,,93,-7.9,280,2.6
2013,1,4,07:00,UTC,7,,92,-8.6,260,2.1
2013,1,4,08:00,UTC,7,,93,-9,260,1.5
2013,1,4,09:00,UTC,1,,92,-9.4,250,1.5
2013,1,4,10:00,UTC,0,,93,-10.1,250,2.1
2013,1,4,11:00,UTC,0,,92,-10.6,240,2.6
2013,1,4,12:00,UTC,0,,91,-11.5,20,1
2013,1,4,13:00,UTC,0,,93,-10.8,230,1
2013,1,4,14:00,UTC,0,,92,-11.9,280,2.1
2013,1,4,15:00,UTC,7,,90,-10.4,260,2.6
2013,1,4,16:00,UTC,0,,90,-9.4,260,2.1
2013,1,4,17:00,UTC,0,,91,-10.1,220,1
2013,1,4,18:00,UTC,0,,89,-8.8,290,5.1
2013,1,4,19:00,UTC,0,,91,-8.4,270,1.5
2013,1,4,20:00,UTC,0,,91,-7.7,280,4.6
2013,1,4,21:00,UTC,0,,91,-7.5,280,4.6
2013,1,4,22:00,UTC,0,,91,-7.8,270,4.1
2013,1,4,23:00,UTC,0,,92,-7.5,250,3.6
2013,1,5,00:00,UTC,0,,92,-7.3,260,5.1
2013,1,5,01:00,UTC,0,,92,-7.3,270,4.1
