Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Relative humidity (%),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2013,1,1,00:00,UTC,8,,99,0.7,160,3.1
2013,1,1,01:00,UTC,8,,100,0.7,150,3.6
2013,1,1,02:00,UTC,8,,100,0.7,160,4.6
2013,1,1,03:00,UTC,8,,99,0.6,150,4.1
2013,1,1,04:00,UTC,8,,99,0.4,150,4.6
2013,1,1,05:00,UTC,8,,99,0.2,150,4.1
2013,1,1,06:00,UTC,8,,99,0.2,150,4.1
2013,1,1,07:00,UTC,8,,100,0.2,150,4.1
2013,1,1,08:00,UTC,8,,100,0.2,150,4.1
2013,1,1,09:00,UTC,8,,100,0.5,150,3.6
2013,1,1,10:00,UTC,8,,100,1.2,150,3.1
2013,1,1,11:00,UTC,8,,100,1.9,160,3.6
2013,1,1,12:00,UTC,7,,100,2.2,180,3.6
2013,1,1,13:00,UTC,8,,99,2.5,190,3.6
2013,1,1,14:00,UTC,8,,99,2.5,190,3.6
2013,1,1,15:00,UTC,8,,99,2.5,190,3.6
2013,1,1,16:00,UTC,8,,99,2.2,200,3.1
2013,1,1,17:00,UTC,8,,99,2.1,190,3.1
2013,1,1,18:00,UTC,8,,99,2.1,190,3.1
2013,1,1,19:00,UTC,8,,99,2.1,190,3.1
2013,1,1,20:00,UTC,8,,99,2.1,200,3.6
2013,1,1,21:00,UTC,8,,100,2,200,3.1
2013,1,1,22:00,UTC,8,,100,2,200,3.1
2013,1,1,23:00,UTC,8,,100,1.9,210,2.6
2013,1,2,00:00,UTC,7,,100,1.8,210,3.1
2013,1,2,01:00,UTC,8,,100,1.8,200,2.1
2013,1,2,02:00,UTC,8,,100,1.8,190,2.1
2013,1,2,03:00,UTC,7,,100,1.6,190,2.6
2013,1,2,04:00,UTC,8,,100,1.6,190,2.1
2013,1,2,05:00,UTC,9,,100,1.4,200,2.1
2013,1,2,06:00,UTC,9,,100,1.4,190,1.5
