Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Relative humidity (%),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2013,1,1,00:00,UTC,7,,98,3.5,210,6.7
2013,1,1,01:00,UTC,7,,99,3.6,200,6.7
2013,1,1,02:00,UTC,5,,99,3.6,210,6.7
2013,1,1,03:00,UTC,7,,99,3.5,200,7.2
2013,1,1,04:00,UTC,5,,99,3.4,210,6.7
2013,1,1,05:00,UTC,5,,99,3.6,210,7.2
2013,1,1,06:00,UTC,5,,98,3.5,210,6.7
2013,1,1,07:00,UTC,5,,98,3.5,200,6.2
2013,1,1,08:00,UTC,7,,97,3.6,210,6.7
2013,1,1,09:00,UTC,8,,97,3.7,210,7.7
2013,1,1,10:00,UTC,8,,96,3.7,210,7.2
2013,1,1,11:00,UTC,7,,94,3.7,210,6.7
2013,1,1,12:00,UTC,7,,93,3.7,220,6.2
2013,1,1,13:00,UTC,7,,86,3.9,230,5.7
2013,1,1,14:00,UTC,7,,86,3.7,230,4.6
2013,1,1,15:00,UTC,7,,86,3.4,230,5.1
2013,1,1,16:00,UTC,7,,86,3.3,230,4.1
2013,1,1,17:00,UTC,7,,86,3.3,240,4.1
2013,1,1,18:00,UTC,7,,90,2.6,210,3.1
2013,1,1,19:00,UTC,5,,91,2.4,230,3.1
2013,1,1,20:00,UTC,0,,91,2.1,230,3.6
2013,1,1,21:00,UTC,0,,91,2,210,2.1
2013,1,1,22:00,UTC,0,,92,1.7,220,3.1
2013,1,1,23:00,UTC,0,,91,1.9,230,2.6
2013,1,2,00:00,UTC,0,,95,1.2,210,3.6
2013,1,2,01:00,UTC,0,,94,1.3,210,3.6
2013,1,2,02:00,UTC,0,,93,1.6,220,4.1
2013,1,2,03:00,UTC,0,,93,1.6,210,4.1
2013,1,2,04:00,UTC,0,,91,1.7,220,4.1
2013,1,2,05:00,UTC,5,,88,1.9,250,4.6
2013,1,2,06:00,UTC,7,,88,1.8,240,4.1
2013,1,2,07:00,UTC,7,,86,1.8,250,4.6
2013,1,2,08:00,UTC,7,,84,1.7,260,4.1
2013,1,2,09:00,UTC,7,,85,1.5,250,3.6
2013,1,2,10:00,UTC,7,,86,1.5,260,3.6
2013,1,2,11:00,UTC,5,,86,1.4,270,4.1
2013,1,2,12:00,UTC,7,,85,1.4,270,3.6
2013,1,2,13:00,UTC,7,,84,1.2,260,3.6
2013,1,2,14:00,UTC,5,,85,0.9,270,3.6
2013,1,2,15:00,UTC,8,,92,0.6,260,3.6
2013,1,2,16:00,UTC,7,,95,0.4,260,3.6
2013,1,2,17:00,UTC,7,,93,0.6,280,3.6
2013,1,2,18:00,UTC,7,,92,0.6,280,2.6
2013,1,2,19:00,UTC,7,,91,0.5,280,2.6
2013,1,2,20:00,UTC,5,,91,0.5,290,2.6
2013,1,2,21:00,UTC,7,,93,0.2,300,3.1
2013,1,2,22:00,UTC,7,,94,0.3,300,2.1
2013,1,2,23:00,UTC,7,,93,0.4,300,2.1
2013,1,3,00:00,UTC,5,,92,0.2,290,1.5
2013,1,3,01:00,UTC,5,,95,-0.1,280,1.5
2013,1,3,02:00,UTC,7,,96,-0.4,270,2.1
2013,1,3,03:00,UTC,5,,96,-0.7,0,0
2013,1,3,04:00,UTC,5,,99,-2.5,0,0
2013,1,3,05:00,UTC,1,,99,-2,200,1
2013,1,3,06:00,UTC,3,,97,-1.4,230,2.1
2013,1,3,07:00,UTC,0,,99,-2.9,230,1.5
2013,1,3,08:00,UTC,0,,99,-2,210,1.5
2013,1,3,09:00,UTC,0,,98,-3,130,1
2013,1,3,10:00,UTC,1,,96,-0.7,190,2.1
2013,1,3,11:00,UTC,1,,97,-0.1,210,3.6
2013,1,3,12:00,UTC,1,,96,-0.2,210,2.6
2013,1,3,13:00,UTC,5,,96,-0.2,210,2.6
2013,1,3,14:00,UTC,7,,98,0.2,200,2.1
2013,1,3,15:00,UTC,8,,100,0.4,200,2.1
2013,1,3,16:00,UTC,0,,100,0.4,210,1.5
2013,1,3,17:00,UTC,1,,100,0.5,0,0
2013,1,3,18:00,UTC,8,,100,0.5,0,0
2013,1,3,19:00,UTC,7,,100,0.4,300,2.1
2013,1,3,20:00,UTC,5,,99,0.4,300,1
2013,1,3,21:00,UTC,5,,99,0.4,280,1.5
2013,1,3,22:00,UTC,5,,98,0.6,290,2.6
2013,1,3,23:00,UTC,7,,97,0.5,290,2.1
2013,1,4,00:00,UTC,7,,97,0.7,280,1.5
2013,1,4,01:00,UTC,8,,98,0.8,250,1
2013,1,4,02:00,UTC,8,,92,2.4,270,2.6
2013,1,4,03:00,UTC,7,,88,3,310,2.6
2013,1,4,04:00,UTC,7,,87,3.1,300,2.6
2013,1,4,05:00,UTC,8,,84,3.3,290,3.1
2013,1,4,06:00,UTC,8,,84,3.2,290,3.1
2013,1,4,07:00,UTC,8,,84,3.4,290,3.6
2013,1,4,08:00,UTC,8,,95,3,310,5.1
2013,1,4,09:00,UTC,8,,97,2.8,310,5.7
2013,1,4,10:00,UTC,8,,97,2.4,330,6.2
2013,1,4,11:00,UTC,8,,84,2.7,330,6.7
2013,1,4,12:00,UTC,1,,84,2.1,340,5.7
2013,1,4,13:00,UTC,7,,86,2.4,340,6.2
2013,1,4,14:00,UTC,7,,85,2,350,6.7
2013,1,4,15:00,UTC,5,,91,0.6,350,6.7
2013,1,4,16:00,UTC,7,,89,0.4,350,6.7
