Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Relative humidity (%),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2013,1,1,00:00,UTC,8,,100,0.2,137,1.1
2013,1,1,01:00,UTC,8,,100,0.3,145,1.6
2013,1,1,02:00,UTC,8,,100,0.1,132,1.4
2013,1,1,03:00,UTC,8,,100,0,135,1.1
2013,1,1,04:00,UTC,8,,99,-0.2,111,1.7
2013,1,1,05:00,UTC,8,,99,-0.4,104,1.6
2013,1,1,06:00,UTC,8,,100,-0.5,113,2.3
2013,1,1,07:00,UTC,8,,100,-0.3,118,2.4
2013,1,1,08:00,UTC,8,,100,0,120,2
2013,1,1,09:00,UTC,8,,100,0,101,1.6
2013,1,1,10:00,UTC,8,,100,0.1,102,2
2013,1,1,11:00,UTC,8,,100,0.2,102,2.4
2013,1,1,12:00,UTC,8,,100,0.3,99,2.3
2013,1,1,13:00,UTC,8,,100,0.3,107,2.5
2013,1,1,14:00,UTC,8,,100,0.4,101,2.4
2013,1,1,15:00,UTC,8,,100,0.4,102,2.2
2013,1,1,16:00,UTC,8,,100,0.4,104,2.2
2013,1,1,17:00,UTC,8,,100,0.3,101,2
2013,1,1,18:00,UTC,8,,100,0.3,96,1.7
2013,1,1,19:00,UTC,7,,100,0.2,88,1.6
2013,1,1,20:00,UTC,7,,100,0,71,1.5
2013,1,1,21:00,UTC,8,,100,0,73,1.6
2013,1,1,22:00,UTC,8,,100,-0.3,57,1.2
2013,1,1,23:00,UTC,8,,100,-0.5,52,1.7
2013,1,2,00:00,UTC,8,,100,-0.5,49,1.6
2013,1,2,01:00,UTC,7,,100,-0.7,51,1.7
2013,1,2,02:00,UTC,8,,100,-0.7,45,1
2013,1,2,03:00,UTC,8,,100,-0.8,24,1.2
2013,1,2,04:00,UTC,8,,100,-0.9,31,1.3
2013,1,2,05:00,UTC,8,,100,-0.9,0,0
2013,1,2,06:00,UTC,8,,100,-0.9,20,0.6
2013,1,2,07:00,UTC,8,,100,-1,0,0
2013,1,2,08:00,UTC,8,,100,-1,0,0
2013,1,2,09:00,UTC,8,,100,-1.1,0,0
2013,1,2,10:00,UTC,8,,100,-1.3,330,0.6
2013,1,2,11:00,UTC,8,,99,-1.5,352,0.7
2013,1,2,12:00,UTC,8,,99,-1.6,3,1.1
2013,1,2,13:00,UTC,8,,98,-1.7,13,1.7
2013,1,2,14:00,UTC,8,,98,-1.9,5,1.3
2013,1,2,15:00,UTC,8,,98,-2.1,11,1.3
2013,1,2,16:00,UTC,8,,98,-2.3,360,1.1
2013,1,2,17:00,UTC,8,,98,-2.4,0,0
2013,1,2,18:00,UTC,7,,99,-2.5,0,0
2013,1,2,19:00,UTC,8,,99,-2.6,311,0.7
2013,1,2,20:00,UTC,8,,98,-2.7,331,1.2
2013,1,2,21:00,UTC,8,,98,-2.8,11,0.6
2013,1,2,22:00,UTC,8,,98,-3,313,0.7
2013,1,2,23:00,UTC,8,,98,-3,0,0
2013,1,3,00:00,UTC,8,,99,-3,0,0
2013,1,3,01:00,UTC,7,,100,-3.1,279,1.1
2013,1,3,02:00,UTC,8,,100,-3.2,0,0
2013,1,3,03:00,UTC,8,,100,-3.4,265,0.7
2013,1,3,04:00,UTC,8,,100,-3.5,278,1.1
2013,1,3,05:00,UTC,8,,100,-3.6,274,0.7
2013,1,3,06:00,UTC,8,,100,-3.7,0,0
