Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Relative humidity (%),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2013,1,1,00:00,UTC,8,0.5,95,1,128,3
2013,1,1,01:00,UTC,8,0.3,94,1,137,4.7
2013,1,1,02:00,UTC,8,0.4,94,1,140,5.5
2013,1,1,03:00,UTC,8,0.2,94,1,144,5.4
2013,1,1,04:00,UTC,8,0.1,95,1.2,148,4.9
2013,1,1,05:00,UTC,8,-1,96,1.5,152,4.6
2013,1,1,06:00,UTC,8,-1,96,1.8,150,3.8
2013,1,1,07:00,UTC,8,-1,97,2.1,144,3.5
2013,1,1,08:00,UTC,8,0.5,96,2.4,158,4.4
2013,1,1,09:00,UTC,8,0.8,95,2.4,161,4
2013,1,1,10:00,UTC,8,0.6,93,2.6,173,4.5
2013,1,1,11:00,UTC,8,0.4,95,3,175,4
2013,1,1,12:00,UTC,8,0.2,96,2.9,174,3.4
2013,1,1,13:00,UTC,8,0.3,96,3,195,3.6
2013,1,1,14:00,UTC,8,0.1,96,2.8,193,3.6
2013,1,1,15:00,UTC,8,0.2,96,2.7,193,4
2013,1,1,16:00,UTC,8,-1,96,2.6,187,3.6
2013,1,1,17:00,UTC,7,0.2,96,2.4,191,3.9
2013,1,1,18:00,UTC,8,-1,95,2.2,193,4.1
2013,1,1,19:00,UTC,8,-1,95,2,188,4.2
2013,1,1,20:00,UTC,8,0.2,94,1.7,196,4.4
2013,1,1,21:00,UTC,8,-1,94,1.6,190,4.3
2013,1,1,22:00,UTC,8,0.2,95,1.5,195,5.6
2013,1,1,23:00,UTC,8,-1,96,1.4,194,5.5
2013,1,2,00:00,UTC,8,-1,96,1.2,185,4.8
2013,1,2,01:00,UTC,8,-1,95,1.1,189,4.3
2013,1,2,02:00,UTC,8,-1,95,1.1,182,4.5
2013,1,2,03:00,UTC,8,-1,96,1,194,4.1
2013,1,2,04:00,UTC,8,-1,96,0.8,187,4.3
2013,1,2,05:00,UTC,8,-1,97,0.6,174,3.2
2013,1,2,06:00,UTC,8,-1,97,0.7,190,3.5
2013,1,2,07:00,UTC,8,-1,95,0.6,196,4.1
2013,1,2,08:00,UTC,8,-1,95,0.5,188,3.3
2013,1,2,09:00,UTC,8,0.2,96,0.4,182,2
2013,1,2,10:00,UTC,8,-1,96,0.3,182,2.9
2013,1,2,11:00,UTC,8,0.2,97,0.3,183,1.9
2013,1,2,12:00,UTC,7,-1,96,0.3,187,1.9
2013,1,2,13:00,UTC,8,0.1,96,0.4,196,1.9
2013,1,2,14:00,UTC,8,-1,96,0.4,206,2.8
2013,1,2,15:00,UTC,8,-1,96,0.3,202,2.5
2013,1,2,16:00,UTC,8,-1,97,0.3,213,1.6
2013,1,2,17:00,UTC,8,0.2,97,0.2,205,1.3
2013,1,2,18:00,UTC,8,0.1,97,0.3,219,1.4
2013,1,2,19:00,UTC,8,-1,97,0.2,278,1.6
2013,1,2,20:00,UTC,8,0.1,96,-0.1,302,2.3
2013,1,2,21:00,UTC,8,0.2,97,-0.2,305,1.5
2013,1,2,22:00,UTC,8,0.5,97,-0.3,295,1.8
2013,1,2,23:00,UTC,7,-1,97,-0.5,297,1.2
2013,1,3,00:00,UTC,8,-1,96,-0.4,315,1.3
2013,1,3,01:00,UTC,8,-1,96,-0.5,281,1.8
2013,1,3,02:00,UTC,7,-1,96,-0.7,274,1.5
2013,1,3,03:00,UTC,8,-1,95,-0.9,262,1.6
2013,1,3,04:00,UTC,8,-1,93,-1.1,248,1.7
2013,1,3,05:00,UTC,8,-1,93,-1.3,248,1.5
2013,1,3,06:00,UTC,8,-1,89,-1.3,249,1.5
2013,1,3,07:00,UTC,1,-1,93,-3.3,152,1.1
2013,1,3,08:00,UTC,5,-1,97,-4.5,158,0.9
2013,1,3,09:00,UTC,8,-1,96,-3.5,111,1
2013,1,3,10:00,UTC,8,-1,93,-1.8,172,2
2013,1,3,11:00,UTC,8,-1,94,-1.3,198,2.2
2013,1,3,12:00,UTC,8,-1,96,-1.9,162,2.1
2013,1,3,13:00,UTC,7,-1,96,-2.1,149,1.7
2013,1,3,14:00,UTC,8,-1,97,-1.3,149,1.3
2013,1,3,15:00,UTC,8,0.2,96,-0.8,192,3.2
2013,1,3,16:00,UTC,8,-1,95,-0.9,181,2.8
2013,1,3,17:00,UTC,8,-1,96,-0.9,181,3.5
2013,1,3,18:00,UTC,8,-1,95,-1,178,3.3
2013,1,3,19:00,UTC,8,-1,95,-1.2,180,4.2
2013,1,3,20:00,UTC,8,-1,96,-1.4,175,3.8
2013,1,3,21:00,UTC,8,-1,96,-1.3,177,4.1
