Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Relative humidity (%),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2013,1,1,00:00,UTC,8,,98,0.1,150,4.6
2013,1,1,01:00,UTC,8,,98,0.1,160,4.6
2013,1,1,02:00,UTC,7,,98,0.1,160,4.6
2013,1,1,03:00,UTC,7,,97,0.2,150,5.1
2013,1,1,04:00,UTC,8,,97,0.2,140,4.6
2013,1,1,05:00,UTC,8,,95,0.4,140,5.1
2013,1,1,06:00,UTC,7,,95,0.5,140,5.1
2013,1,1,07:00,UTC,7,,95,0.4,140,6.2
2013,1,1,08:00,UTC,7,,97,0.1,140,6.2
2013,1,1,09:00,UTC,7,,97,0,130,6.2
2013,1,1,10:00,UTC,8,,98,0,140,6.2
2013,1,1,11:00,UTC,7,,98,-0.1,140,6.7
2013,1,1,12:00,UTC,8,,98,-0.1,140,6.2
2013,1,1,13:00,UTC,8,,98,-0.1,140,5.7
2013,1,1,14:00,UTC,7,,98,-0.1,150,6.2
2013,1,1,15:00,UTC,8,,99,-0.1,150,5.1
2013,1,1,16:00,UTC,7,,99,-0.1,150,5.1
2013,1,1,17:00,UTC,8,,99,0,150,4.6
2013,1,1,18:00,UTC,8,,99,0.2,150,4.1
2013,1,1,19:00,UTC,8,,99,0.3,150,4.1
2013,1,1,20:00,UTC,9,,99,0.4,160,3.1
2013,1,1,21:00,UTC,9,,99,0.6,150,2.6
2013,1,1,22:00,UTC,8,,99,1.1,160,3.1
2013,1,1,23:00,UTC,9,,99,1.1,160,3.6
2013,1,2,00:00,UTC,8,,99,1.1,170,3.1
2013,1,2,01:00,UTC,8,,99,1.1,170,2.6
2013,1,2,02:00,UTC,7,,99,1.1,170,2.6
2013,1,2,03:00,UTC,7,,99,1.1,180,2.6
2013,1,2,04:00,UTC,7,,99,0.9,170,2.6
2013,1,2,05:00,UTC,7,,99,0.9,170,2.6
2013,1,2,06:00,UTC,7,,99,0.7,170,2.6
2013,1,2,07:00,UTC,7,,99,0.5,160,2.1
2013,1,2,08:00,UTC,7,,99,0.6,170,2.1
2013,1,2,09:00,UTC,7,,98,0.6,190,2.1
2013,1,2,10:00,UTC,7,,98,0.6,170,1.5
2013,1,2,11:00,UTC,7,,98,0.7,180,1
2013,1,2,12:00,UTC,7,,98,0.4,180,1.5
2013,1,2,13:00,UTC,7,,98,0.4,180,1.5
2013,1,2,14:00,UTC,7,,98,0.2,190,1.5
2013,1,2,15:00,UTC,7,,99,0.1,200,1.5
2013,1,2,16:00,UTC,8,,99,0,220,1.5
2013,1,2,17:00,UTC,8,,99,0,210,1.5
2013,1,2,18:00,UTC,7,,99,0,210,2.1
2013,1,2,19:00,UTC,7,,99,0,230,2.6
2013,1,2,20:00,UTC,7,,98,-0.1,220,2.1
2013,1,2,21:00,UTC,8,,97,-0.3,230,2.6
2013,1,2,22:00,UTC,8,,95,-0.6,210,3.1
2013,1,2,23:00,UTC,8,,96,-0.7,200,2.6
2013,1,3,00:00,UTC,8,,94,-0.8,200,3.1
2013,1,3,01:00,UTC,8,,95,-1.1,200,2.1
2013,1,3,02:00,UTC,8,,95,-1.1,200,2.1
2013,1,3,03:00,UTC,8,,96,-1.2,210,1.5
2013,1,3,04:00,UTC,8,,96,-1,210,1.5
2013,1,3,05:00,UTC,8,,96,-0.9,220,2.1
2013,1,3,06:00,UTC,8,,97,-0.8,210,2.1
2013,1,3,07:00,UTC,7,,97,-0.7,210,2.1
2013,1,3,08:00,UTC,8,,97,-0.5,230,2.1
2013,1,3,09:00,UTC,7,,97,-0.4,240,2.1
2013,1,3,10:00,UTC,7,,97,-0.4,250,3.1
2013,1,3,11:00,UTC,7,,96,-0.8,270,3.6
2013,1,3,12:00,UTC,8,,96,-0.9,260,3.1
2013,1,3,13:00,UTC,7,,95,-1.1,250,3.1
2013,1,3,14:00,UTC,8,,95,-1.2,250,2.6
2013,1,3,15:00,UTC,8,,94,-1.3,260,3.1
2013,1,3,16:00,UTC,8,,94,-1.5,260,2.6
2013,1,3,17:00,UTC,7,,95,-1.6,270,2.1
2013,1,3,18:00,UTC,8,,94,-1.7,270,2.6
2013,1,3,19:00,UTC,8,,93,-1.9,280,2.6
2013,1,3,20:00,UTC,8,,93,-2.2,270,1.5
2013,1,3,21:00,UTC,8,,94,-2.2,260,2.1
2013,1,3,22:00,UTC,8,,93,-2.3,270,1
2013,1,3,23:00,UTC,8,,92,-2.4,0,0
2013,1,4,00:00,UTC,8,,92,-2.5,240,1
2013,1,4,01:00,UTC,8,,94,-2.9,0,0
2013,1,4,02:00,UTC,8,,96,-3,0,0
2013,1,4,03:00,UTC,8,,93,-2.7,0,0
2013,1,4,04:00,UTC,8,,94,-2.8,0,0
2013,1,4,05:00,UTC,8,,94,-2.8,0,0
2013,1,4,06:00,UTC,8,,95,-2.8,0,0
2013,1,4,07:00,UTC,8,,96,-3,0,0
2013,1,4,08:00,UTC,8,,95,-2.8,0,0
2013,1,4,09:00,UTC,8,,95,-2.9,0,0
2013,1,4,10:00,UTC,8,,94,-2.7,0,0
2013,1,4,11:00,UTC,8,,93,-2.7,90,1
2013,1,4,12:00,UTC,8,,92,-2.5,0,0
2013,1,4,13:00,UTC,8,,93,-2.6,0,0
2013,1,4,14:00,UTC,8,,94,-2.7,0,0
2013,1,4,15:00,UTC,8,,95,-3,0,0
2013,1,4,16:00,UTC,8,,94,-2.9,360,1
2013,1,4,17:00,UTC,8,,93,-3,360,1
2013,1,4,18:00,UTC,8,,94,-2.9,360,1.5
2013,1,4,19:00,UTC,8,,95,-3.2,340,1.5
2013,1,4,20:00,UTC,7,,95,-3.5,320,1.5
2013,1,4,21:00,UTC,8,,93,-3.2,320,2.6
2013,1,4,22:00,UTC,7,,93,-3.9,320,2.1
2013,1,4,23:00,UTC,8,,93,-4.9,320,5.1
2013,1,5,00:00,UTC,8,,92,-5,320,3.6
2013,1,5,01:00,UTC,8,,91,-5,340,4.6
2013,1,5,02:00,UTC,7,,91,-5.9,310,3.1
2013,1,5,03:00,UTC,0,,92,-7.8,310,3.1
2013,1,5,04:00,UTC,1,,92,-9.2,300,3.1
2013,1,5,05:00,UTC,0,,91,-9.5,300,4.6
2013,1,5,06:00,UTC,0,,90,-9.8,290,4.6
2013,1,5,07:00,UTC,0,,90,-10.1,290,4.6
2013,1,5,08:00,UTC,0,,89,-10.2,300,5.1
2013,1,5,09:00,UTC,0,,89,-10.5,300,5.1
2013,1,5,10:00,UTC,0,,89,-10.6,300,4.6
2013,1,5,11:00,UTC,3,,89,-10.1,310,4.1
2013,1,5,12:00,UTC,8,,90,-9.5,310,3.6
2013,1,5,13:00,UTC,8,,90,-9,300,3.1
2013,1,5,14:00,UTC,8,,91,-8.8,300,3.6
2013,1,5,15:00,UTC,7,,91,-8.4,310,3.6
2013,1,5,16:00,UTC,8,,92,-8.3,310,3.6
2013,1,5,17:00,UTC,8,,91,-8.1,310,3.6
2013,1,5,18:00,UTC,8,,91,-8.1,320,3.1
2013,1,5,19:00,UTC,8,,91,-9.7,310,2.6
2013,1,5,20:00,UTC,8,,92,-8.7,300,3.1
2013,1,5,21:00,UTC,7,,92,-8.5,300,3.6
2013,1,5,22:00,UTC,8,,92,-8.4,330,3.1
2013,1,5,23:00,UTC,7,,91,-9.2,320,3.6
2013,1,6,00:00,UTC,7,,92,-9.8,300,3.6
2013,1,6,01:00,UTC,8,,92,-10,320,2.6
