Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Relative humidity (%),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2013,1,1,00:00,UTC,9,,100,-0.6,138,2.3
2013,1,1,01:00,UTC,8,,100,-0.7,141,2.9
2013,1,1,02:00,UTC,8,,100,-0.9,136,3
2013,1,1,03:00,UTC,8,,100,-1.1,115,3.4
2013,1,1,04:00,UTC,8,,100,-1.2,111,3
2013,1,1,05:00,UTC,8,,100,-1.4,108,3.4
2013,1,1,06:00,UTC,8,,100,-1.3,108,4.2
2013,1,1,07:00,UTC,8,,100,-1.4,117,3.7
2013,1,1,08:00,UTC,8,,100,-1.2,108,3.7
2013,1,1,09:00,UTC,8,,100,-0.9,98,4
2013,1,1,10:00,UTC,8,,100,-0.8,96,4.2
2013,1,1,11:00,UTC,8,,100,-0.7,92,4.3
2013,1,1,12:00,UTC,8,,100,-0.6,94,4.4
2013,1,1,13:00,UTC,8,,100,-0.5,93,4.3
2013,1,1,14:00,UTC,8,,100,-0.4,92,4.1
2013,1,1,15:00,UTC,8,,100,-0.5,92,4.5
2013,1,1,16:00,UTC,8,,100,-0.5,91,4.5
2013,1,1,17:00,UTC,8,,100,-0.6,90,4.2
2013,1,1,18:00,UTC,8,,100,-0.7,84,3.6
2013,1,1,19:00,UTC,8,,100,-0.8,74,3.7
2013,1,1,20:00,UTC,8,,100,-0.9,76,3.8
2013,1,1,21:00,UTC,8,,100,-1,79,3.3
2013,1,1,22:00,UTC,8,,100,-1.1,76,2.5
2013,1,1,23:00,UTC,8,,100,-1.2,64,2.5
2013,1,2,00:00,UTC,8,,100,-1.3,63,2.5
2013,1,2,01:00,UTC,8,,100,-1.5,62,2.8
2013,1,2,02:00,UTC,8,,100,-1.6,53,2.2
2013,1,2,03:00,UTC,8,,100,-1.8,39,2
2013,1,2,04:00,UTC,8,,100,-1.9,39,1.4
2013,1,2,05:00,UTC,8,,100,-1.9,30,1.5
2013,1,2,06:00,UTC,8,,100,-1.9,19,1
2013,1,2,07:00,UTC,8,,100,-2.2,340,1.2
2013,1,2,08:00,UTC,8,,100,-2.2,352,0.9
2013,1,2,09:00,UTC,8,,100,-2.5,344,1.6
2013,1,2,10:00,UTC,8,,99,-2.7,342,2.3
2013,1,2,11:00,UTC,8,,99,-2.8,333,2
2013,1,2,12:00,UTC,8,,99,-2.9,328,2.5
2013,1,2,13:00,UTC,8,,99,-3.1,339,3.1
2013,1,2,14:00,UTC,8,,99,-3.4,339,2.5
2013,1,2,15:00,UTC,7,,99,-3.3,322,2.2
2013,1,2,16:00,UTC,8,,99,-3.6,323,3.2
2013,1,2,17:00,UTC,8,,99,-3.7,325,3
2013,1,2,18:00,UTC,8,,98,-3.9,340,2.6
2013,1,2,19:00,UTC,8,,98,-4.1,341,2.5
2013,1,2,20:00,UTC,8,,98,-4.1,336,1.9
2013,1,2,21:00,UTC,8,,98,-4.2,325,2.9
2013,1,2,22:00,UTC,8,,98,-4.3,330,3
2013,1,2,23:00,UTC,8,,98,-4,328,2.2
2013,1,3,00:00,UTC,8,,99,-3.8,319,3.2
2013,1,3,01:00,UTC,7,,99,-3.8,320,3.5
2013,1,3,02:00,UTC,7,,99,-3.9,322,3.2
2013,1,3,03:00,UTC,8,,99,-4,314,2.5
2013,1,3,04:00,UTC,8,,99,-4.1,278,1.9
2013,1,3,05:00,UTC,8,,98,-4.3,280,1.6
2013,1,3,06:00,UTC,8,,98,-4.6,309,1.7
2013,1,3,07:00,UTC,8,,96,-4.9,328,1.5
2013,1,3,08:00,UTC,8,,96,-5.1,0,0
2013,1,3,09:00,UTC,8,,97,-5.1,213,1.1
2013,1,3,10:00,UTC,8,,98,-4.9,200,1
2013,1,3,11:00,UTC,8,,98,-5.2,205,1.7
2013,1,3,12:00,UTC,8,,98,-5.4,219,1.2
2013,1,3,13:00,UTC,8,,98,-5.4,222,1.4
2013,1,3,14:00,UTC,8,,98,-5.4,209,2
2013,1,3,15:00,UTC,8,,99,-5.6,214,2
2013,1,3,16:00,UTC,8,,98,-6.2,213,3.4
2013,1,3,17:00,UTC,8,,97,-6.7,217,1.3
2013,1,3,18:00,UTC,8,,97,-6.6,245,1.3
2013,1,3,19:00,UTC,8,,97,-6.7,220,2.2
2013,1,3,20:00,UTC,9,,97,-6.8,216,1.1
2013,1,3,21:00,UTC,8,,97,-7,213,1.6
2013,1,3,22:00,UTC,9,,97,-7.1,179,0.6
2013,1,3,23:00,UTC,9,,97,-7.1,159,1.6
2013,1,4,00:00,UTC,9,,97,-7.2,0,0
2013,1,4,01:00,UTC,9,,96,-7.3,0,0
2013,1,4,02:00,UTC,8,,96,-7.3,316,0.7
2013,1,4,03:00,UTC,9,,96,-7.6,328,1.8
2013,1,4,04:00,UTC,7,,95,-8.8,314,2.6
2013,1,4,05:00,UTC,8,,94,-9.3,320,2.4
2013,1,4,06:00,UTC,8,,94,-9.5,315,2.2
2013,1,4,07:00,UTC,7,,94,-10.1,305,3.6
2013,1,4,08:00,UTC,8,,94,-9.9,317,2.8
2013,1,4,09:00,UTC,7,,94,-9.8,293,2.9
2013,1,4,10:00,UTC,1,,93,-10.5,301,3.2
2013,1,4,11:00,UTC,1,,94,-10.8,320,5.3
2013,1,4,12:00,UTC,0,,93,-11,324,6.3
2013,1,4,13:00,UTC,7,,94,-10.2,325,6.1
2013,1,4,14:00,UTC,0,,93,-10.7,329,5.6
2013,1,4,15:00,UTC,0,,94,-10.3,325,5.8
2013,1,4,16:00,UTC,0,,94,-10,323,5.7
2013,1,4,17:00,UTC,1,,93,-10.3,320,5.7
2013,1,4,18:00,UTC,0,,92,-11.6,288,2.5
2013,1,4,19:00,UTC,0,,93,-11.2,311,4.9
2013,1,4,20:00,UTC,1,,92,-10.4,315,7.2
2013,1,4,21:00,UTC,0,,91,-10.1,304,4.8
2013,1,4,22:00,UTC,0,,92,-9.9,317,4.8
2013,1,4,23:00,UTC,0,,92,-10.4,318,3.8
2013,1,5,00:00,UTC,0,,91,-11.6,290,2.6
2013,1,5,01:00,UTC,0,,94,-9.4,317,4.4
2013,1,5,02:00,UTC,0,,94,-9.3,313,5.3
2013,1,5,03:00,UTC,0,,94,-8.9,316,6.6
2013,1,5,04:00,UTC,0,,94,-8.2,319,6.1
2013,1,5,05:00,UTC,0,,94,-8,324,6.3
2013,1,5,06:00,UTC,0,,94,-7.9,322,6.3
2013,1,5,07:00,UTC,0,,94,-8.1,322,6.1
2013,1,5,08:00,UTC,0,,94,-7.9,323,6.5
2013,1,5,09:00,UTC,0,,94,-7.5,321,6.4
2013,1,5,10:00,UTC,0,,94,-7.8,318,6
2013,1,5,11:00,UTC,0,,94,-8.1,323,5.8
2013,1,5,12:00,UTC,0,,94,-8.1,318,6.7
2013,1,5,13:00,UTC,0,,94,-9.1,329,4.7
2013,1,5,14:00,UTC,0,,94,-8.5,325,4.8
2013,1,5,15:00,UTC,0,,94,-9,328,4.5
2013,1,5,16:00,UTC,0,,94,-9.1,324,5.7
2013,1,5,17:00,UTC,1,,94,-8.7,322,5.9
2013,1,5,18:00,UTC,3,,94,-8.7,321,6.2
2013,1,5,19:00,UTC,0,,94,-9.2,323,5.9
2013,1,5,20:00,UTC,0,,94,-9.5,320,5.5
2013,1,5,21:00,UTC,0,,93,-10.3,329,5.7
2013,1,5,22:00,UTC,0,,92,-10.6,335,4.6
2013,1,5,23:00,UTC,0,,93,-11,339,4.3
2013,1,6,00:00,UTC,0,,93,-11,339,2.8
2013,1,6,01:00,UTC,0,,94,-11.1,20,3.8
2013,1,6,02:00,UTC,0,,93,-11.4,12,1.1
2013,1,6,03:00,UTC,0,,93,-11.8,33,2.3
2013,1,6,04:00,UTC,9,,95,-11.6,68,4
2013,1,6,05:00,UTC,9,,95,-11.6,73,2.8
2013,1,6,06:00,UTC,9,,93,-12.5,77,2.1
2013,1,6,07:00,UTC,9,,92,-13.3,81,1.8
2013,1,6,08:00,UTC,7,,91,-14.3,77,2.1
2013,1,6,09:00,UTC,3,,89,-15.1,66,1.1
2013,1,6,10:00,UTC,3,,91,-13.9,111,2.2
2013,1,6,11:00,UTC,8,,91,-14.1,106,2.3
2013,1,6,12:00,UTC,8,,90,-14.5,133,1.7
2013,1,6,13:00,UTC,9,,90,-14.7,118,1.4
2013,1,6,14:00,UTC,9,,89,-15.3,118,1.6
2013,1,6,15:00,UTC,9,,90,-15.4,115,2
2013,1,6,16:00,UTC,8,,90,-14.5,138,1.6
2013,1,6,17:00,UTC,8,,91,-13.9,123,3.1
2013,1,6,18:00,UTC,8,,92,-12.9,145,3.9
2013,1,6,19:00,UTC,8,,92,-12.3,159,3.9
2013,1,6,20:00,UTC,8,,92,-12.1,162,3.5
2013,1,6,21:00,UTC,8,,93,-11.6,153,3.7
2013,1,6,22:00,UTC,8,,93,-11.4,146,4
2013,1,6,23:00,UTC,9,,93,-11.1,143,3.7
2013,1,7,00:00,UTC,8,,93,-11,147,3.8
2013,1,7,01:00,UTC,9,,93,-10.9,157,3.9
2013,1,7,02:00,UTC,8,,93,-10.8,164,3
2013,1,7,03:00,UTC,8,,93,-10.7,173,2.8
2013,1,7,04:00,UTC,8,,94,-10.3,195,3
2013,1,7,05:00,UTC,8,,94,-10.2,213,2.6
2013,1,7,06:00,UTC,8,,94,-10.2,224,1.7
2013,1,7,07:00,UTC,8,,94,-10,223,1.6
2013,1,7,08:00,UTC,9,,94,-10.1,186,1.1
2013,1,7,09:00,UTC,9,,94,-10.1,179,1.1
2013,1,7,10:00,UTC,9,,94,-10.2,217,0.6
2013,1,7,11:00,UTC,8,,94,-10.2,195,1.4
2013,1,7,12:00,UTC,7,,94,-10.4,203,1.3
2013,1,7,13:00,UTC,9,,93,-10.5,0,0
2013,1,7,14:00,UTC,8,,93,-10.8,109,0.9
2013,1,7,15:00,UTC,9,,93,-11,106,2.1
2013,1,7,16:00,UTC,9,,93,-11.3,156,1.2
2013,1,7,17:00,UTC,9,,93,-11.9,106,1.9
2013,1,7,18:00,UTC,9,,92,-11.9,129,1.1
2013,1,7,19:00,UTC,8,,92,-11.9,92,1.2
2013,1,7,20:00,UTC,9,,93,-11.8,80,1.4
2013,1,7,21:00,UTC,9,,93,-11.6,72,1.8
2013,1,7,22:00,UTC,9,,93,-11,81,1.1
2013,1,7,23:00,UTC,9,,93,-10.8,113,2.9
2013,1,8,00:00,UTC,9,,94,-10.6,106,2.8
2013,1,8,01:00,UTC,9,,94,-10.5,88,2.7
2013,1,8,02:00,UTC,8,,94,-10,119,1.9
2013,1,8,03:00,UTC,9,,94,-9.5,135,1.6
2013,1,8,04:00,UTC,9,,95,-9,162,1.8
2013,1,8,05:00,UTC,9,,95,-8.8,132,1.1
2013,1,8,06:00,UTC,9,,94,-9.4,85,2
2013,1,8,07:00,UTC,8,,95,-9.1,101,2.1
2013,1,8,08:00,UTC,8,,95,-8.9,126,2.7
2013,1,8,09:00,UTC,8,,95,-8.9,122,2.7
2013,1,8,10:00,UTC,8,,95,-8.8,106,2.5
2013,1,8,11:00,UTC,8,,95,-8.7,108,2.2
2013,1,8,12:00,UTC,8,,95,-8.5,110,1.1
2013,1,8,13:00,UTC,9,,95,-8.3,130,2.6
2013,1,8,14:00,UTC,8,,95,-8,142,2.1
2013,1,8,15:00,UTC,8,,96,-7.8,146,3.4
2013,1,8,16:00,UTC,8,,96,-7.7,151,3.9
2013,1,8,17:00,UTC,8,,96,-7.5,151,3.7
2013,1,8,18:00,UTC,9,,96,-7.2,157,3.8
2013,1,8,19:00,UTC,9,,96,-7.2,158,3.7
2013,1,8,20:00,UTC,9,,96,-7.1,148,2
2013,1,8,21:00,UTC,8,,96,-7.1,145,3.1
2013,1,8,22:00,UTC,8,,96,-7.1,146,2.7
2013,1,8,23:00,UTC,8,,96,-7,150,2.1
2013,1,9,00:00,UTC,8,,96,-6.9,165,1.6
2013,1,9,01:00,UTC,8,,96,-6.8,185,0.8
2013,1,9,02:00,UTC,8,,96,-6.7,246,0.9
2013,1,9,03:00,UTC,8,,96,-6.6,264,0.7
2013,1,9,04:00,UTC,8,,96,-6.8,343,1.6
2013,1,9,05:00,UTC,8,,96,-6.9,337,1
2013,1,9,06:00,UTC,7,,96,-7.2,340,2.3
2013,1,9,07:00,UTC,8,,96,-7.2,333,2
2013,1,9,08:00,UTC,7,,96,-7.3,335,1.7
2013,1,9,09:00,UTC,8,,96,-7.3,334,1.7
2013,1,9,10:00,UTC,8,,96,-7.2,346,2
2013,1,9,11:00,UTC,8,,96,-7.3,20,2.9
2013,1,9,12:00,UTC,7,,95,-8.1,25,3.5
2013,1,9,13:00,UTC,8,,95,-8.7,24,4.7
2013,1,9,14:00,UTC,7,,94,-9.6,20,4.3
2013,1,9,15:00,UTC,8,,94,-10.2,13,3.7
2013,1,9,16:00,UTC,7,,93,-10.5,11,4.3
2013,1,9,17:00,UTC,5,,93,-11.5,13,4.3
2013,1,9,18:00,UTC,0,,92,-12,8,4.2
2013,1,9,19:00,UTC,3,,92,-12.7,356,4.1
2013,1,9,20:00,UTC,3,,94,-10.6,10,3.8
2013,1,9,21:00,UTC,8,,95,-8.7,21,4.1
2013,1,9,22:00,UTC,8,,95,-8.7,349,2.8
2013,1,9,23:00,UTC,8,,95,-8.1,337,2.5
2013,1,10,00:00,UTC,8,,96,-7.5,338,3.6
2013,1,10,01:00,UTC,3,,95,-7.6,352,3.1
2013,1,10,02:00,UTC,1,,94,-9.1,334,3.5
2013,1,10,03:00,UTC,7,,94,-9.4,354,3.1
2013,1,10,04:00,UTC,8,,95,-8.7,360,3.4
2013,1,10,05:00,UTC,7,,95,-8.5,356,2.3
2013,1,10,06:00,UTC,8,,94,-9,345,2.5
2013,1,10,07:00,UTC,7,,94,-9.4,337,3.2
2013,1,10,08:00,UTC,0,,92,-11.1,353,2.9
2013,1,10,09:00,UTC,0,,92,-12.1,332,4.1
2013,1,10,10:00,UTC,0,,91,-13,346,3
2013,1,10,11:00,UTC,1,,91,-12.8,333,3
2013,1,10,12:00,UTC,1,,91,-12.9,334,4.1
2013,1,10,13:00,UTC,1,,92,-12.6,331,5.1
2013,1,10,14:00,UTC,5,,92,-12.3,342,4.3
2013,1,10,15:00,UTC,7,,92,-11.9,337,4.6
2013,1,10,16:00,UTC,8,,93,-10.8,348,3.5
2013,1,10,17:00,UTC,8,,93,-11.1,325,2.5
2013,1,10,18:00,UTC,5,,93,-11.5,325,5.2
2013,1,10,19:00,UTC,7,,93,-11.7,332,4.1
2013,1,10,20:00,UTC,9,,93,-11.6,329,3.9
2013,1,10,21:00,UTC,9,,94,-10.6,345,3.6
2013,1,10,22:00,UTC,9,,93,-10.6,347,2.7
2013,1,10,23:00,UTC,7,,93,-10.5,3,2.1
2013,1,11,00:00,UTC,8,,95,-8.9,351,2.7
2013,1,11,01:00,UTC,8,,95,-8.1,325,5.1
2013,1,11,02:00,UTC,8,,96,-7.6,332,3.7
2013,1,11,03:00,UTC,8,,96,-7.4,328,3.5
2013,1,11,04:00,UTC,5,,96,-7.2,324,3.5
2013,1,11,05:00,UTC,7,,96,-7,330,3.6
2013,1,11,06:00,UTC,7,,97,-6.3,323,4.5
2013,1,11,07:00,UTC,8,,96,-6.1,289,2.4
2013,1,11,08:00,UTC,7,,96,-7.2,261,1.7
2013,1,11,09:00,UTC,3,,95,-7.6,269,2.5
2013,1,11,10:00,UTC,5,,95,-8.1,249,2.5
2013,1,11,11:00,UTC,5,,95,-8.4,235,2.1
2013,1,11,12:00,UTC,8,,96,-8.1,239,3.1
2013,1,11,13:00,UTC,8,,96,-8.4,236,2.3
2013,1,11,14:00,UTC,8,,96,-8.1,229,3
2013,1,11,15:00,UTC,9,,96,-8.5,237,3
2013,1,11,16:00,UTC,8,,95,-8.7,232,2.5
2013,1,11,17:00,UTC,8,,95,-9.2,222,2.6
2013,1,11,18:00,UTC,8,,95,-9.3,226,2.9
2013,1,11,19:00,UTC,8,,94,-9.8,228,2.5
2013,1,11,20:00,UTC,9,,94,-10.3,229,2.9
2013,1,11,21:00,UTC,9,,93,-10.7,230,2.7
2013,1,11,22:00,UTC,1,,93,-11.1,237,2.8
2013,1,11,23:00,UTC,0,,93,-11.6,233,2.7
2013,1,12,00:00,UTC,0,,92,-12.5,244,3.7
2013,1,12,01:00,UTC,0,,92,-12.8,240,2.1
2013,1,12,02:00,UTC,0,,91,-13.5,250,3.3
2013,1,12,03:00,UTC,0,,91,-13.5,244,3.4
2013,1,12,04:00,UTC,0,,91,-13.7,251,3.5
2013,1,12,05:00,UTC,0,,91,-13.2,246,4
2013,1,12,06:00,UTC,8,,92,-12.4,249,4
2013,1,12,07:00,UTC,8,,92,-11.9,249,3.6
2013,1,12,08:00,UTC,5,,92,-12.2,250,3.2
2013,1,12,09:00,UTC,3,,92,-12.6,254,2.7
2013,1,12,10:00,UTC,0,,91,-12.5,256,2.2
2013,1,12,11:00,UTC,0,,93,-12.1,254,1.2
2013,1,12,12:00,UTC,1,,92,-11.7,287,2.8
2013,1,12,13:00,UTC,1,,97,-5.8,321,5.9
2013,1,12,14:00,UTC,0,,97,-6.1,316,6.1
2013,1,12,15:00,UTC,1,,98,-4.9,322,5.3
2013,1,12,16:00,UTC,3,,97,-5.6,303,3.5
2013,1,12,17:00,UTC,1,,98,-4.4,320,5.1
2013,1,12,18:00,UTC,1,,98,-4.2,316,4.9
2013,1,12,19:00,UTC,1,,97,-5.6,332,5.2
2013,1,12,20:00,UTC,0,,97,-5.3,329,5
2013,1,12,21:00,UTC,1,,95,-8.3,298,2.8
2013,1,12,22:00,UTC,3,,97,-7.1,314,5.1
2013,1,12,23:00,UTC,3,,94,-8.7,292,2.9
2013,1,13,00:00,UTC,7,,96,-8.2,316,5.3
2013,1,13,01:00,UTC,7,,94,-9.8,230,1.1
2013,1,13,02:00,UTC,5,,95,-9.6,0,0
2013,1,13,03:00,UTC,7,,95,-8.7,284,1.4
2013,1,13,04:00,UTC,7,,95,-8.5,246,0.8
2013,1,13,05:00,UTC,3,,94,-10.1,242,1.2
2013,1,13,06:00,UTC,0,,93,-10.5,245,1.4
2013,1,13,07:00,UTC,5,,92,-11.9,234,1.5
2013,1,13,08:00,UTC,3,,91,-13.6,247,1.5
2013,1,13,09:00,UTC,7,,92,-12.1,227,1.6
2013,1,13,10:00,UTC,5,,92,-12.4,236,1.8
2013,1,13,11:00,UTC,7,,93,-11.5,233,1.6
2013,1,13,12:00,UTC,7,,93,-10.9,233,1.6
2013,1,13,13:00,UTC,8,,93,-11.6,229,1.9
2013,1,13,14:00,UTC,8,,93,-10.9,211,0.8
2013,1,13,15:00,UTC,8,,92,-11.3,0,0
2013,1,13,16:00,UTC,8,,93,-10.8,206,1.6
2013,1,13,17:00,UTC,8,,93,-10.4,203,1.4
2013,1,13,18:00,UTC,8,,94,-10,251,1.4
2013,1,13,19:00,UTC,8,,94,-9.8,250,2
2013,1,13,20:00,UTC,8,,94,-9.8,237,0.9
2013,1,13,21:00,UTC,8,,94,-9.3,206,1.7
2013,1,13,22:00,UTC,8,,94,-9.7,235,1.1
2013,1,13,23:00,UTC,8,,94,-9.5,242,2
2013,1,14,00:00,UTC,9,,94,-9.2,253,1.4
2013,1,14,01:00,UTC,9,,94,-9,232,1
2013,1,14,02:00,UTC,9,,95,-9,230,2.6
2013,1,14,03:00,UTC,9,,95,-8.9,0,0
2013,1,14,04:00,UTC,8,,95,-8.8,244,2.8
2013,1,14,05:00,UTC,7,,95,-8.7,239,2.5
2013,1,14,06:00,UTC,8,,95,-8.8,241,2.6
2013,1,14,07:00,UTC,9,,95,-8.7,233,2.8
2013,1,14,08:00,UTC,9,,95,-8.6,239,3.5
2013,1,14,09:00,UTC,7,,95,-8.4,236,3.3
2013,1,14,10:00,UTC,7,,95,-8.2,235,3.7
2013,1,14,11:00,UTC,8,,95,-8.1,232,2.6
2013,1,14,12:00,UTC,8,,95,-8.1,237,2.6
2013,1,14,13:00,UTC,5,,95,-8.7,241,2.3
2013,1,14,14:00,UTC,3,,95,-9.1,231,2.5
2013,1,14,15:00,UTC,7,,94,-10,245,2.2
2013,1,14,16:00,UTC,0,,94,-10.4,250,2.1
2013,1,14,17:00,UTC,0,,92,-11.9,246,0.9
2013,1,14,18:00,UTC,3,,92,-12,255,0.8
2013,1,14,19:00,UTC,8,,93,-11.3,343,2.2
