Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Relative humidity (%),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2013,1,1,00:00,UTC,,,100,1.7,,
2013,1,1,01:00,UTC,,,100,1.7,,
2013,1,1,02:00,UTC,,,100,1.9,,
2013,1,1,03:00,UTC,,,100,2.4,,
2013,1,1,04:00,UTC,,,100,2.7,,
2013,1,1,05:00,UTC,,,100,2.9,,
2013,1,1,06:00,UTC,,,100,3,,
2013,1,1,07:00,UTC,,,100,3.1,,
2013,1,1,08:00,UTC,,,100,3.4,,
2013,1,1,09:00,UTC,,,100,3.4,,
2013,1,1,10:00,UTC,,,100,3.4,,
2013,1,1,11:00,UTC,,,100,3.3,,
2013,1,1,12:00,UTC,,,100,3.4,,
2013,1,1,13:00,UTC,,,100,3.4,,
2013,1,1,14:00,UTC,,,100,3.5,,
2013,1,1,15:00,UTC,,,100,3.4,,
2013,1,1,16:00,UTC,,,100,3.2,,
2013,1,1,17:00,UTC,,,100,3,,
2013,1,1,18:00,UTC,,,100,2.8,,
2013,1,1,19:00,UTC,,,100,2.6,,
2013,1,1,20:00,UTC,,,100,2.6,,
2013,1,1,21:00,UTC,,,100,2.6,,
2013,1,1,22:00,UTC,,,,2.6,,
2013,1,1,23:00,UTC,,,,2.6,,
2013,1,2,00:00,UTC,,,100,2.6,,
2013,1,2,01:00,UTC,,,100,2.8,,
2013,1,2,02:00,UTC,,,100,2.9,,
2013,1,2,03:00,UTC,,,100,2.8,,
2013,1,2,04:00,UTC,,,100,2.6,,
2013,1,2,05:00,UTC,,,100,2.5,,
2013,1,2,06:00,UTC,,,100,2.4,,
2013,1,2,07:00,UTC,,,100,2.6,,
2013,1,2,08:00,UTC,,,100,2.6,,
2013,1,2,09:00,UTC,,,98,2.7,,
2013,1,2,10:00,UTC,,,93,2.9,,
2013,1,2,11:00,UTC,,,88,2.9,,
2013,1,2,12:00,UTC,,,90,2.5,,
2013,1,2,13:00,UTC,,,93,2.2,,
2013,1,2,14:00,UTC,,,94,2.2,,
2013,1,2,15:00,UTC,,,94,2.1,,
2013,1,2,16:00,UTC,,,95,2.1,,
2013,1,2,17:00,UTC,,,95,2,,
2013,1,2,18:00,UTC,,,97,1.8,,
2013,1,2,19:00,UTC,,,98,1.8,,
2013,1,2,20:00,UTC,,,99,1.6,,
2013,1,2,21:00,UTC,,,100,1.3,,
2013,1,2,22:00,UTC,,,99,1.2,,
2013,1,2,23:00,UTC,,,98,1.2,,
2013,1,3,00:00,UTC,,,99,1,,
2013,1,3,01:00,UTC,,,99,1.1,,
2013,1,3,02:00,UTC,,,100,1,,
2013,1,3,03:00,UTC,,,98,1,,
2013,1,3,04:00,UTC,,,97,1,,
2013,1,3,05:00,UTC,,,95,1.2,,
2013,1,3,06:00,UTC,,,95,1.1,,
2013,1,3,07:00,UTC,,,94,1.1,,
2013,1,3,08:00,UTC,,,89,1.1,,
2013,1,3,09:00,UTC,,,94,1.1,,
2013,1,3,10:00,UTC,,,92,1.2,,
2013,1,3,11:00,UTC,,,91,1.2,,
2013,1,3,12:00,UTC,,,93,1.1,,
2013,1,3,13:00,UTC,,,97,0.7,,
2013,1,3,14:00,UTC,,,94,0.9,,
2013,1,3,15:00,UTC,,,93,0.6,,
2013,1,3,16:00,UTC,,,95,0.4,,
2013,1,3,17:00,UTC,,,95,0.6,,
