Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Relative humidity (%),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2013,1,1,00:00,UTC,,,100,0.7,161,3.5
2013,1,1,01:00,UTC,,,100,0.7,159,3.8
2013,1,1,02:00,UTC,,,100,0.6,151,3.8
2013,1,1,03:00,UTC,,,100,0.6,153,4.7
2013,1,1,04:00,UTC,,,100,0.6,149,4.8
2013,1,1,05:00,UTC,,,100,0.7,141,4.9
2013,1,1,06:00,UTC,,,100,0.5,144,4.8
2013,1,1,07:00,UTC,,,100,0.4,142,5.2
2013,1,1,08:00,UTC,,,100,0.4,147,4.9
2013,1,1,09:00,UTC,,,100,0.4,147,4.5
2013,1,1,10:00,UTC,,,100,0.4,145,4.3
2013,1,1,11:00,UTC,,,100,0.5,150,4.5
2013,1,1,12:00,UTC,,,100,0.5,147,4.1
2013,1,1,13:00,UTC,,,100,0.8,152,3.4
2013,1,1,14:00,UTC,,,100,1.5,172,4
2013,1,1,15:00,UTC,,,100,1.6,176,4.5
2013,1,1,16:00,UTC,,,100,1.9,176,3.8
2013,1,1,17:00,UTC,,,100,2.3,192,3.7
2013,1,1,18:00,UTC,,,100,2.1,195,4.1
2013,1,1,19:00,UTC,,,100,2.1,197,3.9
2013,1,1,20:00,UTC,,,100,2.1,192,4
2013,1,1,21:00,UTC,,,100,2.1,202,4.1
2013,1,1,22:00,UTC,,,100,1.9,199,4.4
2013,1,1,23:00,UTC,,,100,1.8,199,3.6
2013,1,2,00:00,UTC,,,100,1.7,195,3.2
2013,1,2,01:00,UTC,,,100,1.6,189,2.8
2013,1,2,02:00,UTC,,,100,1.6,188,2.5
2013,1,2,03:00,UTC,,,100,1.5,190,2.8
2013,1,2,04:00,UTC,,,100,1.5,187,2.8
2013,1,2,05:00,UTC,,,100,1.5,192,2.9
2013,1,2,06:00,UTC,,,100,1.4,185,2.6
2013,1,2,07:00,UTC,,,100,1.4,192,2.2
2013,1,2,08:00,UTC,,,100,1.5,199,2.1
2013,1,2,09:00,UTC,,,100,1.4,196,2.2
2013,1,2,10:00,UTC,,,100,1.4,191,2.3
2013,1,2,11:00,UTC,,,100,1.3,185,1.9
2013,1,2,12:00,UTC,,,100,0.9,178,1.6
2013,1,2,13:00,UTC,,,100,0.3,195,1.2
2013,1,2,14:00,UTC,,,100,0.4,218,2.4
2013,1,2,15:00,UTC,,,100,0.4,219,2.5
2013,1,2,16:00,UTC,,,100,0.6,232,2.7
2013,1,2,17:00,UTC,,,100,0.6,238,2.9
2013,1,2,18:00,UTC,,,100,0.6,233,2.8
2013,1,2,19:00,UTC,,,100,0.5,225,2.7
2013,1,2,20:00,UTC,,,100,0.4,221,2.3
2013,1,2,21:00,UTC,,,99,0.3,236,3.7
2013,1,2,22:00,UTC,,,94,0.3,232,3.3
2013,1,2,23:00,UTC,,,99,0,224,2.2
2013,1,3,00:00,UTC,,,100,-0.2,239,1.6
2013,1,3,01:00,UTC,,,100,-0.4,244,2.5
2013,1,3,02:00,UTC,,,100,-0.5,223,0.6
2013,1,3,03:00,UTC,,,100,-0.5,181,0.8
2013,1,3,04:00,UTC,,,100,-0.7,225,0.9
2013,1,3,05:00,UTC,,,100,-0.6,225,2
2013,1,3,06:00,UTC,,,100,-0.7,218,1.3
2013,1,3,07:00,UTC,,,100,-0.8,257,1
2013,1,3,08:00,UTC,,,100,-0.8,269,0.8
2013,1,3,09:00,UTC,,,100,-0.4,280,1.5
2013,1,3,10:00,UTC,,,100,-0.3,251,0.9
2013,1,3,11:00,UTC,,,98,-0.1,270,2.2
2013,1,3,12:00,UTC,,,99,-0.3,229,2.2
2013,1,3,13:00,UTC,,,100,-0.2,229,2
2013,1,3,14:00,UTC,,,100,-0.2,259,1.7
2013,1,3,15:00,UTC,,,100,-0.2,242,1.2
2013,1,3,16:00,UTC,,,100,-0.2,261,1.7
2013,1,3,17:00,UTC,,,100,-0.3,265,1.7
2013,1,3,18:00,UTC,,,100,-0.6,272,1
2013,1,3,19:00,UTC,,,100,-0.7,270,1.1
2013,1,3,20:00,UTC,,,100,-0.7,246,1.8
2013,1,3,21:00,UTC,,,99,-1.1,341,2.3
