Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Relative humidity (%),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2013,1,1,00:00,UTC,,,99,3.3,193,11.2
2013,1,1,01:00,UTC,,,99,3.6,207,11.4
2013,1,1,02:00,UTC,,,99,3.7,208,11.8
2013,1,1,03:00,UTC,,,99,3.7,207,12.3
2013,1,1,04:00,UTC,,,99,3.7,209,12
2013,1,1,05:00,UTC,,,99,3.7,209,12.4
2013,1,1,06:00,UTC,,,98,3.8,207,13.3
2013,1,1,07:00,UTC,,,98,3.7,208,13.7
2013,1,1,08:00,UTC,,,98,3.7,207,13.7
2013,1,1,09:00,UTC,,,98,3.7,206,13.4
2013,1,1,10:00,UTC,,,98,3.7,208,13
2013,1,1,11:00,UTC,,,98,3.6,205,12.2
2013,1,1,12:00,UTC,,,98,3.5,204,11.5
2013,1,1,13:00,UTC,,,99,3.4,208,11.3
2013,1,1,14:00,UTC,,,98,3.3,217,11.3
2013,1,1,15:00,UTC,,,98,3.2,217,10.9
2013,1,1,16:00,UTC,,,98,2.8,217,9.3
2013,1,1,17:00,UTC,,,99,2.7,217,8.9
2013,1,1,18:00,UTC,,,99,2.8,205,9.2
2013,1,1,19:00,UTC,,,99,2.8,208,9.6
2013,1,1,20:00,UTC,,,99,2.9,211,9.2
2013,1,1,21:00,UTC,,,99,2.7,220,9.4
2013,1,1,22:00,UTC,,,99,2.5,218,8.8
2013,1,1,23:00,UTC,,,99,2.5,218,9.4
2013,1,2,00:00,UTC,,,99,2.5,216,9
2013,1,2,01:00,UTC,,,99,2.5,214,7.7
2013,1,2,02:00,UTC,,,99,2.4,224,6.2
2013,1,2,03:00,UTC,,,99,2.3,242,6.3
2013,1,2,04:00,UTC,,,99,2.3,241,5.9
2013,1,2,05:00,UTC,,,99,2.4,230,7.6
2013,1,2,06:00,UTC,,,98,2.1,240,6.5
2013,1,2,07:00,UTC,,,97,2.3,251,8.4
2013,1,2,08:00,UTC,,,91,2.3,257,8.6
2013,1,2,09:00,UTC,,,87,2.3,249,10.9
2013,1,2,10:00,UTC,,,85,2.6,251,10.3
2013,1,2,11:00,UTC,,,89,2.4,246,9.5
2013,1,2,12:00,UTC,,,88,2.5,258,9.7
2013,1,2,13:00,UTC,,,86,2.5,245,9.7
2013,1,2,14:00,UTC,,,89,2.1,246,9.3
2013,1,2,15:00,UTC,,,90,2,251,7.5
2013,1,2,16:00,UTC,,,92,1.9,245,8.8
2013,1,2,17:00,UTC,,,89,2,252,11.3
2013,1,2,18:00,UTC,,,90,2.1,251,9.6
2013,1,2,19:00,UTC,,,95,1.4,276,9.4
2013,1,2,20:00,UTC,,,96,1.2,282,9.3
2013,1,2,21:00,UTC,,,97,1.1,274,7.8
2013,1,2,22:00,UTC,,,96,1.2,287,8.9
2013,1,2,23:00,UTC,,,98,0.8,276,8.4
2013,1,3,00:00,UTC,,,95,1.3,276,8.6
2013,1,3,01:00,UTC,,,93,1.4,283,9.3
2013,1,3,02:00,UTC,,,93,1.2,289,7.6
2013,1,3,03:00,UTC,,,91,1.2,299,9
2013,1,3,04:00,UTC,,,94,0.9,296,5.5
2013,1,3,05:00,UTC,,,86,1.1,285,5.9
2013,1,3,06:00,UTC,,,87,0.8,303,6.4
2013,1,3,07:00,UTC,,,88,0.8,265,6
2013,1,3,08:00,UTC,,,89,1,262,5.6
2013,1,3,09:00,UTC,,,89,1.1,240,7.1
2013,1,3,10:00,UTC,,,92,0.3,238,6.1
2013,1,3,11:00,UTC,,,89,1.1,241,5.5
2013,1,3,12:00,UTC,,,91,1.6,230,6
2013,1,3,13:00,UTC,,,92,1.5,221,4.4
2013,1,3,14:00,UTC,,,93,1.5,174,2.7
2013,1,3,15:00,UTC,,,94,1.9,213,3.4
2013,1,3,16:00,UTC,,,94,2.1,185,4.9
2013,1,3,17:00,UTC,,,95,2,179,7.1
2013,1,3,18:00,UTC,,,95,1.9,177,7.4
2013,1,3,19:00,UTC,,,96,1.9,189,6.7
2013,1,3,20:00,UTC,,,98,1.8,202,5.6
2013,1,3,21:00,UTC,,,98,1.8,210,4.1
2013,1,3,22:00,UTC,,,99,1.8,210,3.8
2013,1,3,23:00,UTC,,,98,1.8,240,3.4
2013,1,4,00:00,UTC,,,99,1.4,250,4.3
2013,1,4,01:00,UTC,,,99,1.6,253,5
2013,1,4,02:00,UTC,,,99,1.6,283,5
2013,1,4,03:00,UTC,,,99,1.4,277,4.8
2013,1,4,04:00,UTC,,,99,1.3,277,5.9
2013,1,4,05:00,UTC,,,99,1.5,262,5.2
2013,1,4,06:00,UTC,,,99,1.9,279,5.7
2013,1,4,07:00,UTC,,,99,2.1,278,7.2
2013,1,4,08:00,UTC,,,99,2.1,270,6.5
2013,1,4,09:00,UTC,,,99,2.3,267,7.3
2013,1,4,10:00,UTC,,,98,2.5,278,7.2
2013,1,4,11:00,UTC,,,97,2.4,288,7.5
2013,1,4,12:00,UTC,,,98,2.2,289,7.4
2013,1,4,13:00,UTC,,,99,2.1,296,6.3
2013,1,4,14:00,UTC,,,99,1.8,308,7.7
2013,1,4,15:00,UTC,,,99,1.1,316,9.9
2013,1,4,16:00,UTC,,,94,0.6,317,10.1
2013,1,4,17:00,UTC,,,94,0.2,326,8.3
2013,1,4,18:00,UTC,,,96,0.2,333,7.3
2013,1,4,19:00,UTC,,,96,0.4,341,9
2013,1,4,20:00,UTC,,,95,0.9,347,8.7
2013,1,4,21:00,UTC,,,93,1,347,8.1
2013,1,4,22:00,UTC,,,87,0.9,355,10.3
2013,1,4,23:00,UTC,,,86,0.7,360,9
2013,1,5,00:00,UTC,,,85,0.4,357,10.3
2013,1,5,01:00,UTC,,,85,-0.2,9,10.2
2013,1,5,02:00,UTC,,,86,-0.7,9,10.6
2013,1,5,03:00,UTC,,,85,-0.8,1,10.6
2013,1,5,04:00,UTC,,,85,-1,4,9.4
2013,1,5,05:00,UTC,,,83,-1.2,2,10.3
2013,1,5,06:00,UTC,,,86,-1.5,4,7.7
2013,1,5,07:00,UTC,,,87,-1.7,352,6.5
2013,1,5,08:00,UTC,,,88,-1.8,352,6.8
2013,1,5,09:00,UTC,,,89,-2,349,5.7
2013,1,5,10:00,UTC,,,89,-2,332,6.9
2013,1,5,11:00,UTC,,,88,-1.8,336,6.4
2013,1,5,12:00,UTC,,,88,-1.8,334,5.6
2013,1,5,13:00,UTC,,,91,-2.3,333,7
2013,1,5,14:00,UTC,,,93,-2.6,330,4.9
2013,1,5,15:00,UTC,,,94,-2.9,334,5.3
2013,1,5,16:00,UTC,,,94,-3.2,338,7.2
2013,1,5,17:00,UTC,,,95,-3.3,334,6.9
2013,1,5,18:00,UTC,,,95,-3.2,332,6.8
2013,1,5,19:00,UTC,,,94,-3.3,331,7.3
2013,1,5,20:00,UTC,,,95,-3.6,323,7.8
2013,1,5,21:00,UTC,,,96,-3.6,330,8.1
2013,1,5,22:00,UTC,,,96,-3.8,339,6.7
2013,1,5,23:00,UTC,,,97,-3.9,352,7.2
2013,1,6,00:00,UTC,,,98,-4,351,6.6
2013,1,6,01:00,UTC,,,99,-4.1,358,7
2013,1,6,02:00,UTC,,,99,-4.2,355,6.1
2013,1,6,03:00,UTC,,,98,-4.3,355,5.7
2013,1,6,04:00,UTC,,,98,-4.6,2,7.4
2013,1,6,05:00,UTC,,,98,-5.1,18,7.4
2013,1,6,06:00,UTC,,,97,-5.3,26,4.8
2013,1,6,07:00,UTC,,,97,-5.5,43,3.4
2013,1,6,08:00,UTC,,,96,-5.9,36,3.7
2013,1,6,09:00,UTC,,,97,-5.5,56,4.2
2013,1,6,10:00,UTC,,,97,-5.6,48,3.6
2013,1,6,11:00,UTC,,,97,-5.6,58,3.5
2013,1,6,12:00,UTC,,,97,-5.5,52,4.7
2013,1,6,13:00,UTC,,,97,-5.1,50,5.7
2013,1,6,14:00,UTC,,,96,-5.2,30,3.9
2013,1,6,15:00,UTC,,,96,-5.1,33,3.3
2013,1,6,16:00,UTC,,,96,-5.4,35,3.1
2013,1,6,17:00,UTC,,,96,-5.9,19,2
2013,1,6,18:00,UTC,,,96,-6,31,2
2013,1,6,19:00,UTC,,,97,-6.1,67,2.2
2013,1,6,20:00,UTC,,,97,-6.1,52,1.4
2013,1,6,21:00,UTC,,,97,-6.3,50,1.9
2013,1,6,22:00,UTC,,,98,-6.2,298,1.1
2013,1,6,23:00,UTC,,,97,-6.3,64,1.2
2013,1,7,00:00,UTC,,,98,-6,23,1.1
2013,1,7,01:00,UTC,,,97,-5.9,330,1.7
2013,1,7,02:00,UTC,,,98,-5.7,337,1.8
2013,1,7,03:00,UTC,,,98,-5.7,339,1.3
2013,1,7,04:00,UTC,,,98,-5.5,322,1.8
2013,1,7,05:00,UTC,,,97,-5.3,248,1.5
2013,1,7,06:00,UTC,,,96,-4.7,207,2.9
2013,1,7,07:00,UTC,,,95,-4,213,3.4
2013,1,7,08:00,UTC,,,92,-3.5,202,4.4
2013,1,7,09:00,UTC,,,90,-3,208,4.1
2013,1,7,10:00,UTC,,,86,-2.5,224,4
2013,1,7,11:00,UTC,,,84,-1.8,206,4.4
2013,1,7,12:00,UTC,,,83,-1.2,211,5.8
2013,1,7,13:00,UTC,,,86,-1.2,192,7.1
2013,1,7,14:00,UTC,,,88,-1.1,192,8.2
2013,1,7,15:00,UTC,,,88,-1,196,8.9
