Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Relative humidity (%),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2013,1,1,00:00,UTC,,-1,91,-4.2,140,0.7
2013,1,1,01:00,UTC,,0.8,92,-4,118,1.5
2013,1,1,02:00,UTC,,2.5,92,-4,118,0.7
2013,1,1,03:00,UTC,,-1,91,-3.9,126,1.1
2013,1,1,04:00,UTC,,-1,91,-4,127,1.6
2013,1,1,05:00,UTC,,1.4,92,-3.7,146,0.9
2013,1,1,06:00,UTC,,0.9,90,-3.9,119,1.4
2013,1,1,07:00,UTC,,-1,90,-3.8,114,1.8
2013,1,1,08:00,UTC,,0.9,89,-3.7,117,1.4
2013,1,1,09:00,UTC,,1.4,90,-3.3,97,0.8
2013,1,1,10:00,UTC,,-1,90,-3,110,1.6
2013,1,1,11:00,UTC,,-1,92,-2.4,109,1.4
2013,1,1,12:00,UTC,,-1,91,-2.3,91,1
2013,1,1,13:00,UTC,,-1,91,-1.9,121,1.6
2013,1,1,14:00,UTC,,0.5,91,-1.7,114,2.4
2013,1,1,15:00,UTC,,1.4,92,-1.6,120,2.8
2013,1,1,16:00,UTC,,2.3,90,-1.4,125,3.3
2013,1,1,17:00,UTC,,-1,92,-1.7,120,3.7
2013,1,1,18:00,UTC,,-1,91,-1.9,127,2.6
2013,1,1,19:00,UTC,,-1,89,-2.1,122,3.4
2013,1,1,20:00,UTC,,-1,88,-2.4,125,2.8
2013,1,1,21:00,UTC,,0.9,86,-2.5,120,2.4
2013,1,1,22:00,UTC,,-1,86,-2.7,120,2.1
2013,1,1,23:00,UTC,,-1,91,-3,119,1.8
2013,1,2,00:00,UTC,,2,88,-2.9,121,1.6
2013,1,2,01:00,UTC,,2.1,89,-3,112,1.3
2013,1,2,02:00,UTC,,-1,88,-3.1,73,0.9
2013,1,2,03:00,UTC,,0.4,89,-3.3,60,0.7
2013,1,2,04:00,UTC,,0.2,91,-3.9,0,0
2013,1,2,05:00,UTC,,-1,92,-5,7,0.8
2013,1,2,06:00,UTC,,-1,92,-4.7,0,0
2013,1,2,07:00,UTC,,1.4,92,-4.7,0,0
2013,1,2,08:00,UTC,,0.1,92,-4.3,0,0
2013,1,2,09:00,UTC,,-1,91,-4.2,0,0
2013,1,2,10:00,UTC,,-1,91,-4.1,0,0
2013,1,2,11:00,UTC,,-1,91,-4.2,0,0
2013,1,2,12:00,UTC,,-1,92,-4.3,0,0
2013,1,2,13:00,UTC,,-1,92,-4.4,342,0.9
2013,1,2,14:00,UTC,,-1,92,-5.2,0,0
2013,1,2,15:00,UTC,,-1,93,-5.5,0,0
2013,1,2,16:00,UTC,,-1,92,-5.7,0,0
2013,1,2,17:00,UTC,,-1,93,-5.6,348,0.8
2013,1,2,18:00,UTC,,-1,92,-5.4,352,0.9
2013,1,2,19:00,UTC,,-1,92,-5.5,10,0.9
2013,1,2,20:00,UTC,,-1,91,-6,0,0
2013,1,2,21:00,UTC,,-1,92,-6.4,0,0
2013,1,2,22:00,UTC,,-1,92,-6.2,0,0
2013,1,2,23:00,UTC,,-1,91,-6.1,0,0
2013,1,3,00:00,UTC,,0.2,91,-6.1,0,0
2013,1,3,01:00,UTC,,-1,91,-6.3,0,0
2013,1,3,02:00,UTC,,-1,91,-6.3,0,0
2013,1,3,03:00,UTC,,-1,92,-6.3,0,0
2013,1,3,04:00,UTC,,-1,91,-6.3,185,1
2013,1,3,05:00,UTC,,-1,91,-6.3,132,0.9
2013,1,3,06:00,UTC,,-1,91,-6.2,0,0
2013,1,3,07:00,UTC,,-1,91,-6.1,125,0.6
2013,1,3,08:00,UTC,,-1,91,-6.1,151,0.6
2013,1,3,09:00,UTC,,0.2,92,-5.9,0,0
2013,1,3,10:00,UTC,,0.1,92,-6,157,0.6
2013,1,3,11:00,UTC,,0.2,92,-6,0,0
2013,1,3,12:00,UTC,,-1,91,-6,0,0
2013,1,3,13:00,UTC,,-1,92,-5.8,145,0.7
2013,1,3,14:00,UTC,,-1,92,-5.9,0,0
2013,1,3,15:00,UTC,,-1,92,-5.6,0,0
2013,1,3,16:00,UTC,,0.3,92,-5.7,147,0.9
2013,1,3,17:00,UTC,,-1,92,-5.8,0,0
2013,1,3,18:00,UTC,,-1,92,-6.1,0,0
2013,1,3,19:00,UTC,,-1,91,-5.8,0,0
2013,1,3,20:00,UTC,,-1,91,-6.4,0,0
2013,1,3,21:00,UTC,,-1,91,-6.3,0,0
2013,1,3,22:00,UTC,,-1,91,-6.5,0,0
2013,1,3,23:00,UTC,,-1,91,-6.7,0,0
2013,1,4,00:00,UTC,,-1,91,-6.6,0,0
2013,1,4,01:00,UTC,,-1,91,-6.6,0,0
2013,1,4,02:00,UTC,,-1,91,-6.7,0,0
2013,1,4,03:00,UTC,,-1,91,-6.7,0,0
2013,1,4,04:00,UTC,,-1,88,-5.7,274,1.1
2013,1,4,05:00,UTC,,0.5,86,-5.6,288,1.2
2013,1,4,06:00,UTC,,0.2,88,-5.9,305,0.7
2013,1,4,07:00,UTC,,-1,89,-5.9,294,0.7
2013,1,4,08:00,UTC,,-1,88,-5.9,293,1.3
2013,1,4,09:00,UTC,,-1,88,-6.3,290,1.9
2013,1,4,10:00,UTC,,-1,88,-6.9,334,2
2013,1,4,11:00,UTC,,-1,89,-7.5,314,1.4
2013,1,4,12:00,UTC,,-1,89,-7.8,0,0
2013,1,4,13:00,UTC,,-1,90,-8.5,262,1
2013,1,4,14:00,UTC,,-1,83,-12.9,0,0
2013,1,4,15:00,UTC,,-1,87,-13.7,185,0.8
2013,1,4,16:00,UTC,,-1,84,-14.7,0,0
2013,1,4,17:00,UTC,,-1,79,-16.6,0,0
2013,1,4,18:00,UTC,,-1,82,-17.6,155,0.6
2013,1,4,19:00,UTC,,-1,80,-18.8,136,0.7
2013,1,4,20:00,UTC,,-1,78,-19.8,0,0
2013,1,4,21:00,UTC,,-1,78,-20.7,0,0
2013,1,4,22:00,UTC,,-1,78,-20.8,155,0.7
2013,1,4,23:00,UTC,,-1,79,-18.9,160,0.6
2013,1,5,00:00,UTC,,3.7,82,-16.4,152,0.9
2013,1,5,01:00,UTC,,-1,84,-16.2,144,0.9
2013,1,5,02:00,UTC,,-1,85,-15.3,137,0.9
2013,1,5,03:00,UTC,,-1,83,-15,0,0
2013,1,5,04:00,UTC,,1.4,86,-12.2,166,0.6
2013,1,5,05:00,UTC,,0.8,84,-13.4,0,0
2013,1,5,06:00,UTC,,-1,83,-15.2,141,0.7
2013,1,5,07:00,UTC,,-1,83,-16,0,0
2013,1,5,08:00,UTC,,-1,84,-13.8,120,0.6
2013,1,5,09:00,UTC,,-1,88,-13.3,142,0.6
2013,1,5,10:00,UTC,,-1,92,-5.4,336,1.4
2013,1,5,11:00,UTC,,,93,-3.6,358,1.3
2013,1,5,12:00,UTC,,-1,93,-4.2,360,0.8
2013,1,5,13:00,UTC,,-1,90,-5.2,18,1
2013,1,5,14:00,UTC,,-1,86,-11.1,0,0
2013,1,5,15:00,UTC,,-1,87,-12.5,231,0.8
2013,1,5,16:00,UTC,,-1,88,-11.5,11,0.7
2013,1,5,17:00,UTC,,-1,88,-10.5,0,0
2013,1,5,18:00,UTC,,-1,91,-4.6,15,1.6
2013,1,5,19:00,UTC,,-1,90,-4.7,5,1.2
2013,1,5,20:00,UTC,,-1,92,-5.2,28,0.9
2013,1,5,21:00,UTC,,-1,91,-4.2,14,0.8
2013,1,5,22:00,UTC,,-1,92,-4.2,0,0
2013,1,5,23:00,UTC,,-1,91,-3.9,337,1
2013,1,6,00:00,UTC,,-1,91,-4,0,0
2013,1,6,01:00,UTC,,-1,92,-5.1,222,0.7
2013,1,6,02:00,UTC,,-1,88,-8.9,358,1.3
2013,1,6,03:00,UTC,,-1,87,-11.3,0,0
2013,1,6,04:00,UTC,,-1,89,-10.6,0,0
2013,1,6,05:00,UTC,,-1,92,-5.4,26,1
2013,1,6,06:00,UTC,,-1,92,-5.6,0,0
2013,1,6,07:00,UTC,,-1,92,-5.7,0,0
