Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Relative humidity (%),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2013,1,1,00:00,UTC,,0.9,98,-2.1,134,2.5
2013,1,1,01:00,UTC,,0.4,98,-1.9,160,2.3
2013,1,1,02:00,UTC,,-1,98,-1.5,150,2.1
2013,1,1,03:00,UTC,,0.1,99,-1.2,157,2.5
2013,1,1,04:00,UTC,,0.1,99,-1.1,144,2.7
2013,1,1,05:00,UTC,,-1,99,-1,144,3.2
2013,1,1,06:00,UTC,,-1,99,-1,140,3.5
2013,1,1,07:00,UTC,,0.3,99,-1.1,131,3.5
2013,1,1,08:00,UTC,,0.4,99,-1,127,5
2013,1,1,09:00,UTC,,1,99,-1,127,4.6
2013,1,1,10:00,UTC,,1.3,99,-0.9,129,4.3
2013,1,1,11:00,UTC,,1.7,99,-0.9,130,4.6
2013,1,1,12:00,UTC,,1,99,-1,127,4.5
2013,1,1,13:00,UTC,,1.2,99,-1.1,129,4.2
2013,1,1,14:00,UTC,,1.2,99,-1.2,127,3.8
2013,1,1,15:00,UTC,,1.4,99,-1.3,128,4.1
2013,1,1,16:00,UTC,,1.3,99,-1.3,130,3.9
2013,1,1,17:00,UTC,,0.8,99,-1.2,136,3.4
2013,1,1,18:00,UTC,,0.8,99,-1.1,137,2.9
2013,1,1,19:00,UTC,,1.6,99,-0.9,149,2.9
2013,1,1,20:00,UTC,,1,99,-0.6,153,3
2013,1,1,21:00,UTC,,0.4,99,-0.4,178,2.3
2013,1,1,22:00,UTC,,0.3,99,-0.3,197,1.9
2013,1,1,23:00,UTC,,0.1,99,-0.3,190,2.3
2013,1,2,00:00,UTC,,0.2,99,-0.3,195,1.9
2013,1,2,01:00,UTC,,0.1,99,-0.2,192,2.2
2013,1,2,02:00,UTC,,0.1,99,-0.1,203,2.1
2013,1,2,03:00,UTC,,-1,99,-0.1,224,2.1
2013,1,2,04:00,UTC,,0.3,99,-0.2,225,2.4
2013,1,2,05:00,UTC,,-1,99,-0.3,233,1.8
2013,1,2,06:00,UTC,,-1,99,-0.3,215,2
2013,1,2,07:00,UTC,,0.2,99,-0.4,230,2.1
2013,1,2,08:00,UTC,,-1,99,-0.4,236,2
2013,1,2,09:00,UTC,,-1,99,-0.4,247,2
2013,1,2,10:00,UTC,,0.2,99,-0.5,234,2.5
2013,1,2,11:00,UTC,,-1,99,-0.6,239,2
2013,1,2,12:00,UTC,,0.2,99,-0.6,241,2
2013,1,2,13:00,UTC,,0.1,99,-0.8,241,1.7
2013,1,2,14:00,UTC,,0.2,99,-0.8,236,1.8
2013,1,2,15:00,UTC,,-1,99,-0.9,247,1.6
2013,1,2,16:00,UTC,,-1,99,-0.9,245,1.9
2013,1,2,17:00,UTC,,-1,99,-1,250,1.6
2013,1,2,18:00,UTC,,0.3,99,-1,246,1.6
2013,1,2,19:00,UTC,,0.1,99,-1.1,247,1.6
2013,1,2,20:00,UTC,,0.1,99,-1.1,243,1.5
2013,1,2,21:00,UTC,,0.1,99,-1.1,253,1.2
2013,1,2,22:00,UTC,,0.1,99,-1.1,267,1.5
2013,1,2,23:00,UTC,,-1,99,-1.3,264,1.8
2013,1,3,00:00,UTC,,-1,99,-1.3,263,1.2
2013,1,3,01:00,UTC,,-1,99,-1.3,278,1.4
2013,1,3,02:00,UTC,,0.2,99,-1.3,275,1.4
2013,1,3,03:00,UTC,,-1,99,-1.4,284,1
2013,1,3,04:00,UTC,,0.3,99,-1.4,285,1.9
2013,1,3,05:00,UTC,,-1,99,-1.8,304,2.9
2013,1,3,06:00,UTC,,0.2,98,-2.3,307,2.7
2013,1,3,07:00,UTC,,-1,98,-2.7,311,2.4
2013,1,3,08:00,UTC,,-1,98,-3.2,307,2.7
2013,1,3,09:00,UTC,,-1,98,-3.5,318,2.2
2013,1,3,10:00,UTC,,-1,97,-3.7,298,1.4
2013,1,3,11:00,UTC,,-1,97,-3.8,297,1.2
2013,1,3,12:00,UTC,,-1,97,-3.9,287,1.3
2013,1,3,13:00,UTC,,-1,97,-3.9,279,1.5
2013,1,3,14:00,UTC,,-1,97,-3.9,291,0.9
2013,1,3,15:00,UTC,,-1,97,-3.9,264,1
2013,1,3,16:00,UTC,,-1,97,-3.9,281,1.4
2013,1,3,17:00,UTC,,-1,97,-4.2,282,1.1
2013,1,3,18:00,UTC,,-1,97,-4.5,241,1
2013,1,3,19:00,UTC,,-1,97,-4.6,276,1
2013,1,3,20:00,UTC,,-1,97,-4.6,263,1.3
2013,1,3,21:00,UTC,,-1,97,-4.8,212,0.9
2013,1,3,22:00,UTC,,-1,96,-4.8,219,1
2013,1,3,23:00,UTC,,-1,96,-4.8,175,0.6
2013,1,4,00:00,UTC,,-1,96,-4.7,192,0.6
2013,1,4,01:00,UTC,,-1,97,-4.7,222,1
2013,1,4,02:00,UTC,,-1,97,-4.6,204,1.1
2013,1,4,03:00,UTC,,-1,97,-4.7,178,0.7
2013,1,4,04:00,UTC,,-1,96,-4.8,257,0.6
2013,1,4,05:00,UTC,,-1,97,-4.7,216,0.6
2013,1,4,06:00,UTC,,-1,97,-4.6,0,0
2013,1,4,07:00,UTC,,-1,97,-4.6,264,0.8
2013,1,4,08:00,UTC,,-1,97,-4.6,0,0
2013,1,4,09:00,UTC,,-1,97,-4.6,0,0
2013,1,4,10:00,UTC,,-1,97,-4.4,0,0
2013,1,4,11:00,UTC,,-1,97,-4.4,299,0.8
2013,1,4,12:00,UTC,,-1,97,-4.5,301,1.4
2013,1,4,13:00,UTC,,-1,96,-4.8,290,2
2013,1,4,14:00,UTC,,-1,96,-5,288,2.4
2013,1,4,15:00,UTC,,-1,96,-5.8,296,2.3
2013,1,4,16:00,UTC,,-1,95,-6.6,333,2.3
2013,1,4,17:00,UTC,,-1,94,-7.8,325,2.2
2013,1,4,18:00,UTC,,-1,94,-8.2,338,2.2
2013,1,4,19:00,UTC,,-1,94,-7.9,338,2.6
2013,1,4,20:00,UTC,,-1,95,-7.4,337,2.6
2013,1,4,21:00,UTC,,-1,93,-9,321,2.2
2013,1,4,22:00,UTC,,-1,95,-7.6,334,2.3
2013,1,4,23:00,UTC,,-1,95,-7.3,318,3.3
2013,1,5,00:00,UTC,,-1,94,-8.6,322,3.3
2013,1,5,01:00,UTC,,-1,93,-9.2,318,4
2013,1,5,02:00,UTC,,-1,92,-10.2,315,3.5
2013,1,5,03:00,UTC,,-1,93,-9.4,313,3.5
2013,1,5,04:00,UTC,,-1,91,-11.2,318,3.2
2013,1,5,05:00,UTC,,-1,90,-12.5,318,3
2013,1,5,06:00,UTC,,-1,90,-12.3,321,2.5
2013,1,5,07:00,UTC,,-1,90,-12.6,315,3.2
2013,1,5,08:00,UTC,,-1,92,-11.1,315,2.8
2013,1,5,09:00,UTC,,-1,93,-9.2,320,2.8
2013,1,5,10:00,UTC,,-1,94,-9.1,328,2.9
2013,1,5,11:00,UTC,,-1,91,-10.6,310,2.6
2013,1,5,12:00,UTC,,-1,91,-11.8,304,2.3
2013,1,5,13:00,UTC,,-1,93,-9.3,338,3.1
2013,1,5,14:00,UTC,,-1,95,-7.2,354,3.9
2013,1,5,15:00,UTC,,-1,94,-8,7,3.4
2013,1,5,16:00,UTC,,-1,94,-8.5,47,3.6
2013,1,5,17:00,UTC,,-1,94,-7.8,50,1.9
2013,1,5,18:00,UTC,,-1,96,-6.2,3,3.4
2013,1,5,19:00,UTC,,-1,95,-6.8,349,3.4
2013,1,5,20:00,UTC,,-1,95,-7.2,33,3.6
2013,1,5,21:00,UTC,,-1,95,-7.4,31,3.2
2013,1,5,22:00,UTC,,-1,95,-7.1,48,2.7
2013,1,5,23:00,UTC,,-1,95,-7.2,44,2.4
2013,1,6,00:00,UTC,,-1,94,-7.9,62,2.5
2013,1,6,01:00,UTC,,-1,95,-6.9,70,2.5
2013,1,6,02:00,UTC,,-1,95,-6.8,76,2.3
2013,1,6,03:00,UTC,,-1,95,-7,88,1.6
2013,1,6,04:00,UTC,,-1,95,-6.9,56,2.5
2013,1,6,05:00,UTC,,-1,95,-7,82,1.4
2013,1,6,06:00,UTC,,-1,95,-6.7,77,1.1
2013,1,6,07:00,UTC,,-1,95,-7.2,78,1.3
2013,1,6,08:00,UTC,,-1,94,-7.6,82,1.3
2013,1,6,09:00,UTC,,-1,95,-7.4,98,1.5
2013,1,6,10:00,UTC,,-1,94,-7.9,107,1.5
2013,1,6,11:00,UTC,,-1,93,-8.7,98,1.9
2013,1,6,12:00,UTC,,-1,93,-8.5,95,1.6
2013,1,6,13:00,UTC,,-1,92,-9.9,110,1.4
2013,1,6,14:00,UTC,,-1,91,-11.1,310,1
2013,1,6,15:00,UTC,,-1,90,-12,122,1.2
2013,1,6,16:00,UTC,,-1,91,-12.1,112,1.8
2013,1,6,17:00,UTC,,-1,91,-11.5,113,2.2
2013,1,6,18:00,UTC,,-1,90,-12.8,125,1.6
2013,1,6,19:00,UTC,,-1,88,-14.7,132,1.2
2013,1,6,20:00,UTC,,-1,87,-15.2,153,1.5
2013,1,6,21:00,UTC,,-1,87,-16.4,205,0.6
2013,1,6,22:00,UTC,,-1,88,-15.1,276,1.1
2013,1,6,23:00,UTC,,-1,87,-16.4,257,0.9
2013,1,7,00:00,UTC,,-1,87,-16,271,1.1
2013,1,7,01:00,UTC,,-1,89,-13.5,230,1.8
2013,1,7,02:00,UTC,,-1,89,-13,266,1.8
2013,1,7,03:00,UTC,,-1,88,-14.7,280,1.9
2013,1,7,04:00,UTC,,-1,89,-14.4,262,0.8
2013,1,7,05:00,UTC,,-1,89,-13.8,274,1
2013,1,7,06:00,UTC,,-1,90,-13.1,290,1.1
2013,1,7,07:00,UTC,,-1,91,-12.1,282,1
2013,1,7,08:00,UTC,,-1,91,-11.3,236,1.4
2013,1,7,09:00,UTC,,-1,94,-8.2,228,1.7
2013,1,7,10:00,UTC,,-1,94,-8,245,2.3
2013,1,7,11:00,UTC,,-1,93,-9.2,252,2.4
2013,1,7,12:00,UTC,,0.2,92,-9.9,255,2.4
2013,1,7,13:00,UTC,,-1,92,-10.4,263,1.8
2013,1,7,14:00,UTC,,-1,92,-10.1,257,2
2013,1,7,15:00,UTC,,-1,92,-10.3,272,1.3
2013,1,7,16:00,UTC,,-1,92,-10.4,273,1.6
2013,1,7,17:00,UTC,,-1,92,-10.3,274,1.2
2013,1,7,18:00,UTC,,-1,92,-10.3,283,1.6
2013,1,7,19:00,UTC,,-1,92,-10.4,279,1.3
2013,1,7,20:00,UTC,,-1,92,-10.1,269,0.8
2013,1,7,21:00,UTC,,-1,92,-10.1,273,0.8
2013,1,7,22:00,UTC,,-1,92,-10,0,0
2013,1,7,23:00,UTC,,-1,92,-9.8,285,0.8
2013,1,8,00:00,UTC,,-1,92,-9.7,0,0
2013,1,8,01:00,UTC,,-1,93,-9.3,136,0.6
2013,1,8,02:00,UTC,,-1,93,-9.3,219,0.8
2013,1,8,03:00,UTC,,-1,93,-9.4,127,1.3
2013,1,8,04:00,UTC,,-1,93,-9.6,125,1.2
2013,1,8,05:00,UTC,,-1,92,-9.8,127,1.4
2013,1,8,06:00,UTC,,-1,92,-10,123,1.4
2013,1,8,07:00,UTC,,-1,92,-9.9,121,1.4
2013,1,8,08:00,UTC,,-1,92,-9.9,112,2
2013,1,8,09:00,UTC,,-1,92,-9.7,113,0.9
2013,1,8,10:00,UTC,,-1,93,-9.4,133,1.9
2013,1,8,11:00,UTC,,-1,93,-9,131,2.3
2013,1,8,12:00,UTC,,-1,93,-9.4,124,1.8
2013,1,8,13:00,UTC,,-1,93,-9.5,127,1.7
2013,1,8,14:00,UTC,,-1,93,-9.4,124,1.4
2013,1,8,15:00,UTC,,-1,93,-9.2,130,1.5
2013,1,8,16:00,UTC,,-1,93,-8.9,149,2
2013,1,8,17:00,UTC,,-1,93,-8.7,136,1.3
2013,1,8,18:00,UTC,,-1,94,-8,159,1.5
2013,1,8,19:00,UTC,,-1,94,-7.6,159,1.5
2013,1,8,20:00,UTC,,-1,95,-7.2,177,1.9
2013,1,8,21:00,UTC,,-1,95,-6.8,216,2
2013,1,8,22:00,UTC,,0.6,95,-6.3,219,1.8
2013,1,8,23:00,UTC,,0.4,96,-5.9,211,1.8
2013,1,9,00:00,UTC,,0.6,96,-5.5,198,1.3
2013,1,9,01:00,UTC,,0.3,96,-5.1,217,1.9
2013,1,9,02:00,UTC,,0.2,97,-4.4,241,2
2013,1,9,03:00,UTC,,-1,97,-4.3,245,2
2013,1,9,04:00,UTC,,0.3,97,-4.1,255,2.5
2013,1,9,05:00,UTC,,1.4,97,-4.2,269,2.3
2013,1,9,06:00,UTC,,0.4,97,-4.5,273,2.8
2013,1,9,07:00,UTC,,0.2,96,-4.8,293,3
2013,1,9,08:00,UTC,,0.1,96,-5.7,288,2.6
2013,1,9,09:00,UTC,,-1,95,-6.4,301,3.1
2013,1,9,10:00,UTC,,-1,95,-6.6,301,1.9
2013,1,9,11:00,UTC,,-1,95,-6.7,292,2.3
2013,1,9,12:00,UTC,,-1,95,-6.6,290,2
2013,1,9,13:00,UTC,,-1,95,-6.7,284,1.5
2013,1,9,14:00,UTC,,0.2,95,-6.9,296,1.9
2013,1,9,15:00,UTC,,0.2,95,-7.1,296,1.4
2013,1,9,16:00,UTC,,-1,95,-7.2,0,0
2013,1,9,17:00,UTC,,-1,95,-6.9,6,0.8
2013,1,9,18:00,UTC,,-1,95,-6.7,52,1.9
2013,1,9,19:00,UTC,,-1,95,-6.6,81,2
2013,1,9,20:00,UTC,,-1,95,-6.5,66,2.9
2013,1,9,21:00,UTC,,-1,95,-7,73,2.9
2013,1,9,22:00,UTC,,-1,95,-7.5,77,3.9
2013,1,9,23:00,UTC,,-1,95,-7.2,70,3.5
2013,1,10,00:00,UTC,,-1,95,-6.8,70,3.6
2013,1,10,01:00,UTC,,0.2,95,-6.3,74,3.5
2013,1,10,02:00,UTC,,-1,96,-5.8,78,3
2013,1,10,03:00,UTC,,-1,96,-5.7,67,3.2
2013,1,10,04:00,UTC,,-1,96,-5.5,74,3.3
2013,1,10,05:00,UTC,,-1,96,-5.6,67,3.3
2013,1,10,06:00,UTC,,-1,96,-5.7,60,3.5
2013,1,10,07:00,UTC,,-1,96,-5.6,67,3.1
2013,1,10,08:00,UTC,,-1,96,-5.6,71,3.4
2013,1,10,09:00,UTC,,-1,96,-5.7,76,3.3
2013,1,10,10:00,UTC,,-1,96,-5.9,73,3.8
2013,1,10,11:00,UTC,,-1,95,-6.2,72,3.4
2013,1,10,12:00,UTC,,-1,95,-6.3,78,3.5
2013,1,10,13:00,UTC,,-1,95,-6.4,81,3.5
2013,1,10,14:00,UTC,,-1,95,-6.8,75,3.4
2013,1,10,15:00,UTC,,-1,95,-7,82,2.9
2013,1,10,16:00,UTC,,-1,95,-7.5,74,2.7
2013,1,10,17:00,UTC,,-1,95,-7.2,60,3.1
2013,1,10,18:00,UTC,,-1,95,-7.2,62,3.1
2013,1,10,19:00,UTC,,-1,94,-7.8,58,2.8
2013,1,10,20:00,UTC,,-1,94,-8.1,48,2.3
2013,1,10,21:00,UTC,,-1,94,-8.4,51,2.1
2013,1,10,22:00,UTC,,-1,94,-8.3,66,2.5
2013,1,10,23:00,UTC,,-1,93,-9.1,81,2.2
2013,1,11,00:00,UTC,,-1,93,-9.1,74,2.6
2013,1,11,01:00,UTC,,-1,93,-9.5,83,2.9
2013,1,11,02:00,UTC,,-1,92,-10,104,2.9
2013,1,11,03:00,UTC,,-1,93,-9.2,99,2.6
2013,1,11,04:00,UTC,,-1,93,-9.1,93,2.1
2013,1,11,05:00,UTC,,-1,93,-9.1,54,1
2013,1,11,06:00,UTC,,-1,93,-8.9,103,1.5
2013,1,11,07:00,UTC,,-1,93,-8.8,92,1.3
2013,1,11,08:00,UTC,,-1,94,-8.2,87,0.9
2013,1,11,09:00,UTC,,-1,94,-8.4,53,0.8
2013,1,11,10:00,UTC,,-1,94,-7.9,0,0
2013,1,11,11:00,UTC,,-1,94,-7.6,0,0
2013,1,11,12:00,UTC,,-1,94,-7.4,327,0.6
