Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Relative humidity (%),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2013,1,1,00:00,UTC,8,,100,0.3,140,3.1
2013,1,1,01:00,UTC,8,,100,0.2,120,2.6
2013,1,1,02:00,UTC,8,,100,0.2,130,3.1
2013,1,1,03:00,UTC,8,,100,0.1,130,3.1
2013,1,1,04:00,UTC,8,,100,0.3,140,3.1
2013,1,1,05:00,UTC,8,,100,0.4,130,2.6
2013,1,1,06:00,UTC,8,,100,0.4,120,3.6
2013,1,1,07:00,UTC,8,,99,0.4,110,2.6
2013,1,1,08:00,UTC,8,,99,0.4,100,3.1
2013,1,1,09:00,UTC,8,,100,0.4,100,3.1
2013,1,1,10:00,UTC,8,,99,0.5,100,3.6
2013,1,1,11:00,UTC,8,,99,0.4,90,3.6
2013,1,1,12:00,UTC,8,,99,0.5,90,3.6
2013,1,1,13:00,UTC,8,,99,0.4,90,3.6
2013,1,1,14:00,UTC,8,,99,0.4,100,3.1
2013,1,1,15:00,UTC,8,,99,0.3,100,3.1
2013,1,1,16:00,UTC,8,,99,0.2,90,2.6
2013,1,1,17:00,UTC,8,,100,0.2,90,2.1
2013,1,1,18:00,UTC,8,,100,0.2,80,2.1
2013,1,1,19:00,UTC,8,,100,0.3,80,2.1
2013,1,1,20:00,UTC,8,,100,0.3,70,1.5
2013,1,1,21:00,UTC,8,,100,0.3,0,0
2013,1,1,22:00,UTC,8,,100,0.2,0,0
2013,1,1,23:00,UTC,8,,100,0.1,360,1
2013,1,2,00:00,UTC,9,,100,0.1,0,0
2013,1,2,01:00,UTC,8,,100,-0.1,360,1
2013,1,2,02:00,UTC,8,,100,0,0,0
2013,1,2,03:00,UTC,8,,100,0,0,0
2013,1,2,04:00,UTC,8,,100,0,330,1
2013,1,2,05:00,UTC,8,,100,0,350,2.1
2013,1,2,06:00,UTC,8,,100,0,360,2.1
2013,1,2,07:00,UTC,9,,100,0,350,2.1
2013,1,2,08:00,UTC,8,,100,0,340,1.5
2013,1,2,09:00,UTC,8,,100,0,360,2.6
2013,1,2,10:00,UTC,8,,100,-0.1,360,2.6
2013,1,2,11:00,UTC,8,,100,0,360,2.6
2013,1,2,12:00,UTC,8,,100,0,350,2.6
