Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Relative humidity (%),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2013,1,1,00:00,UTC,8,-1,98,0.7,,
2013,1,1,01:00,UTC,8,-1,98,0.7,,
2013,1,1,02:00,UTC,8,-1,98,0.7,,
2013,1,1,03:00,UTC,8,-1,98,0.7,,
2013,1,1,04:00,UTC,7,-1,99,0.6,,
2013,1,1,05:00,UTC,7,-1,99,0.6,,
2013,1,1,06:00,UTC,8,-1,99,0.6,,
2013,1,1,07:00,UTC,8,0.6,99,0.5,,
2013,1,1,08:00,UTC,8,0.3,99,0.5,,
2013,1,1,09:00,UTC,8,0.3,98,0.6,,
2013,1,1,10:00,UTC,8,0.6,98,0.4,,
2013,1,1,11:00,UTC,8,0.8,99,0.5,,
2013,1,1,12:00,UTC,8,0.8,99,0.5,,
2013,1,1,13:00,UTC,8,1,99,0.7,,
2013,1,1,14:00,UTC,8,1.5,99,0.6,,
2013,1,1,15:00,UTC,8,0.9,99,0.9,,
2013,1,1,16:00,UTC,8,-1,99,1.2,,
2013,1,1,17:00,UTC,8,-1,99,1.5,,
2013,1,1,18:00,UTC,7,-1,99,1.8,,
2013,1,1,19:00,UTC,7,-1,100,1.9,,
2013,1,1,20:00,UTC,8,-1,100,1.8,,
2013,1,1,21:00,UTC,8,-1,100,1.8,,
2013,1,1,22:00,UTC,8,-1,100,1.6,,
2013,1,1,23:00,UTC,8,-1,100,1.7,,
2013,1,2,00:00,UTC,8,-1,100,1.7,,
2013,1,2,01:00,UTC,8,0.2,100,1.7,,
2013,1,2,02:00,UTC,8,0.1,100,1.6,,
2013,1,2,03:00,UTC,8,0.2,100,1.5,,
2013,1,2,04:00,UTC,8,-1,99,1.4,,
2013,1,2,05:00,UTC,8,-1,99,1.4,,
2013,1,2,06:00,UTC,8,-1,99,1.3,,
2013,1,2,07:00,UTC,8,-1,99,1.2,,
2013,1,2,08:00,UTC,8,-1,99,1.1,,
2013,1,2,09:00,UTC,8,-1,99,1,,
2013,1,2,10:00,UTC,8,-1,99,1.3,,
2013,1,2,11:00,UTC,8,-1,99,1.2,,
2013,1,2,12:00,UTC,7,-1,99,1.2,,
2013,1,2,13:00,UTC,8,0.6,99,0.5,,
2013,1,2,14:00,UTC,8,1,100,0.2,,
2013,1,2,15:00,UTC,8,0.7,100,0.3,,
2013,1,2,16:00,UTC,8,0.5,100,0.3,,
2013,1,2,17:00,UTC,8,-1,100,0.5,,
