Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Relative humidity (%),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2013,1,1,00:00,UTC,7,1.1,97,1.4,169,6.8
2013,1,1,01:00,UTC,8,1,97,1.5,170,6.1
2013,1,1,02:00,UTC,7,1.2,98,1.7,188,5.3
2013,1,1,03:00,UTC,8,0.7,98,2.2,199,4.4
2013,1,1,04:00,UTC,8,0.8,98,2.5,206,5
2013,1,1,05:00,UTC,8,0.6,98,2.7,207,4.4
2013,1,1,06:00,UTC,8,0.6,98,2.8,205,5.1
2013,1,1,07:00,UTC,7,0.8,98,2.9,212,4.1
2013,1,1,08:00,UTC,8,0.7,98,3.2,215,4.3
2013,1,1,09:00,UTC,8,0.6,98,3,213,4.2
2013,1,1,10:00,UTC,8,0.5,98,2.9,224,5.3
2013,1,1,11:00,UTC,8,0.3,98,3,219,5
2013,1,1,12:00,UTC,8,-1,98,3.1,221,3.1
2013,1,1,13:00,UTC,8,-1,98,2.9,225,4.1
2013,1,1,14:00,UTC,8,0.2,98,2.9,228,2.9
2013,1,1,15:00,UTC,8,0.2,98,2.9,240,3
2013,1,1,16:00,UTC,8,0.1,98,2.9,239,3.6
2013,1,1,17:00,UTC,8,-1,98,2.8,235,5
2013,1,1,18:00,UTC,8,-1,99,2.7,240,3.8
2013,1,1,19:00,UTC,8,-1,99,2.6,235,3.3
2013,1,1,20:00,UTC,8,-1,99,2.5,235,3.9
2013,1,1,21:00,UTC,8,-1,100,2.4,243,2.8
2013,1,1,22:00,UTC,8,-1,100,2.4,235,3.8
2013,1,1,23:00,UTC,8,-1,100,2.3,241,2.3
2013,1,2,00:00,UTC,8,-1,100,2.4,237,3.4
2013,1,2,01:00,UTC,8,-1,100,2.5,218,3.4
2013,1,2,02:00,UTC,8,-1,100,2.5,221,2.5
2013,1,2,03:00,UTC,8,-1,99,2.5,226,3.2
2013,1,2,04:00,UTC,8,-1,99,2.4,227,3.2
2013,1,2,05:00,UTC,8,-1,99,2.2,221,2.8
2013,1,2,06:00,UTC,7,-1,100,2.2,238,2.9
2013,1,2,07:00,UTC,7,1.1,100,2.3,260,2.2
2013,1,2,08:00,UTC,7,0.6,99,2.1,250,2.7
2013,1,2,09:00,UTC,8,-1,98,2.4,243,3.6
2013,1,2,10:00,UTC,8,-1,93,2.3,267,4
2013,1,2,11:00,UTC,8,-1,89,2.3,274,4.5
2013,1,2,12:00,UTC,8,-1,88,2.2,249,3.4
2013,1,2,13:00,UTC,7,-1,90,1.9,247,3.5
2013,1,2,14:00,UTC,8,-1,91,1.8,252,3.2
2013,1,2,15:00,UTC,8,-1,91,1.9,240,3.7
2013,1,2,16:00,UTC,8,-1,92,1.9,239,3.7
2013,1,2,17:00,UTC,8,-1,92,1.9,243,2.9
2013,1,2,18:00,UTC,8,-1,94,1.6,238,3.2
2013,1,2,19:00,UTC,8,-1,94,1.7,237,3.2
2013,1,2,20:00,UTC,8,-1,95,1.4,243,3.9
2013,1,2,21:00,UTC,7,0.2,96,1.1,249,2.8
2013,1,2,22:00,UTC,8,-1,96,0.9,269,3.7
2013,1,2,23:00,UTC,8,-1,95,0.9,276,3.9
2013,1,3,00:00,UTC,8,-1,95,0.9,280,3.8
2013,1,3,01:00,UTC,8,-1,95,0.9,278,4.1
2013,1,3,02:00,UTC,7,-1,96,0.7,269,2.9
2013,1,3,03:00,UTC,7,-1,95,0.8,284,3.6
2013,1,3,04:00,UTC,7,-1,94,0.8,293,3.7
2013,1,3,05:00,UTC,8,-1,93,0.8,281,3.5
2013,1,3,06:00,UTC,8,-1,93,0.8,283,3.4
2013,1,3,07:00,UTC,8,-1,92,0.8,293,3.5
2013,1,3,08:00,UTC,8,-1,89,0.8,300,3.4
2013,1,3,09:00,UTC,8,-1,92,0.7,288,3
2013,1,3,10:00,UTC,8,-1,90,0.7,276,2.4
2013,1,3,11:00,UTC,7,-1,90,0.6,267,2.9
2013,1,3,12:00,UTC,8,-1,89,0.5,268,1.6
2013,1,3,13:00,UTC,7,-1,94,0.2,253,2.2
2013,1,3,14:00,UTC,7,-1,93,0.4,274,2.4
2013,1,3,15:00,UTC,7,-1,91,0.3,240,2.6
2013,1,3,16:00,UTC,7,-1,92,0,316,1.9
2013,1,3,17:00,UTC,7,-1,94,-0.1,321,1.2
2013,1,3,18:00,UTC,7,-1,96,-0.1,137,2.1
2013,1,3,19:00,UTC,7,-1,97,0,127,1.8
2013,1,3,20:00,UTC,7,-1,98,0.7,197,2.1
2013,1,3,21:00,UTC,7,-1,97,1.1,206,2.1
2013,1,3,22:00,UTC,7,-1,97,1.4,211,1.6
2013,1,3,23:00,UTC,7,-1,96,1.4,242,1.7
2013,1,4,00:00,UTC,7,-1,95,1.5,219,1.8
2013,1,4,01:00,UTC,7,-1,95,1.3,211,2
2013,1,4,02:00,UTC,7,-1,97,1.1,201,2.5
2013,1,4,03:00,UTC,7,0.3,98,1.1,211,1.8
2013,1,4,04:00,UTC,7,0.2,98,1.1,227,1.6
2013,1,4,05:00,UTC,7,0.2,98,1,227,2.4
2013,1,4,06:00,UTC,7,0.1,98,1.3,233,2.3
2013,1,4,07:00,UTC,7,-1,98,0.9,234,2.9
2013,1,4,08:00,UTC,7,-1,99,0.7,275,2.6
2013,1,4,09:00,UTC,7,-1,99,0.8,271,2.3
2013,1,4,10:00,UTC,7,-1,98,1.1,283,2
2013,1,4,11:00,UTC,7,-1,98,1.2,272,1.7
2013,1,4,12:00,UTC,7,-1,98,1.4,294,1.2
2013,1,4,13:00,UTC,7,-1,98,1.4,286,2.3
2013,1,4,14:00,UTC,7,-1,98,1.1,306,1.4
2013,1,4,15:00,UTC,7,-1,98,1,298,1.5
2013,1,4,16:00,UTC,7,-1,98,1.1,318,1.6
2013,1,4,17:00,UTC,7,0.3,99,0.9,335,2.4
2013,1,4,18:00,UTC,7,0.1,99,0.8,342,3.2
2013,1,4,19:00,UTC,8,-1,99,0.7,347,4.1
2013,1,4,20:00,UTC,7,0.3,99,0.9,4,5.1
2013,1,4,21:00,UTC,8,-1,97,0.9,5,5.2
2013,1,4,22:00,UTC,8,-1,92,0.6,8,6.9
2013,1,4,23:00,UTC,8,-1,88,0.2,10,5.9
2013,1,5,00:00,UTC,8,-1,87,-0.2,13,7
2013,1,5,01:00,UTC,8,-1,84,-0.6,11,6.2
2013,1,5,02:00,UTC,8,-1,84,-1.1,8,6.1
2013,1,5,03:00,UTC,8,-1,83,-1.4,4,6.6
2013,1,5,04:00,UTC,7,-1,83,-1.4,10,6.3
2013,1,5,05:00,UTC,0,-1,84,-2,4,5.6
2013,1,5,06:00,UTC,0,-1,86,-2.5,355,5.1
2013,1,5,07:00,UTC,0,-1,88,-2.9,349,5.6
2013,1,5,08:00,UTC,0,-1,89,-3.3,349,5.3
2013,1,5,09:00,UTC,0,-1,90,-3.5,346,5.3
2013,1,5,10:00,UTC,3,-1,88,-2.9,345,4.7
2013,1,5,11:00,UTC,5,-1,86,-2.4,344,4.8
2013,1,5,12:00,UTC,5,-1,87,-2.5,340,4.8
2013,1,5,13:00,UTC,7,-1,88,-2.7,344,5.1
2013,1,5,14:00,UTC,7,-1,88,-2.7,345,4
2013,1,5,15:00,UTC,0,-1,90,-3.4,336,4.9
2013,1,5,16:00,UTC,0,-1,91,-3.9,354,4.3
2013,1,5,17:00,UTC,7,-1,90,-4,345,4.1
2013,1,5,18:00,UTC,7,-1,90,-4.1,353,5.6
2013,1,5,19:00,UTC,5,-1,91,-4.5,1,4.2
2013,1,5,20:00,UTC,3,-1,93,-5,346,4.4
2013,1,5,21:00,UTC,5,-1,93,-5.2,344,4.7
2013,1,5,22:00,UTC,7,-1,93,-5.1,351,5.9
2013,1,5,23:00,UTC,7,-1,94,-5,353,6.3
2013,1,6,00:00,UTC,5,-1,93,-5,350,5.5
2013,1,6,01:00,UTC,8,-1,92,-4.6,2,5
2013,1,6,02:00,UTC,8,-1,92,-4.4,358,5.6
2013,1,6,03:00,UTC,8,-1,92,-4.3,359,6.5
2013,1,6,04:00,UTC,8,-1,92,-4,6,6
2013,1,6,05:00,UTC,7,-1,91,-4,360,4.7
2013,1,6,06:00,UTC,7,-1,90,-4.2,9,3.7
2013,1,6,07:00,UTC,8,-1,89,-4.8,34,4.1
2013,1,6,08:00,UTC,8,-1,90,-4.7,26,2.5
2013,1,6,09:00,UTC,8,-1,90,-4.4,45,3.8
2013,1,6,10:00,UTC,8,-1,88,-4.2,51,3.7
2013,1,6,11:00,UTC,7,-1,86,-4.1,36,4.4
2013,1,6,12:00,UTC,3,-1,85,-4.4,26,3
2013,1,6,13:00,UTC,3,-1,86,-4.6,8,3.3
2013,1,6,14:00,UTC,7,-1,87,-4.6,6,3.4
2013,1,6,15:00,UTC,1,-1,87,-5,13,2.4
2013,1,6,16:00,UTC,7,-1,88,-5.8,6,4.3
2013,1,6,17:00,UTC,7,-1,90,-6,356,5.4
2013,1,6,18:00,UTC,7,-1,89,-5.8,32,3.5
2013,1,6,19:00,UTC,8,-1,90,-6.1,16,3.3
2013,1,6,20:00,UTC,8,-1,92,-6.5,60,2.7
2013,1,6,21:00,UTC,8,-1,94,-6.9,65,1.9
2013,1,6,22:00,UTC,8,-1,95,-6.9,56,1.7
2013,1,6,23:00,UTC,8,-1,95,-6.8,39,1
2013,1,7,00:00,UTC,8,-1,95,-7.1,353,1.6
2013,1,7,01:00,UTC,8,-1,95,-7,14,1.4
2013,1,7,02:00,UTC,8,-1,94,-7.2,355,1.2
2013,1,7,03:00,UTC,8,-1,94,-7.3,321,1.9
2013,1,7,04:00,UTC,8,-1,94,-7.5,332,1.9
2013,1,7,05:00,UTC,8,-1,96,-7.2,282,1
2013,1,7,06:00,UTC,8,-1,96,-7,304,2.1
2013,1,7,07:00,UTC,7,-1,96,-6.6,269,2
2013,1,7,08:00,UTC,8,-1,95,-6.6,332,1.6
2013,1,7,09:00,UTC,8,-1,95,-6,332,1.4
2013,1,7,10:00,UTC,8,-1,92,-5.4,334,1.2
2013,1,7,11:00,UTC,8,-1,89,-4.8,309,1.7
2013,1,7,12:00,UTC,8,-1,90,-4.7,305,2.4
2013,1,7,13:00,UTC,8,-1,88,-4.2,296,3.4
2013,1,7,14:00,UTC,8,-1,87,-3.9,286,1.9
