Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Relative humidity (%),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2013,1,1,00:00,UTC,,,98,2.7,82.8,3.5
2013,1,1,01:00,UTC,,,99,3.4,95.7,2.3
2013,1,1,02:00,UTC,,,98,4.1,116.3,4.2
2013,1,1,03:00,UTC,,,97,4.2,113.2,4.4
2013,1,1,04:00,UTC,,,97,4.2,109.6,4.1
2013,1,1,05:00,UTC,,,98,4,108,4.5
2013,1,1,06:00,UTC,,,97,4.1,110.6,5
2013,1,1,07:00,UTC,,,97,4.1,113.2,5
2013,1,1,08:00,UTC,,,97,4,115.7,5.2
2013,1,1,09:00,UTC,,,97,4,115.7,4.9
2013,1,1,10:00,UTC,,,97,4,116.8,5.8
2013,1,1,11:00,UTC,,,97,4.1,117.8,5.6
2013,1,1,12:00,UTC,,,97,4.1,115.7,5.4
2013,1,1,13:00,UTC,,,96,3.9,113.2,4.3
2013,1,1,14:00,UTC,,,95,3.7,113.2,3.8
2013,1,1,15:00,UTC,,,94,3.3,117.3,3.9
2013,1,1,16:00,UTC,,,91,3.2,116.8,4.1
2013,1,1,17:00,UTC,,,90,2.8,112.1,3.7
2013,1,1,18:00,UTC,,,90,2.7,119.9,4.2
2013,1,1,19:00,UTC,,,87,2.7,119.4,4.3
2013,1,1,20:00,UTC,,,88,2.4,124,3.4
2013,1,1,21:00,UTC,,,88,2.4,122.4,3.7
2013,1,1,22:00,UTC,,,89,2.2,117.3,3.2
2013,1,1,23:00,UTC,,,89,2,118.3,2.6
2013,1,2,00:00,UTC,,,90,1.9,119.9,2.9
2013,1,2,01:00,UTC,,,91,2,110.6,2.7
2013,1,2,02:00,UTC,,,91,1.9,115.7,3.1
2013,1,2,03:00,UTC,,,93,1.7,108,2.9
2013,1,2,04:00,UTC,,,93,1.7,119.4,2.9
2013,1,2,05:00,UTC,,,94,1.7,118.8,3.4
2013,1,2,06:00,UTC,,,94,1.6,117.8,3.1
2013,1,2,07:00,UTC,,,94,1.5,124.5,3.5
2013,1,2,08:00,UTC,,,91,1.5,129.1,3.9
2013,1,2,09:00,UTC,,,89,1.3,133.2,3.9
2013,1,2,10:00,UTC,,,86,1.3,131.7,4.3
2013,1,2,11:00,UTC,,,95,0.6,117.3,2.6
2013,1,2,12:00,UTC,,,94,0.6,125,3.2
2013,1,2,13:00,UTC,,,98,0.2,132.7,3.1
2013,1,2,14:00,UTC,,,97,0.1,135.3,3.7
2013,1,2,15:00,UTC,,,97,0,126.6,2.3
2013,1,2,16:00,UTC,,,98,-0.1,130.7,3.1
2013,1,2,17:00,UTC,,,99,-0.1,130.7,4.1
2013,1,2,18:00,UTC,,,99,-0.1,132.7,4.1
2013,1,2,19:00,UTC,,,99,-0.1,131.7,4.5
2013,1,2,20:00,UTC,,,99,0.1,135.3,4.4
2013,1,2,21:00,UTC,,,100,0.1,140.4,4
2013,1,2,22:00,UTC,,,100,0.1,144,2.8
2013,1,2,23:00,UTC,,,99,0.2,146.1,4.4
2013,1,3,00:00,UTC,,,99,0.3,150.7,3.3
2013,1,3,01:00,UTC,,,96,0.2,156.9,3.7
2013,1,3,02:00,UTC,,,96,0.1,152.3,2.9
2013,1,3,03:00,UTC,,,96,-0.1,153.3,3.3
2013,1,3,04:00,UTC,,,95,-0.1,156.9,3.2
2013,1,3,05:00,UTC,,,94,-0.1,143.5,4.1
2013,1,3,06:00,UTC,,,96,-0.1,131.7,3.6
2013,1,3,07:00,UTC,,,95,0,121.9,3.3
2013,1,3,08:00,UTC,,,95,-0.1,119.4,1.9
2013,1,3,09:00,UTC,,,95,-0.4,124.5,3.6
2013,1,3,10:00,UTC,,,96,-0.8,117.3,2.7
2013,1,3,11:00,UTC,,,97,-0.9,122.4,2.4
2013,1,3,12:00,UTC,,,98,-0.8,104.9,2
2013,1,3,13:00,UTC,,,97,-0.5,99.8,3
2013,1,3,14:00,UTC,,,96,-0.2,89,2.1
2013,1,3,15:00,UTC,,,97,-0.4,70,2.3
2013,1,3,16:00,UTC,,,97,-0.2,78.2,2.3
2013,1,3,17:00,UTC,,,97,0.1,75.6,2.1
2013,1,3,18:00,UTC,,,97,0.2,71.5,1.6
2013,1,3,19:00,UTC,,,99,0.1,81.8,2
2013,1,3,20:00,UTC,,,99,0.2,95.7,1.8
2013,1,3,21:00,UTC,,,99,0.3,96.2,1.4
2013,1,3,22:00,UTC,,,99,0.2,112.1,1.6
2013,1,3,23:00,UTC,,,100,0.2,107,1.4
2013,1,4,00:00,UTC,,,100,0.1,125.5,2.2
2013,1,4,01:00,UTC,,,100,0.2,130.7,2.8
2013,1,4,02:00,UTC,,,100,0.2,131.2,3.3
2013,1,4,03:00,UTC,,,100,0.2,122.4,2.1
2013,1,4,04:00,UTC,,,100,0.4,121.9,2.2
2013,1,4,05:00,UTC,,,100,0.7,131.7,2.3
2013,1,4,06:00,UTC,,,100,1.1,132.7,2.4
2013,1,4,07:00,UTC,,,100,1.5,136.3,2.8
2013,1,4,08:00,UTC,,,100,1.5,130.2,2.5
2013,1,4,09:00,UTC,,,100,1.4,131.2,2.1
2013,1,4,10:00,UTC,,,100,1.6,134.8,2.1
2013,1,4,11:00,UTC,,,99,1.8,153.3,1.8
2013,1,4,12:00,UTC,,,99,1.9,162,3.7
2013,1,4,13:00,UTC,,,98,0.5,165.1,4.5
2013,1,4,14:00,UTC,,,96,-0.1,166.7,4.4
2013,1,4,15:00,UTC,,,97,-0.9,169.3,3.5
2013,1,4,16:00,UTC,,,98,-1.1,171.8,4.2
2013,1,4,17:00,UTC,,,98,-1,177.5,3.9
2013,1,4,18:00,UTC,,,97,-0.5,177,3.8
2013,1,4,19:00,UTC,,,93,0.1,184.2,4
2013,1,4,20:00,UTC,,,92,0,1.5,4
2013,1,4,21:00,UTC,,,93,-0.3,3.6,3.7
2013,1,4,22:00,UTC,,,98,-1.2,15.4,3.9
2013,1,4,23:00,UTC,,,87,-1.6,10.8,3.8
2013,1,5,00:00,UTC,,,88,-1.7,9.8,4.3
2013,1,5,01:00,UTC,,,91,-1.7,5.7,3.5
2013,1,5,02:00,UTC,,,90,-1.8,1,3.5
2013,1,5,03:00,UTC,,,87,-2.1,8.2,4.3
2013,1,5,04:00,UTC,,,87,-2.1,7.7,3.4
2013,1,5,05:00,UTC,,,89,-2.4,8.7,2.6
2013,1,5,06:00,UTC,,,89,-2.5,6.2,2.6
2013,1,5,07:00,UTC,,,90,-2.9,184.2,3.2
2013,1,5,08:00,UTC,,,93,-3.3,180.6,2.4
2013,1,5,09:00,UTC,,,94,-3.8,179.5,3.1
2013,1,5,10:00,UTC,,,96,-3.6,164.6,2.9
2013,1,5,11:00,UTC,,,96,-3.9,172.9,2.6
2013,1,5,12:00,UTC,,,96,-3.9,161.5,3
2013,1,5,13:00,UTC,,,95,-3.8,170.8,3.3
2013,1,5,14:00,UTC,,,94,-3.7,1.5,2.4
2013,1,5,15:00,UTC,,,94,-4,171.3,2.2
2013,1,5,16:00,UTC,,,95,-4.2,173.9,1.9
2013,1,5,17:00,UTC,,,97,-4.4,164.1,3.2
2013,1,5,18:00,UTC,,,98,-3.6,167.2,2.9
2013,1,5,19:00,UTC,,,96,-3,167.7,2.3
2013,1,5,20:00,UTC,,,95,-2.8,169.8,2.1
2013,1,5,21:00,UTC,,,97,-3.6,161,1.2
2013,1,5,22:00,UTC,,,99,-3.5,4.6,2.1
2013,1,5,23:00,UTC,,,99,-4,13.4,1.6
2013,1,6,00:00,UTC,,,99,-4.7,25.2,2.1
2013,1,6,01:00,UTC,,,99,-5.1,7.2,1.8
2013,1,6,02:00,UTC,,,98,-5.7,6.2,1.4
2013,1,6,03:00,UTC,,,97,-6.4,6.7,1.4
2013,1,6,04:00,UTC,,,96,-7.1,15.9,1.1
2013,1,6,05:00,UTC,,,97,-7.1,28.8,2.9
2013,1,6,06:00,UTC,,,96,-7.6,23.1,1.8
2013,1,6,07:00,UTC,,,95,-8.3,19,0.8
2013,1,6,08:00,UTC,,,95,-8.6,17.5,1
2013,1,6,09:00,UTC,,,95,-8.2,29.3,2.7
2013,1,6,10:00,UTC,,,95,-7.8,28.8,1.9
2013,1,6,11:00,UTC,,,96,-7.6,30.9,2.8
2013,1,6,12:00,UTC,,,96,-7.1,36.5,2.9
2013,1,6,13:00,UTC,,,96,-7,42.7,3.1
2013,1,6,14:00,UTC,,,96,-7.3,41.7,2.8
2013,1,6,15:00,UTC,,,96,-7.4,25.7,2
2013,1,6,16:00,UTC,,,96,-7.6,19,1.9
2013,1,6,17:00,UTC,,,96,-7.6,54,2.6
2013,1,6,18:00,UTC,,,96,-7.8,25.7,1.3
2013,1,6,19:00,UTC,,,96,-8.1,25.7,1.1
2013,1,6,20:00,UTC,,,95,-8.6,41.2,2.1
2013,1,6,21:00,UTC,,,95,-8.4,48.9,0.9
2013,1,6,22:00,UTC,,,95,-8.7,72.5,0.7
2013,1,6,23:00,UTC,,,95,-8.3,100.3,1.3
2013,1,7,00:00,UTC,,,95,-8.1,142.5,1
2013,1,7,01:00,UTC,,,96,-8,143.5,0.7
2013,1,7,02:00,UTC,,,96,-7.6,121.4,1
2013,1,7,03:00,UTC,,,96,-7.4,92.6,1.6
2013,1,7,04:00,UTC,,,96,-7.6,84.9,0.8
2013,1,7,05:00,UTC,,,96,-7,79.7,1.3
2013,1,7,06:00,UTC,,,97,-6.3,74.6,1.2
2013,1,7,07:00,UTC,,,97,-5.5,71.5,1.6
2013,1,7,08:00,UTC,,,97,-5.3,71,2
2013,1,7,09:00,UTC,,,98,-4.9,83.3,2.2
2013,1,7,10:00,UTC,,,98,-4.6,80.8,3.3
2013,1,7,11:00,UTC,,,98,-3.9,83.9,2.8
2013,1,7,12:00,UTC,,,98,-3.2,86.4,2.7
2013,1,7,13:00,UTC,,,99,-2.9,85.9,2.4
2013,1,7,14:00,UTC,,,99,-2.5,86.4,2.6
2013,1,7,15:00,UTC,,,98,-2.2,84.4,2.8
2013,1,7,16:00,UTC,,,98,-1.8,87.5,2.9
2013,1,7,17:00,UTC,,,97,-1.4,91.6,2.6
2013,1,7,18:00,UTC,,,97,-1,94.7,2.7
2013,1,7,19:00,UTC,,,97,-0.5,92.1,3
2013,1,7,20:00,UTC,,,98,-0.3,95.7,2.8
2013,1,7,21:00,UTC,,,98,-0.1,95.2,3.1
2013,1,7,22:00,UTC,,,97,0.1,93.6,2.6
2013,1,7,23:00,UTC,,,98,0.3,108.5,3.1
2013,1,8,00:00,UTC,,,96,0.7,106.5,3.8
2013,1,8,01:00,UTC,,,94,1,108,4.4
2013,1,8,02:00,UTC,,,95,0.9,106,4.7
2013,1,8,03:00,UTC,,,97,0.9,106.5,4.5
2013,1,8,04:00,UTC,,,98,0.9,111.1,4.6
2013,1,8,05:00,UTC,,,98,0.6,102.4,4.2
2013,1,8,06:00,UTC,,,98,0.7,106.5,4.3
2013,1,8,07:00,UTC,,,98,0.5,100.3,3.9
2013,1,8,08:00,UTC,,,99,0.3,103.9,3.5
2013,1,8,09:00,UTC,,,99,0.2,100.3,3.5
2013,1,8,10:00,UTC,,,99,0.2,103.9,4.2
2013,1,8,11:00,UTC,,,99,0.2,104.9,3.3
2013,1,8,12:00,UTC,,,99,0.1,102.9,3.1
2013,1,8,13:00,UTC,,,99,0.2,103.9,3
2013,1,8,14:00,UTC,,,99,0.2,103.9,3
2013,1,8,15:00,UTC,,,99,0.2,109.6,1.7
2013,1,8,16:00,UTC,,,100,0.2,108,2.3
2013,1,8,17:00,UTC,,,100,0.2,116.3,1.9
2013,1,8,18:00,UTC,,,100,0.2,110.6,1.7
2013,1,8,19:00,UTC,,,100,0.1,129.1,2.7
2013,1,8,20:00,UTC,,,100,0,141,1.9
2013,1,8,21:00,UTC,,,100,-0.1,157.9,2.5
2013,1,8,22:00,UTC,,,100,-0.3,136.3,2.5
2013,1,8,23:00,UTC,,,98,-0.4,142,3.5
2013,1,9,00:00,UTC,,,96,-0.5,129.6,2.4
2013,1,9,01:00,UTC,,,98,-0.8,128.6,3.5
2013,1,9,02:00,UTC,,,98,-0.7,136.8,3.9
2013,1,9,03:00,UTC,,,98,-0.9,134.3,4
2013,1,9,04:00,UTC,,,99,-1.1,131.2,4
2013,1,9,05:00,UTC,,,99,-0.6,128.1,4.2
2013,1,9,06:00,UTC,,,100,-0.2,133.2,4.7
2013,1,9,07:00,UTC,,,100,-0.1,135.8,5.1
2013,1,9,08:00,UTC,,,100,-0.2,133.8,4.9
2013,1,9,09:00,UTC,,,100,-0.2,133.8,3.8
2013,1,9,10:00,UTC,,,100,-0.2,134.8,3.9
2013,1,9,11:00,UTC,,,100,-0.1,140.4,3.2
2013,1,9,12:00,UTC,,,100,0,150.7,2.5
2013,1,9,13:00,UTC,,,100,0,149.7,2.2
2013,1,9,14:00,UTC,,,100,0,165.7,2.6
2013,1,9,15:00,UTC,,,100,-0.3,165.1,2.4
2013,1,9,16:00,UTC,,,99,-0.9,169.8,1.7
2013,1,9,17:00,UTC,,,98,-1.1,178.5,1.9
2013,1,9,18:00,UTC,,,93,-1.4,6.7,2
2013,1,9,19:00,UTC,,,93,-1.9,183.7,2
2013,1,9,20:00,UTC,,,92,-2.4,177,2.8
2013,1,9,21:00,UTC,,,94,-3,11.8,2.2
