Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Relative humidity (%),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2013,1,1,00:00,UTC,8,,100,1.2,160,5.1
2013,1,1,01:00,UTC,8,,100,0.9,150,5.1
2013,1,1,02:00,UTC,8,,100,0.7,150,5.7
2013,1,1,03:00,UTC,8,,100,0.6,150,6.2
2013,1,1,04:00,UTC,7,,100,0.4,150,5.7
2013,1,1,05:00,UTC,8,,100,0.3,150,5.1
2013,1,1,06:00,UTC,8,,100,0.4,140,5.1
2013,1,1,07:00,UTC,8,,100,0.9,140,4.6
2013,1,1,08:00,UTC,9,,100,1.8,150,4.6
2013,1,1,09:00,UTC,8,,,2.5,170,5.1
2013,1,1,10:00,UTC,8,,,2.8,180,5.1
2013,1,1,11:00,UTC,8,,,2.8,190,5.7
2013,1,1,12:00,UTC,8,,,2.9,190,5.7
2013,1,1,13:00,UTC,8,,,2.8,190,5.7
2013,1,1,14:00,UTC,8,,100,2.6,190,4.6
2013,1,1,15:00,UTC,8,,100,2.4,190,4.6
2013,1,1,16:00,UTC,8,,,2.4,190,4.6
2013,1,1,17:00,UTC,8,,,2.3,190,4.6
2013,1,1,18:00,UTC,9,,,2.3,190,4.6
2013,1,1,19:00,UTC,9,,,2.2,190,3.6
2013,1,1,20:00,UTC,8,,,2.2,190,4.1
2013,1,1,21:00,UTC,9,,,2.1,190,4.6
2013,1,1,22:00,UTC,9,,,2,210,3.6
2013,1,1,23:00,UTC,8,,,1.9,200,3.6
2013,1,2,00:00,UTC,8,,,1.9,200,4.1
2013,1,2,01:00,UTC,7,,,1.9,190,4.1
2013,1,2,02:00,UTC,8,,,1.8,190,3.6
2013,1,2,03:00,UTC,7,,,1.9,180,3.6
2013,1,2,04:00,UTC,8,,100,1.8,200,2.6
2013,1,2,05:00,UTC,9,,,1.8,190,3.1
2013,1,2,06:00,UTC,9,,,1.7,190,3.6
2013,1,2,07:00,UTC,9,,,1.5,200,3.1
2013,1,2,08:00,UTC,9,,,1.5,210,3.1
2013,1,2,09:00,UTC,8,,,1.2,210,2.1
2013,1,2,10:00,UTC,8,,,0.4,190,2.1
2013,1,2,11:00,UTC,8,,,0.3,200,3.1
2013,1,2,12:00,UTC,8,,,0.4,210,3.1
2013,1,2,13:00,UTC,8,,,0.5,210,3.1
2013,1,2,14:00,UTC,7,,,0.6,210,3.1
2013,1,2,15:00,UTC,7,,,0.6,220,2.6
2013,1,2,16:00,UTC,8,,,0.5,220,3.6
2013,1,2,17:00,UTC,7,,,0.3,240,4.1
2013,1,2,18:00,UTC,7,,,0.3,220,3.1
2013,1,2,19:00,UTC,7,,100,0.3,210,2.6
2013,1,2,20:00,UTC,7,,100,0.2,210,2.6
2013,1,2,21:00,UTC,7,,100,0.2,210,2.6
2013,1,2,22:00,UTC,7,,,0.3,200,2.1
2013,1,2,23:00,UTC,8,,,0.3,230,1
2013,1,3,00:00,UTC,7,,,0.2,210,1
2013,1,3,01:00,UTC,7,,,-0.1,240,1.5
2013,1,3,02:00,UTC,8,,100,-0.2,240,2.1
2013,1,3,03:00,UTC,8,,100,0,250,2.1
2013,1,3,04:00,UTC,8,,100,0,260,2.1
2013,1,3,05:00,UTC,7,,100,0,270,2.1
2013,1,3,06:00,UTC,8,,100,0.1,270,2.1
2013,1,3,07:00,UTC,7,,100,0,210,1
2013,1,3,08:00,UTC,7,,100,0.1,240,1.5
2013,1,3,09:00,UTC,7,,100,0.2,260,2.1
2013,1,3,10:00,UTC,8,,100,0.3,280,2.1
